city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tirana,Tirana,41.3289,19.8178,Albania,AL,ALB,Tiranë,primary,418495.0,1008162156
Durrës,Durres,41.3133,19.4458,Albania,AL,ALB,Durrës,admin,175110.0,1008173690
Vlorë,Vlore,40.4667,19.4833,Albania,AL,ALB,Vlorë,admin,130827.0,1008276050
Kamëz,Kamez,41.3833,19.7667,Albania,AL,ALB,Tiranë,,126777.0,1008148968
Fier,Fier,40.725,19.5572,Albania,AL,ALB,Fier,admin,120655.0,1008293317
Shkodër,Shkoder,42.0681,19.5119,Albania,AL,ALB,Shkodër,admin,112276.0,1008977725
Elbasan,Elbasan,41.1111,20.0806,Albania,AL,ALB,Elbasan,admin,78703.0,1008409270
Korçë,Korce,40.6167,20.7667,Albania,AL,ALB,Korçë,admin,51152.0,1008361921
Sarandë,Sarande,39.875,20.01,Albania,AL,ALB,Vlorë,,41000.0,1008879697
Berat,Berat,40.7022,19.9583,Albania,AL,ALB,Berat,admin,36496.0,1008955153
Lushnjë,Lushnje,40.9333,19.7,Albania,AL,ALB,Fier,,31105.0,1008790888
Kavajë,Kavaje,41.1842,19.5619,Albania,AL,ALB,Tiranë,,29354.0,1008475617
Gjirokastër,Gjirokaster,40.0667,20.1333,Albania,AL,ALB,Gjirokastër,admin,23437.0,1008368062
Pogradec,Pogradec,40.9,20.65,Albania,AL,ALB,Korçë,,20848.0,1008366566
Fushë-Krujë,Fushe-Kruje,41.4833,19.7167,Albania,AL,ALB,Durrës,,18477.0,1008652935
Laç,Lac,41.6353,19.7131,Albania,AL,ALB,Lezhë,,17086.0,1008762785
Kukës,Kukes,42.0833,20.4167,Albania,AL,ALB,Kukës,admin,16719.0,1008649172
Sukth,Sukth,41.3833,19.5333,Albania,AL,ALB,Durrës,,15966.0,1008647190
Buçimas,Bucimas,40.8917,20.6806,Albania,AL,ALB,Korçë,,15687.0,1008557449
Lezhë,Lezhe,41.7819,19.6444,Albania,AL,ALB,Lezhë,admin,15510.0,1008889153
Patos,Patos,40.6833,19.6167,Albania,AL,ALB,Fier,,15397.0,1008184635
Peshkopi,Peshkopi,41.6833,20.4281,Albania,AL,ALB,Dibër,admin,13251.0,1008412550
Librazhd-Qendër,Librazhd-Qender,41.1969,20.3356,Albania,AL,ALB,Elbasan,,12691.0,1008639331
Kuçovë,Kucove,40.8039,19.9144,Albania,AL,ALB,Berat,,12654.0,1008520632
Krujë,Kruje,41.5108,19.7925,Albania,AL,ALB,Durrës,,11721.0,1008696208
Burrel,Burrel,41.6083,20.0111,Albania,AL,ALB,Dibër,,10862.0,1008883153
Perondi,Perondi,40.7833,19.9333,Albania,AL,ALB,Berat,,9005.0,1008411335
Libonik,Libonik,40.75,20.7167,Albania,AL,ALB,Korçë,,8922.0,1008483668
Rrëshen,Rreshen,41.7667,19.8833,Albania,AL,ALB,Lezhë,,8803.0,1008845269
Belsh,Belsh,40.9833,19.8833,Albania,AL,ALB,Elbasan,,8781.0,1008080226
Gramsh,Gramsh,40.8667,20.1833,Albania,AL,ALB,Elbasan,,8440.0,1008632813
Librazhd,Librazhd,41.1833,20.3167,Albania,AL,ALB,Elbasan,,6937.0,1008800835
Përmet,Permet,40.2333,20.35,Albania,AL,ALB,Gjirokastër,,5945.0,1008604833
Bajram Curri,Bajram Curri,42.3583,20.0761,Albania,AL,ALB,Kukës,,5340.0,1008251523
Tepelenë,Tepelene,40.2967,20.0189,Albania,AL,ALB,Gjirokastër,,4342.0,1008683571
Çorovodë,Corovode,40.5,20.2167,Albania,AL,ALB,Berat,,4051.0,1008566247
Ersekë,Erseke,40.3333,20.6833,Albania,AL,ALB,Korçë,,3746.0,1008049831
Pukë,Puke,42.05,19.9,Albania,AL,ALB,Shkodër,,3607.0,1008739218
Tirana,Tirana,41.3289,19.8178,Albania,AL,ALB,Tiranë,primary,418495.0,1008162156
Durrës,Durres,41.3133,19.4458,Albania,AL,ALB,Durrës,admin,175110.0,1008173690
Vlorë,Vlore,40.4667,19.4833,Albania,AL,ALB,Vlorë,admin,130827.0,1008276050
Kamëz,Kamez,41.3833,19.7667,Albania,AL,ALB,Tiranë,,126777.0,1008148968
Fier,Fier,40.725,19.5572,Albania,AL,ALB,Fier,admin,120655.0,1008293317
Shkodër,Shkoder,42.0681,19.5119,Albania,AL,ALB,Shkodër,admin,112276.0,1008977725
Elbasan,Elbasan,41.1111,20.0806,Albania,AL,ALB,Elbasan,admin,78703.0,1008409270
Korçë,Korce,40.6167,20.7667,Albania,AL,ALB,Korçë,admin,51152.0,1008361921
