city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Algiers,Algiers,36.7539,3.0589,Algeria,DZ,DZA,Alger,primary,3415811.0,1012973369
Constantine,Constantine,36.35,6.6,Algeria,DZ,DZA,Constantine,admin,465138.0,1012275076
Batna,Batna,35.55,6.1667,Algeria,DZ,DZA,Batna,admin,290645.0,1012093229
Sétif,Setif,36.19,5.41,Algeria,DZ,DZA,Sétif,admin,288461.0,1012981116
Djelfa,Djelfa,34.6667,3.25,Algeria,DZ,DZA,Djelfa,admin,265833.0,1012268984
Annaba,Annaba,36.9,7.7667,Algeria,DZ,DZA,Annaba,admin,257359.0,1012600001
Sidi Aïssa,Sidi Aissa,36.5,4.2978,Algeria,DZ,DZA,M’sila,,215000.0,1012091250
Sidi Bel Abbès,Sidi Bel Abbes,35.1939,-0.6414,Algeria,DZ,DZA,Sidi Bel Abbès,admin,212935.0,1012123414
Biskra,Biskra,34.85,5.7333,Algeria,DZ,DZA,Biskra,admin,204661.0,1012947247
Tébessa,Tebessa,35.4,8.1167,Algeria,DZ,DZA,Tébessa,admin,194461.0,1012196375
Ouargla,Ouargla,31.95,5.3167,Algeria,DZ,DZA,Ouargla,admin,191136.0,1012425687
El Khroub,El Khroub,36.2667,6.7,Algeria,DZ,DZA,Constantine,,179033.0,1012245786
Tiaret,Tiaret,35.3667,1.3167,Algeria,DZ,DZA,Tiaret,admin,178915.0,1012785868
Bejaïa,Bejaia,36.7511,5.0642,Algeria,DZ,DZA,Bejaïa,admin,176139.0,1012140298
Tlemcen,Tlemcen,34.8828,-1.3167,Algeria,DZ,DZA,Tlemcen,admin,173531.0,1012978325
Bir el Djir,Bir el Djir,35.7367,-0.5542,Algeria,DZ,DZA,Oran,,171883.0,1012283284
Bordj Bou Arreridj,Bordj Bou Arreridj,36.0667,4.7667,Algeria,DZ,DZA,Bordj Bou Arréridj,admin,168346.0,1012016677
Béchar,Bechar,31.6167,-2.2167,Algeria,DZ,DZA,Béchar,admin,165627.0,1012371820
Blida,Blida,36.4686,2.8319,Algeria,DZ,DZA,Blida,admin,163586.0,1012045589
Skikda,Skikda,36.8667,6.9,Algeria,DZ,DZA,Skikda,admin,163318.0,1012619903
Souk Ahras,Souk Ahras,36.2864,7.9511,Algeria,DZ,DZA,Souk Ahras,admin,155259.0,1012419619
Chlef,Chlef,36.1647,1.3317,Algeria,DZ,DZA,Chlef,admin,155134.0,1012772239
El Eulma,El Eulma,36.15,5.6833,Algeria,DZ,DZA,Sétif,,155038.0,1012292620
Bordj el Kiffan,Bordj el Kiffan,36.7375,3.1931,Algeria,DZ,DZA,Alger,,151950.0,1012186125
Mostaganem,Mostaganem,35.9333,0.0833,Algeria,DZ,DZA,Mostaganem,admin,145696.0,1012061703
Touggourt,Touggourt,33.1,6.0667,Algeria,DZ,DZA,Touggourt,admin,143270.0,1012546670
Médéa,Medea,36.2675,2.75,Algeria,DZ,DZA,Médéa,admin,138355.0,1012758282
Tizi Ouzou,Tizi Ouzou,36.7167,4.05,Algeria,DZ,DZA,Tizi Ouzou,admin,135088.0,1012126997
El Oued,El Oued,33.3611,6.8606,Algeria,DZ,DZA,El Oued,admin,134699.0,1012148937
Laghouat,Laghouat,33.8028,2.875,Algeria,DZ,DZA,Laghouat,admin,134372.0,1012233848
M’Sila,M'Sila,35.7019,4.5472,Algeria,DZ,DZA,M’sila,admin,132975.0,1012857730
Jijel,Jijel,36.8167,5.75,Algeria,DZ,DZA,Jijel,admin,131513.0,1012782547
Relizane,Relizane,35.7333,0.55,Algeria,DZ,DZA,Relizane,admin,130094.0,1012939885
Saïda,Saida,34.8333,0.15,Algeria,DZ,DZA,Saïda,admin,128413.0,1012285874
Baraki,Baraki,36.6667,3.1,Algeria,DZ,DZA,Tipaza,,123101.0,1012987490
Guelma,Guelma,36.45,7.4333,Algeria,DZ,DZA,Guelma,admin,120004.0,1012266321
Ghardaïa,Ghardaia,32.4833,3.6667,Algeria,DZ,DZA,Ghardaïa,admin,120000.0,1012074690
Aïn Beïda,Ain Beida,35.7833,7.3833,Algeria,DZ,DZA,Oum el Bouaghi,,116064.0,1012021090
Maghnia,Maghnia,34.8617,-1.7306,Algeria,DZ,DZA,Tlemcen,,114634.0,1012582356
Bou Saada,Bou Saada,36.7667,4.5833,Algeria,DZ,DZA,Tizi Ouzou,,111787.0,1012263841
Bou Saâda,Bou Saada,35.2083,4.1739,Algeria,DZ,DZA,M’sila,,111787.0,1012931222
Mascara,Mascara,35.4,0.1333,Algeria,DZ,DZA,Mascara,admin,108587.0,1012738269
Khenchela,Khenchela,35.4167,7.1333,Algeria,DZ,DZA,Khenchela,admin,108580.0,1012495148
Barika,Barika,35.3972,5.3658,Algeria,DZ,DZA,Batna,,104388.0,1012917898
Messaad,Messaad,34.1667,3.5,Algeria,DZ,DZA,Djelfa,,102453.0,1012278908
Aflou,Aflou,34.1089,2.1019,Algeria,DZ,DZA,Laghouat,,102025.0,1012904117
Aïn Oussera,Ain Oussera,35.4489,2.9044,Algeria,DZ,DZA,Djelfa,,101239.0,1012469007
Oran,Oran,35.6969,-0.6331,Algeria,DZ,DZA,Oran,admin,101009.0,1012126319
Es Senia,Es Senia,35.65,-0.6333,Algeria,DZ,DZA,Oran,,96928.0,1012779789
Bab Ezzouar,Bab Ezzouar,36.7217,3.1853,Algeria,DZ,DZA,Alger,,96597.0,1012318854
Tamanrasset,Tamanrasset,22.7889,5.5256,Algeria,DZ,DZA,Tamanrasset,admin,92635.0,1012765474
Arzew,Arzew,35.85,-0.3167,Algeria,DZ,DZA,Oran,,91400.0,1012954906
Aïn M’Lila,Ain M'Lila,36.0361,6.5708,Algeria,DZ,DZA,Oum el Bouaghi,,88441.0,1012438002
Hassi Bahbah,Hassi Bahbah,35.0667,3.0333,Algeria,DZ,DZA,Djelfa,,86421.0,1012120396
El Bayadh,El Bayadh,33.6803,1.0203,Algeria,DZ,DZA,El Bayadh,admin,85577.0,1012906892
Mohammadia,Mohammadia,35.5833,0.0667,Algeria,DZ,DZA,Mascara,,84700.0,1012169657
Khemis Miliana,Khemis Miliana,36.2667,2.2167,Algeria,DZ,DZA,Aïn Defla,,84574.0,1012116292
El Milia,El Milia,36.75,6.2667,Algeria,DZ,DZA,Jijel,,83931.0,1012706826
Hamma Bouziane,Hamma Bouziane,36.5333,6.7167,Algeria,DZ,DZA,Constantine,,83603.0,1012233499
Chelghoum el Aïd,Chelghoum el Aid,36.1667,6.1667,Algeria,DZ,DZA,Mila,,82560.0,1012048079
Dar el Beïda,Dar el Beida,36.7142,3.2125,Algeria,DZ,DZA,Alger,,81509.0,1012987727
Oum el Bouaghi,Oum el Bouaghi,35.8775,7.1136,Algeria,DZ,DZA,Oum el Bouaghi,admin,80359.0,1012958880
Sougueur,Sougueur,35.1833,1.5,Algeria,DZ,DZA,Tiaret,,78956.0,1012177947
Taher,Taher,36.7719,5.8983,Algeria,DZ,DZA,Jijel,,78500.0,1012984908
Birkhadem,Birkhadem,36.7167,3.05,Algeria,DZ,DZA,Alger,,77749.0,1012246970
Bir el Ater,Bir el Ater,34.7497,8.0578,Algeria,DZ,DZA,Tébessa,,77727.0,1012519828
Khemis el Khechna,Khemis el Khechna,36.65,3.3306,Algeria,DZ,DZA,Boumerdes,,76474.0,1012679229
Merouana,Merouana,35.6333,5.9167,Algeria,DZ,DZA,Batna,,76000.0,1012051214
Aïn Temouchent,Ain Temouchent,35.3,-1.1333,Algeria,DZ,DZA,Aïn Temouchent,admin,75558.0,1012763655
Cheria,Cheria,35.2667,7.75,Algeria,DZ,DZA,Tébessa,,75344.0,1012061422
Tissemsilt,Tissemsilt,35.6078,1.8111,Algeria,DZ,DZA,Tissemsilt,admin,75197.0,1012743339
Aïn Oulmene,Ain Oulmene,35.9167,5.3,Algeria,DZ,DZA,Sétif,,73831.0,1012233825
Sig,Sig,35.5278,-0.1861,Algeria,DZ,DZA,Mascara,,70499.0,1012835736
Mila,Mila,36.4503,6.2644,Algeria,DZ,DZA,Mila,admin,69052.0,1012656063
Bouira,Bouira,36.38,3.9014,Algeria,DZ,DZA,Bouira,admin,68545.0,1012006499
