city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Luanda,Luanda,-8.8383,13.2344,Angola,AO,AGO,Luanda,primary,9051000.0,1024949724
Cacuaco,Cacuaco,-8.8053,13.2444,Angola,AO,AGO,Luanda,,1279488.0,1024559448
Cazenga,Cazenga,-8.8214,13.2911,Angola,AO,AGO,Luanda,,1045722.0,1024791607
Lubango,Lubango,-14.9167,13.5,Angola,AO,AGO,Huíla,admin,776249.0,1024669127
Cabinda,Cabinda,-5.56,12.19,Angola,AO,AGO,Cabinda,admin,739182.0,1024474012
Huambo,Huambo,-12.7767,15.7347,Angola,AO,AGO,Huambo,admin,665564.0,1024079828
Malanje,Malanje,-9.5333,16.35,Angola,AO,AGO,Malanje,admin,604215.0,1024774947
Benguela,Benguela,-12.55,13.4167,Angola,AO,AGO,Benguela,admin,512886.0,1024141961
Belas,Belas,-8.9983,13.265,Angola,AO,AGO,Luanda,,500000.0,1024196826
Talatona,Talatona,-8.9167,13.1833,Angola,AO,AGO,Luanda,,500000.0,1024988332
Lobito,Lobito,-12.3667,13.5333,Angola,AO,AGO,Benguela,,393079.0,1024128946
Saurimo,Saurimo,-9.65,20.4,Angola,AO,AGO,Lunda-Sul,admin,393000.0,1024326839
Cubal,Cubal,-13.0333,14.25,Angola,AO,AGO,Benguela,,357618.0,1024580158
Luena,Luena,-11.7918,19.9062,Angola,AO,AGO,Moxico,admin,357413.0,1024283760
Cuito,Cuito,-12.3833,16.9333,Angola,AO,AGO,Bié,admin,355423.0,1024939858
Uíge,Uige,-7.6167,15.05,Angola,AO,AGO,Uíge,admin,322531.0,1024666275
Menongue,Menongue,-14.6556,17.6842,Angola,AO,AGO,Cuando Cubango,admin,320914.0,1024725650
Vila Teixeira da Silva,Vila Teixeira da Silva,-12.1958,15.8556,Angola,AO,AGO,Huambo,,294494.0,1024863343
Sumbe,Sumbe,-11.2053,13.8417,Angola,AO,AGO,Cuanza-Sul,admin,279968.0,1024297937
Gabela,Gabela,-10.85,14.3667,Angola,AO,AGO,Cuanza-Sul,,271843.0,1024159015
Ndulo,Ndulo,-11.4833,15.8333,Angola,AO,AGO,Huambo,,258161.0,1024783572
Moçâmedes,Mocamedes,-15.1953,12.1508,Angola,AO,AGO,Namibe,admin,255000.0,1024785067
Ganda,Ganda,-13.0167,14.6333,Angola,AO,AGO,Benguela,,235486.0,1024320952
Uacu Cungo,Uacu Cungo,-11.3583,15.1194,Angola,AO,AGO,Cuanza-Sul,,225520.0,1024677127
Barra do Dande,Barra do Dande,-8.4728,13.3731,Angola,AO,AGO,Bengo,,222528.0,1024937810
Soio,Soio,-6.1333,12.3667,Angola,AO,AGO,Zaire,,200920.0,1024903782
Tchitato,Tchitato,-7.3667,20.8333,Angola,AO,AGO,Lunda-Norte,,195136.0,1024883433
Chibia,Chibia,-15.1833,13.7,Angola,AO,AGO,Huíla,,190670.0,1024017930
Ucu Seles,Ucu Seles,-11.4047,14.3006,Angola,AO,AGO,Cuanza-Sul,,187127.0,1024868244
Cuango,Cuango,-9.1444,18.0464,Angola,AO,AGO,Lunda-Norte,,183767.0,1024514740
Mbanza Kongo,Mbanza Kongo,-6.2678,14.2481,Angola,AO,AGO,Zaire,admin,180329.0,1024532464
Caluquembe,Caluquembe,-13.7833,14.6833,Angola,AO,AGO,Huíla,,179931.0,1024346445
Dundo,Dundo,-7.3801,20.8351,Angola,AO,AGO,Lunda-Norte,admin,177604.0,1024121799
Catumbela,Catumbela,-12.4339,13.5433,Angola,AO,AGO,Benguela,,175805.0,1024821574
Cazanga,Cazanga,-9.3,14.95,Angola,AO,AGO,Cuanza-Norte,,171743.0,1024657411
Caluquembe,Caluquembe,-13.9208,14.5347,Angola,AO,AGO,Huíla,,169420.0,1024240126
Catape,Catape,-13.7667,15.0833,Angola,AO,AGO,Huíla,,167820.0,1024321158
Ebo,Ebo,-11.0,14.6667,Angola,AO,AGO,Cuanza-Sul,,165129.0,1024334702
Bocoio,Bocoio,-12.45,14.15,Angola,AO,AGO,Benguela,,164685.0,1024922883
Quibala,Quibala,-10.7333,14.9833,Angola,AO,AGO,Cuanza-Sul,,163991.0,1024007950
Ndalatando,Ndalatando,-9.3,14.9167,Angola,AO,AGO,Cuanza-Norte,admin,161584.0,1024645515
Quipungo,Quipungo,-14.8167,14.55,Angola,AO,AGO,Huíla,,158918.0,1024929138
Camacupa,Camacupa,-12.0256,17.4686,Angola,AO,AGO,Bié,,154928.0,1024037086
Lucapa,Lucapa,-8.4228,20.7392,Angola,AO,AGO,Lunda-Norte,,154305.0,1024056286
Maquela do Zombo,Maquela do Zombo,-6.05,15.1167,Angola,AO,AGO,Uíge,,146908.0,1024582197
Namacunde,Namacunde,-17.3,15.85,Angola,AO,AGO,Cunene,,142047.0,1024843393
