city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Buenos Aires,Buenos Aires,-34.6033,-58.3817,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",primary,16710000.0,1032717330
Córdoba,Cordoba,-31.4167,-64.1833,Argentina,AR,ARG,Córdoba,admin,2106734.0,1032803249
Rosario,Rosario,-32.9575,-60.6394,Argentina,AR,ARG,Santa Fe,minor,1276000.0,1032770677
Santiago del Estero,Santiago del Estero,-27.7833,-64.2667,Argentina,AR,ARG,Santiago del Estero,admin,911506.0,1032492280
Comodoro Rivadavia,Comodoro Rivadavia,-45.8647,-67.4808,Argentina,AR,ARG,Chubut,minor,730266.0,1032042035
Mar del Plata,Mar del Plata,-38.0,-57.55,Argentina,AR,ARG,Buenos Aires,minor,682605.0,1032456103
San Miguel de Tucumán,San Miguel de Tucuman,-26.8167,-65.2167,Argentina,AR,ARG,Tucumán,admin,605767.0,1032233996
Salta,Salta,-24.7833,-65.4167,Argentina,AR,ARG,Salta,admin,535303.0,1032926124
San Juan,San Juan,-31.5342,-68.5261,Argentina,AR,ARG,San Juan,admin,471389.0,1032869625
Lanús,Lanus,-34.7,-58.4,Argentina,AR,ARG,Buenos Aires,minor,459263.0,1032009573
Santa Fe,Santa Fe,-31.6333,-60.7,Argentina,AR,ARG,Santa Fe,admin,405683.0,1032817575
Corrientes,Corrientes,-27.4833,-58.8167,Argentina,AR,ARG,Corrientes,admin,352646.0,1032173097
San Salvador de Jujuy,San Salvador de Jujuy,-24.1833,-65.3,Argentina,AR,ARG,Jujuy,admin,321789.0,1032815808
Bahía Blanca,Bahia Blanca,-38.7167,-62.2667,Argentina,AR,ARG,Buenos Aires,minor,301572.0,1032795766
Pilar,Pilar,-34.45,-58.9167,Argentina,AR,ARG,Buenos Aires,minor,296826.0,1032712196
Resistencia,Resistencia,-27.4514,-58.9867,Argentina,AR,ARG,Chaco,admin,291720.0,1032720891
Posadas,Posadas,-27.3667,-55.9,Argentina,AR,ARG,Misiones,admin,275988.0,1032970696
Quilmes,Quilmes,-34.7167,-58.2667,Argentina,AR,ARG,Buenos Aires,minor,262379.0,1032880202
Paraná,Parana,-31.7331,-60.5297,Argentina,AR,ARG,Entre Ríos,admin,247863.0,1032266693
Merlo,Merlo,-34.6653,-58.7275,Argentina,AR,ARG,Buenos Aires,minor,244168.0,1032232613
González Catán,Gonzalez Catan,-34.7667,-58.6167,Argentina,AR,ARG,Buenos Aires,,238067.0,1032883563
Formosa,Formosa,-26.1833,-58.1833,Argentina,AR,ARG,Formosa,admin,234000.0,1032802536
Neuquén,Neuquen,-38.9525,-68.0642,Argentina,AR,ARG,Neuquén,admin,231198.0,1032525768
Banfield,Banfield,-34.75,-58.3833,Argentina,AR,ARG,Buenos Aires,,223898.0,1032997685
José C. Paz,Jose C. Paz,-34.5167,-58.7667,Argentina,AR,ARG,Buenos Aires,minor,216637.0,1032741145
San Rafael,San Rafael,-34.6,-68.3333,Argentina,AR,ARG,Mendoza,minor,215020.0,1032221516
Río Cuarto,Rio Cuarto,-33.1333,-64.35,Argentina,AR,ARG,Córdoba,minor,200000.0,1032552145
La Plata,La Plata,-34.9211,-57.9544,Argentina,AR,ARG,Buenos Aires,admin,193144.0,1032403831
Godoy Cruz,Godoy Cruz,-32.9167,-68.8333,Argentina,AR,ARG,Mendoza,minor,191299.0,1032263200
Isidro Casanova,Isidro Casanova,-34.7,-58.5833,Argentina,AR,ARG,Buenos Aires,,190696.0,1032715964
Las Heras,Las Heras,-32.85,-68.8167,Argentina,AR,ARG,Mendoza,minor,189067.0,1032781204
La Rioja,La Rioja,-29.4125,-66.8542,Argentina,AR,ARG,La Rioja,admin,180995.0,1032864257
Berazategui,Berazategui,-34.7167,-58.25,Argentina,AR,ARG,Buenos Aires,minor,180523.0,1032535314
San Luis,San Luis,-33.3,-66.3333,Argentina,AR,ARG,San Luis,admin,169947.0,1032547434
San Fernando,San Fernando,-34.45,-58.5667,Argentina,AR,ARG,Buenos Aires,minor,163240.0,1032726549
General Roca,General Roca,-39.0333,-67.5833,Argentina,AR,ARG,Río Negro,minor,160954.0,1032829704
José María Ezeiza,Jose Maria Ezeiza,-34.8333,-58.5167,Argentina,AR,ARG,Buenos Aires,minor,160219.0,1032337881
San Nicolás de los Arroyos,San Nicolas de los Arroyos,-33.3333,-60.2167,Argentina,AR,ARG,Buenos Aires,minor,160000.0,1032067887
Catamarca,Catamarca,-28.4667,-65.7833,Argentina,AR,ARG,Catamarca,admin,159139.0,1032260908
San Miguel,San Miguel,-34.5333,-58.7167,Argentina,AR,ARG,Buenos Aires,,157532.0,1032038706
Concordia,Concordia,-31.4,-58.0333,Argentina,AR,ARG,Entre Ríos,minor,149450.0,1032923957
Rafael Castillo,Rafael Castillo,-34.7167,-58.6167,Argentina,AR,ARG,Buenos Aires,,147965.0,1032812310
Florencio Varela,Florencio Varela,-34.8167,-58.2833,Argentina,AR,ARG,Buenos Aires,minor,146704.0,1032021324
San Justo,San Justo,-34.6833,-58.55,Argentina,AR,ARG,Buenos Aires,minor,136604.0,1032899295
Ituzaingó,Ituzaingo,-34.6667,-58.6667,Argentina,AR,ARG,Buenos Aires,minor,135275.0,1032997137
Temperley,Temperley,-34.7667,-58.3833,Argentina,AR,ARG,Buenos Aires,,121451.0,1032183944
Ramos Mejía,Ramos Mejia,-34.65,-58.5667,Argentina,AR,ARG,Buenos Aires,,120346.0,1032425368
Puerto Madryn,Puerto Madryn,-42.7667,-65.05,Argentina,AR,ARG,Chubut,minor,115353.0,1032351657
