city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Vienna,Vienna,48.2083,16.3725,Austria,AT,AUT,Wien,primary,2223236.0,1040261752
Graz,Graz,47.0708,15.4386,Austria,AT,AUT,Steiermark,admin,292630.0,1040184559
Linz,Linz,48.3058,14.2864,Austria,AT,AUT,Oberösterreich,admin,210165.0,1040261171
Lochau,Lochau,47.5167,9.75,Austria,AT,AUT,Vorarlberg,,200000.0,1040573398
Salzburg,Salzburg,47.8,13.045,Austria,AT,AUT,Salzburg,admin,155021.0,1040312147
Innsbruck,Innsbruck,47.2683,11.3933,Austria,AT,AUT,Tirol,admin,130585.0,1040038924
Klagenfurt,Klagenfurt,46.6167,14.3,Austria,AT,AUT,Kärnten,admin,101403.0,1040149651
Villach,Villach,46.6167,13.85,Austria,AT,AUT,Kärnten,minor,65127.0,1040202364
Wels,Wels,48.15,14.0167,Austria,AT,AUT,Oberösterreich,minor,61233.0,1040833210
Sankt Pölten,Sankt Polten,48.2,15.6167,Austria,AT,AUT,Niederösterreich,admin,55514.0,1040313109
Krems an der Donau,Krems an der Donau,48.4167,15.6167,Austria,AT,AUT,Niederösterreich,minor,50000.0,1040577668
Dornbirn,Dornbirn,47.4139,9.7444,Austria,AT,AUT,Vorarlberg,minor,48067.0,1040508998
Wiener Neustadt,Wiener Neustadt,47.8167,16.25,Austria,AT,AUT,Niederösterreich,minor,44461.0,1040389518
Steyr,Steyr,48.0333,14.4167,Austria,AT,AUT,Oberösterreich,minor,38331.0,1040132113
Bregenz,Bregenz,47.505,9.7492,Austria,AT,AUT,Vorarlberg,admin,29620.0,1040174258
Leonding,Leonding,48.2667,14.25,Austria,AT,AUT,Oberösterreich,,28698.0,1040991026
Klosterneuburg,Klosterneuburg,48.3042,16.3167,Austria,AT,AUT,Niederösterreich,minor,27058.0,1040735965
Baden,Baden,48.0075,16.2344,Austria,AT,AUT,Niederösterreich,minor,26286.0,1040765350
Wolfsberg,Wolfsberg,46.85,14.8333,Austria,AT,AUT,Kärnten,minor,25035.0,1040360550
Leoben,Leoben,47.3817,15.0972,Austria,AT,AUT,Steiermark,minor,24645.0,1040591429
Traun,Traun,48.2217,14.2397,Austria,AT,AUT,Oberösterreich,,24477.0,1040684469
Lustenau,Lustenau,47.4297,9.6597,Austria,AT,AUT,Vorarlberg,,23579.0,1040745157
Amstetten,Amstetten,48.1167,14.8667,Austria,AT,AUT,Niederösterreich,minor,23569.0,1040466200
Kapfenberg,Kapfenberg,47.4333,15.2833,Austria,AT,AUT,Steiermark,,22798.0,1040864298
Hallein,Hallein,47.6831,13.0969,Austria,AT,AUT,Salzburg,minor,21150.0,1040821146
Mödling,Modling,48.0833,16.2667,Austria,AT,AUT,Niederösterreich,minor,20555.0,1040024396
Kufstein,Kufstein,47.5833,12.1667,Austria,AT,AUT,Tirol,minor,19126.0,1040156374
Traiskirchen,Traiskirchen,48.0167,16.3,Austria,AT,AUT,Niederösterreich,,18858.0,1040581289
Schwechat,Schwechat,48.1411,16.4786,Austria,AT,AUT,Niederösterreich,,18026.0,1040189871
