city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Baku,Baku,40.3953,49.8822,Azerbaijan,AZ,AZE,Bakı,primary,2300500.0,1031946365
Sumqayıt,Sumqayit,40.5897,49.6686,Azerbaijan,AZ,AZE,Sumqayıt,admin,341200.0,1031630283
Gəncə,Ganca,40.6828,46.3606,Azerbaijan,AZ,AZE,Gəncə,admin,331400.0,1031197327
Ağcabədi,Agcabadi,40.0528,47.4614,Azerbaijan,AZ,AZE,Ağcabədi,admin,136000.0,1031860893
Mingəçevir,Mingacevir,40.77,47.0489,Azerbaijan,AZ,AZE,Mingəçevir,admin,106100.0,1031509213
Xırdalan,Xirdalan,40.4486,49.7564,Azerbaijan,AZ,AZE,Abşeron,admin,100900.0,1031145251
Naxçıvan,Naxcivan,39.2161,45.4106,Azerbaijan,AZ,AZE,Naxçıvan,admin,95100.0,1031943755
Şatrovka,Satrovka,39.9319,48.9203,Azerbaijan,AZ,AZE,Salyan,,87400.0,1031501191
Qaraçuxur,Qaracuxur,40.3967,49.9736,Azerbaijan,AZ,AZE,Bakı,,85900.0,1031616606
Hövsan,Hovsan,40.3744,50.0853,Azerbaijan,AZ,AZE,Bakı,,85000.0,1031396152
Bakıxanov,Bakixanov,40.4217,49.9644,Azerbaijan,AZ,AZE,Bakı,,71600.0,1031114052
Şirvan,Sirvan,39.9323,48.9203,Azerbaijan,AZ,AZE,Şirvan,,70684.0,1031478213
Şəki,Saki,41.2,47.1667,Azerbaijan,AZ,AZE,Şəki,admin,68360.0,1031619846
Yevlax,Yevlax,40.6172,47.15,Azerbaijan,AZ,AZE,Yevlax,admin,59036.0,1031581655
M.Ə. Rəsulzadə,M.A. Rasulzada,40.4344,49.8336,Azerbaijan,AZ,AZE,Bakı,,51800.0,1031204213
Lənkəran,Lankaran,38.7536,48.8511,Azerbaijan,AZ,AZE,Lənkəran,admin,51300.0,1031218031
Xankəndi,Xankandi,39.8153,46.7519,Azerbaijan,AZ,AZE,Xankəndi,,49848.0,1031053512
Biləcəri,Bilacari,40.4314,49.8081,Azerbaijan,AZ,AZE,Bakı,,45008.0,1031718088
Maştağa,Mastaga,40.5328,50.0039,Azerbaijan,AZ,AZE,Bakı,,43700.0,1031769792
Şəmkir,Samkir,40.8297,46.0189,Azerbaijan,AZ,AZE,Şəmkir,admin,40600.0,1031776445
Xaçmaz,Xacmaz,41.4708,48.8097,Azerbaijan,AZ,AZE,Xaçmaz,admin,39900.0,1031335433
Şamaxı,Samaxi,40.6303,48.6414,Azerbaijan,AZ,AZE,Şamaxı,,39600.0,1031286384
Bərdə,Barda,40.3744,47.1267,Azerbaijan,AZ,AZE,Bərdə,admin,38500.0,1031495701
Quba,Quba,41.3597,48.5125,Azerbaijan,AZ,AZE,Quba,admin,38100.0,1031078072
Göygöl,Goygol,40.5869,46.3158,Azerbaijan,AZ,AZE,Göygöl,admin,37280.0,1031823379
Binəqədi,Binaqadi,40.4661,49.8278,Azerbaijan,AZ,AZE,Bakı,,37100.0,1031506159
Göyçay,Goycay,40.6531,47.7406,Azerbaijan,AZ,AZE,Göyçay,admin,36200.0,1031227222
Lökbatan,Lokbatan,40.3272,49.73,Azerbaijan,AZ,AZE,Bakı,,35523.0,1031329823
Qazax,Qazax,41.0933,45.3661,Azerbaijan,AZ,AZE,Qazax,admin,35102.0,1031240282
Buzovna,Buzovna,40.5161,50.1164,Azerbaijan,AZ,AZE,Bakı,,31500.0,1031797928
İmişli,Imisli,39.8697,48.06,Azerbaijan,AZ,AZE,İmişli,admin,31310.0,1031686599
Zaqatala,Zaqatala,41.6336,46.6433,Azerbaijan,AZ,AZE,Zaqatala,admin,31300.0,1031500858
Sabirabad,Sabirabad,40.0128,48.4789,Azerbaijan,AZ,AZE,Sabirabad,admin,30918.0,1031302623
Salyan,Salyan,39.595,48.9792,Azerbaijan,AZ,AZE,Salyan,admin,30396.0,1031301869
Ağdaş,Agdas,40.65,47.4761,Azerbaijan,AZ,AZE,Ağdaş,admin,29600.0,1031916654
Əmircan,Amircan,40.4264,49.9836,Azerbaijan,AZ,AZE,Bakı,,28203.0,1031561618
Hacıqabul,Haciqabul,40.0433,48.9356,Azerbaijan,AZ,AZE,Hacıqabul,admin,27536.0,1031015845
Binə,Bina,40.4539,50.0764,Azerbaijan,AZ,AZE,Bakı,,26395.0,1031124487
Cəlilabad,Calilabad,39.2089,48.4972,Azerbaijan,AZ,AZE,Cəlilabad,admin,25846.0,1031242117
Keşlə,Kesla,40.3978,49.8986,Azerbaijan,AZ,AZE,Bakı,,25626.0,1031163051
Mərdəkan,Mardakan,40.4922,50.1389,Azerbaijan,AZ,AZE,Bakı,,24965.0,1031262332
Zabrat,Zabrat,40.4872,49.9525,Azerbaijan,AZ,AZE,Bakı,,22497.0,1031886161
Sabunçu,Sabuncu,40.4425,49.9481,Azerbaijan,AZ,AZE,Bakı,,22344.0,1031621781
Sahil,Sahil,40.22,49.5714,Azerbaijan,AZ,AZE,Bakı,,22116.0,1031499506
Hacı Zeynalabdin,Haci Zeynalabdin,40.6233,49.5586,Azerbaijan,AZ,AZE,Sumqayıt,,22000.0,1031256738
İsmayıllı,Ismayilli,40.79,48.1519,Azerbaijan,AZ,AZE,İsmayıllı,admin,20660.0,1031380246
Ağsu,Agsu,40.5692,48.4008,Azerbaijan,AZ,AZE,Ağsu,admin,20200.0,1031748204
Ağstafa,Agstafa,41.1189,45.4539,Azerbaijan,AZ,AZE,Ağstafa,admin,20200.0,1031889683
Biləsuvar,Bilasuvar,39.4583,48.545,Azerbaijan,AZ,AZE,Biləsuvar,admin,20098.0,1031149283
Siyəzən,Siyazan,41.0761,49.1139,Azerbaijan,AZ,AZE,Siyəzən,admin,18655.0,1031277547
Saatlı,Saatli,39.9311,48.3697,Azerbaijan,AZ,AZE,Saatlı,admin,17900.0,1031713436
Bülbülə,Bulbula,40.4342,49.9758,Azerbaijan,AZ,AZE,Bakı,,17105.0,1031446987
Hindarx,Hindarx,40.07,47.2047,Azerbaijan,AZ,AZE,Ağcabədi,,16998.0,1031830681
Astara,Astara,38.4561,48.8786,Azerbaijan,AZ,AZE,Astara,admin,16800.0,1031376971
Qusar,Qusar,41.4264,48.4356,Azerbaijan,AZ,AZE,Qusar,admin,16500.0,1031059559
Yeni Suraxanı,Yeni Suraxani,40.4311,50.0361,Azerbaijan,AZ,AZE,Bakı,,16127.0,1031627896
Qazyan,Qazyan,40.4425,47.6767,Azerbaijan,AZ,AZE,Ucar,,16018.0,1031879880
Ərkivan,Arkivan,39.0183,48.65,Azerbaijan,AZ,AZE,Masallı,,15654.0,1031692548
Kürdəmir,Kurdamir,40.3383,48.1608,Azerbaijan,AZ,AZE,Kürdəmir,admin,15385.0,1031160110
Şüvəlan,Suvalan,40.4889,50.2069,Azerbaijan,AZ,AZE,Bakı,,14992.0,1031090215
Masallı,Masalli,39.0342,48.6656,Azerbaijan,AZ,AZE,Masallı,admin,14746.0,1031126416
Qobustan,Qobustan,40.0842,49.4158,Azerbaijan,AZ,AZE,Bakı,,14470.0,1031778275
Ucar,Ucar,40.5183,47.6542,Azerbaijan,AZ,AZE,Ucar,admin,14273.0,1031822434
Neftçala,Neftcala,39.3586,49.2469,Azerbaijan,AZ,AZE,Neftçala,admin,14241.0,1031299249
Nehrəm,Nehram,39.1122,45.4611,Azerbaijan,AZ,AZE,Babək,,13752.0,1031344559
Pirallahı,Pirallahi,40.4708,50.3217,Azerbaijan,AZ,AZE,Bakı,,13583.0,1031058715
Tovuz,Tovuz,40.9922,45.6289,Azerbaijan,AZ,AZE,Tovuz,admin,13520.0,1031405942
Baş Göynük,Bas Goynuk,41.3228,47.1133,Azerbaijan,AZ,AZE,Şəki,,13260.0,1031767565
Quzanlı,Quzanli,40.16,47.1722,Azerbaijan,AZ,AZE,Ağdam,,13002.0,1031479140
Corat,Corat,40.5725,49.7064,Azerbaijan,AZ,AZE,Sumqayıt,,12900.0,1031974785
Qazmalar,Qazmalar,40.9814,47.8458,Azerbaijan,AZ,AZE,Qəbələ,,12808.0,1031242200
Ələt,Alat,39.9411,49.4061,Azerbaijan,AZ,AZE,Bakı,,12600.0,1031947328
Tərtər,Tartar,40.345,46.9289,Azerbaijan,AZ,AZE,Tərtər,admin,12563.0,1031622673
Culfa,Culfa,38.9558,45.6308,Azerbaijan,AZ,AZE,Culfa,admin,12500.0,1031031472
