city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Dhaka,Dhaka,23.7639,90.3889,Bangladesh,BD,BGD,Dhaka,primary,18627000.0,1050529279
Chattogram,Chattogram,22.335,91.8325,Bangladesh,BD,BGD,Chattogram,admin,7000000.0,1050830722
Gāzipura,Gazipura,23.9889,90.375,Bangladesh,BD,BGD,Dhaka,,2674697.0,1050449249
Rājshāhi,Rajshahi,24.3667,88.6,Bangladesh,BD,BGD,Rājshāhi,admin,1600000.0,1050547831
Khulna,Khulna,22.8167,89.55,Bangladesh,BD,BGD,Khulna,admin,1400689.0,1050667339
Rangapukur,Rangapukur,25.56,89.25,Bangladesh,BD,BGD,Rangpur,,1031388.0,1050032005
Nārāyanganj,Narayanganj,23.62,90.5,Bangladesh,BD,BGD,Dhaka,,967951.0,1050424421
Mymensingh,Mymensingh,24.7539,90.4031,Bangladesh,BD,BGD,Mymensingh,admin,576927.0,1050399881
Sylhet,Sylhet,24.9,91.8667,Bangladesh,BD,BGD,Sylhet,admin,479837.0,1050646703
Sirājganj,Sirajganj,24.45,89.75,Bangladesh,BD,BGD,Rājshāhi,,450000.0,1050687094
Chauddagram,Chauddagram,23.2283,91.3133,Bangladesh,BD,BGD,Chattogram,,443648.0,1050749168
Kushtia,Kushtia,23.9101,89.1231,Bangladesh,BD,BGD,Khulna,,418312.0,1050000610
Barura,Barura,23.375,91.0583,Bangladesh,BD,BGD,Chattogram,,405118.0,1050831924
Bogra,Bogra,24.85,89.3667,Bangladesh,BD,BGD,Rājshāhi,,400983.0,1050833664
Tāngāil,Tangail,24.2644,89.9181,Bangladesh,BD,BGD,Dhaka,,392300.0,1050628940
Savar,Savar,23.85,90.26,Bangladesh,BD,BGD,Dhaka,,384093.0,1050038410
Tungi,Tungi,23.9,90.41,Bangladesh,BD,BGD,Dhaka,,350000.0,1050143008
Comilla,Comilla,23.45,91.2,Bangladesh,BD,BGD,Chattogram,,296010.0,1050609330
Rangpur,Rangpur,25.75,89.2444,Bangladesh,BD,BGD,Rangpur,admin,294265.0,1050667437
Brāhmanbāria,Brahmanbaria,23.9656,91.108,Bangladesh,BD,BGD,Chattogram,,268279.0,1050193121
Feni,Feni,23.0183,91.41,Bangladesh,BD,BGD,Chattogram,,265000.0,1050761871
Siddhirganj,Siddhirganj,23.6833,90.5167,Bangladesh,BD,BGD,Dhaka,,256760.0,1050651716
Jhenida,Jhenida,23.5417,89.1833,Bangladesh,BD,BGD,Khulna,,252500.0,1050491250
Companiganj,Companiganj,22.875,91.2833,Bangladesh,BD,BGD,Chattogram,,250579.0,1050000075
Jessore,Jessore,23.1704,89.2,Bangladesh,BD,BGD,Khulna,,243987.0,1050244487
Bānchpār,Banchpar,23.2,90.8,Bangladesh,BD,BGD,Chattogram,,241799.0,1050224894
Saidpur,Saidpur,25.8004,89.0,Bangladesh,BD,BGD,Rangpur,,232209.0,1050512022
Nazipur,Nazipur,25.0415,88.7605,Bangladesh,BD,BGD,Rājshāhi,,231900.0,1050310011
Barishal,Barishal,22.7,90.3667,Bangladesh,BD,BGD,Barishal,admin,230000.0,1050297281
Chuādānga,Chuadanga,23.644,88.8556,Bangladesh,BD,BGD,Khulna,,224576.0,1050405233
Cox’s Bāzār,Cox's Bazar,21.4272,92.005,Bangladesh,BD,BGD,Chattogram,,223522.0,1050836471
Dinājpur,Dinajpur,25.6167,88.65,Bangladesh,BD,BGD,Rangpur,,206200.0,1050817445
Brahmanpara,Brahmanpara,23.6167,91.1083,Bangladesh,BD,BGD,Chattogram,,204691.0,1050744970
Pābna,Pabna,24.0167,89.2167,Bangladesh,BD,BGD,Rājshāhi,,190317.0,1050424286
Narsingdi,Narsingdi,23.9231,90.7122,Bangladesh,BD,BGD,Dhaka,,185128.0,1050904616
Jamālpur,Jamalpur,24.9004,89.95,Bangladesh,BD,BGD,Mymensingh,,167900.0,1050233680
Naogaon,Naogaon,24.8,88.9333,Bangladesh,BD,BGD,Rājshāhi,minor,150025.0,1050668499
