city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Minsk,Minsk,53.9,27.5667,Belarus,BY,BLR,Minsk,primary,1995471.0,1112348503
Homyel’,Homyel',52.4453,30.9842,Belarus,BY,BLR,Homyel’skaya Voblasts’,admin,501802.0,1112580227
Vitsyebsk,Vitsyebsk,55.1917,30.2056,Belarus,BY,BLR,Vitsyebskaya Voblasts’,admin,359148.0,1112480679
Hrodna,Hrodna,53.6667,23.8333,Belarus,BY,BLR,Hrodzyenskaya Voblasts’,admin,358717.0,1112187197
Mahilyow,Mahilyow,53.9167,30.35,Belarus,BY,BLR,Mahilyowskaya Voblasts’,admin,353338.0,1112518993
Brest,Brest,52.1347,23.6569,Belarus,BY,BLR,Brestskaya Voblasts’,admin,342461.0,1112896927
Babruysk,Babruysk,53.15,29.2333,Belarus,BY,BLR,Mahilyowskaya Voblasts’,minor,208611.0,1112573808
Baranavichy,Baranavichy,53.1333,26.0167,Belarus,BY,BLR,Brestskaya Voblasts’,minor,172150.0,1112421165
Horad Barysaw,Horad Barysaw,54.2279,28.505,Belarus,BY,BLR,Minskaya Voblasts’,minor,155389.0,1112659163
Pinsk,Pinsk,52.1153,26.1031,Belarus,BY,BLR,Brestskaya Voblasts’,minor,124613.0,1112209279
Mazyr,Mazyr,52.05,29.25,Belarus,BY,BLR,Homyel’skaya Voblasts’,minor,105321.0,1112704173
Lida,Lida,53.8956,25.2958,Belarus,BY,BLR,Hrodzyenskaya Voblasts’,,103915.0,1112110662
Orsha,Orsha,54.5092,30.4258,Belarus,BY,BLR,Vitsyebskaya Voblasts’,minor,103658.0,1112188007
Salihorsk,Salihorsk,52.8,27.5333,Belarus,BY,BLR,Minskaya Voblasts’,minor,98590.0,1112250470
Navapolatsk,Navapolatsk,55.5333,28.65,Belarus,BY,BLR,Vitsyebskaya Voblasts’,,96320.0,1112965860
Maladzyechna,Maladzyechna,54.3208,26.8572,Belarus,BY,BLR,Minskaya Voblasts’,minor,89268.0,1112822882
Polatsk,Polatsk,55.4833,28.8,Belarus,BY,BLR,Vitsyebskaya Voblasts’,minor,79960.0,1112068992
Zhlobin,Zhlobin,52.9,30.0333,Belarus,BY,BLR,Homyel’skaya Voblasts’,minor,77049.0,1112494264
Rechytsa,Rechytsa,52.3639,30.3947,Belarus,BY,BLR,Homyel’skaya Voblasts’,minor,65423.0,1112587997
Horad Zhodzina,Horad Zhodzina,54.1,28.35,Belarus,BY,BLR,Minskaya Voblasts’,minor,64000.0,1112402017
Svyetlahorsk,Svyetlahorsk,52.6333,29.7333,Belarus,BY,BLR,Homyel’skaya Voblasts’,minor,63202.0,1112741799
Slutsk,Slutsk,53.0333,27.5667,Belarus,BY,BLR,Minskaya Voblasts’,minor,60376.0,1112178336
Kobryn,Kobryn,52.2167,24.3667,Belarus,BY,BLR,Brestskaya Voblasts’,minor,52670.0,1112806145
Slonim,Slonim,53.0833,25.3167,Belarus,BY,BLR,Hrodzyenskaya Voblasts’,minor,49113.0,1112619287
Vawkavysk,Vawkavysk,53.1667,24.4667,Belarus,BY,BLR,Hrodzyenskaya Voblasts’,minor,41991.0,1112164201
