city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Brussels,Brussels,50.8467,4.3525,Belgium,BE,BEL,Brussels-Capital Region,primary,1235192.0,1056469830
Antwerp,Antwerp,51.2178,4.4003,Belgium,BE,BEL,Flanders,minor,536079.0,1056168623
Gent,Gent,51.0536,3.7253,Belgium,BE,BEL,Flanders,minor,265086.0,1056062897
Charleroi,Charleroi,50.4,4.4333,Belgium,BE,BEL,Wallonia,minor,201816.0,1056263311
Liège,Liege,50.6397,5.5706,Belgium,BE,BEL,Wallonia,minor,195278.0,1056513284
Schaarbeek,Schaarbeek,50.8675,4.3736,Belgium,BE,BEL,Brussels-Capital Region,,132799.0,1056091146
Anderlecht,Anderlecht,50.8333,4.3333,Belgium,BE,BEL,Brussels-Capital Region,,120887.0,1056297471
Bruges,Bruges,51.2089,3.2242,Belgium,BE,BEL,Flanders,minor,118509.0,1056953902
Namur,Namur,50.4667,4.8667,Belgium,BE,BEL,Wallonia,admin,110939.0,1056954156
Moortebeek,Moortebeek,50.8547,4.3386,Belgium,BE,BEL,Flanders,,97979.0,1056103437
Mons,Mons,50.455,3.952,Belgium,BE,BEL,Wallonia,minor,95299.0,1056836704
Aalst,Aalst,50.9383,4.0392,Belgium,BE,BEL,Flanders,minor,88854.0,1056695813
Mechelen,Mechelen,51.0278,4.4806,Belgium,BE,BEL,Flanders,minor,86921.0,1056687706
Deurne,Deurne,51.2247,4.4625,Belgium,BE,BEL,Flanders,,82270.0,1056636125
La Louvière,La Louviere,50.4667,4.1833,Belgium,BE,BEL,Wallonia,,80986.0,1056383929
Sint-Niklaas,Sint-Niklaas,51.1667,4.1333,Belgium,BE,BEL,Flanders,minor,80167.0,1056028982
Kortrijk,Kortrijk,50.8275,3.2658,Belgium,BE,BEL,Flanders,minor,77741.0,1056702614
Hasselt,Hasselt,50.93,5.3375,Belgium,BE,BEL,Flanders,minor,77651.0,1056617022
Ostend,Ostend,51.2258,2.9194,Belgium,BE,BEL,Flanders,minor,71557.0,1056454956
Tournai,Tournai,50.6056,3.3881,Belgium,BE,BEL,Wallonia,minor,69554.0,1056138540
Genk,Genk,50.9667,5.5,Belgium,BE,BEL,Flanders,,66110.0,1056555160
Roeselare,Roeselare,50.9333,3.1167,Belgium,BE,BEL,Flanders,minor,64495.0,1056334112
Seraing,Seraing,50.5833,5.5,Belgium,BE,BEL,Wallonia,,64270.0,1056627579
Laeken,Laeken,50.8778,4.3558,Belgium,BE,BEL,Brussels-Capital Region,,60295.0,1056324535
Mouscron,Mouscron,50.7333,3.2167,Belgium,BE,BEL,Wallonia,minor,58234.0,1056095679
Forest,Forest,50.8131,4.3247,Belgium,BE,BEL,Brussels-Capital Region,,56581.0,1056640531
Verviers,Verviers,50.5833,5.85,Belgium,BE,BEL,Wallonia,minor,55198.0,1056464610
Jette,Jette,50.8667,4.3333,Belgium,BE,BEL,Brussels-Capital Region,,52728.0,1056315355
Beveren,Beveren,51.2,4.25,Belgium,BE,BEL,Flanders,,50281.0,1056581431
Etterbeek,Etterbeek,50.8333,4.3833,Belgium,BE,BEL,Brussels-Capital Region,,48473.0,1056267205
Beringen,Beringen,51.0489,5.2261,Belgium,BE,BEL,Flanders,,46065.0,1056300146
Borgerhout,Borgerhout,51.2117,4.4407,Belgium,BE,BEL,Flanders,,45769.0,1056235367
Dendermonde,Dendermonde,51.0333,4.1,Belgium,BE,BEL,Flanders,minor,45673.0,1056277590
Merksem,Merksem,51.2428,4.4414,Belgium,BE,BEL,Flanders,,44808.0,1056201097
Deinze,Deinze,50.9833,3.5333,Belgium,BE,BEL,Flanders,,44315.0,1056715271
Turnhout,Turnhout,51.3167,4.95,Belgium,BE,BEL,Flanders,minor,44136.0,1056378407
Vilvoorde,Vilvoorde,50.9333,4.4167,Belgium,BE,BEL,Flanders,minor,44015.0,1056838834
Berchem,Berchem,51.1833,4.4167,Belgium,BE,BEL,Flanders,,43180.0,1056254285
Heist-op-den-Berg,Heist-op-den-Berg,51.0833,4.7167,Belgium,BE,BEL,Flanders,,42950.0,1056533253
Lokeren,Lokeren,51.1,3.9833,Belgium,BE,BEL,Flanders,,42703.0,1056040417
Evere,Evere,50.8667,4.4,Belgium,BE,BEL,Brussels-Capital Region,,42656.0,1056731697
Dilbeek,Dilbeek,50.85,4.2667,Belgium,BE,BEL,Flanders,,42434.0,1056357068
Hoboken,Hoboken,51.1667,4.3667,Belgium,BE,BEL,Flanders,,41220.0,1056996414
Geel,Geel,51.1667,5.0,Belgium,BE,BEL,Flanders,,41146.0,1056650070
Sint-Truiden,Sint-Truiden,50.8,5.1833,Belgium,BE,BEL,Flanders,,40672.0,1056944500
Herstal,Herstal,50.6667,5.6333,Belgium,BE,BEL,Wallonia,,39958.0,1056571016
Braine-l’Alleud,Braine-l'Alleud,50.6833,4.3667,Belgium,BE,BEL,Wallonia,,39837.0,1056287952
Ninove,Ninove,50.8333,4.0167,Belgium,BE,BEL,Flanders,,39626.0,1056641524
Halle,Halle,50.7361,4.2372,Belgium,BE,BEL,Flanders,,39096.0,1056061836
Waregem,Waregem,50.8833,3.4167,Belgium,BE,BEL,Flanders,,38347.0,1056938686
Wilrijk,Wilrijk,51.1667,4.3833,Belgium,BE,BEL,Flanders,,38319.0,1056856588
Brasschaat,Brasschaat,51.3,4.5,Belgium,BE,BEL,Flanders,,38223.0,1056299309
Mechelen-aan-de-Maas,Mechelen-aan-de-Maas,50.9667,5.7,Belgium,BE,BEL,Flanders,,38193.0,1056407060
Grimbergen,Grimbergen,50.9333,4.3833,Belgium,BE,BEL,Flanders,,37355.0,1056864579
Mol,Mol,51.1833,5.1167,Belgium,BE,BEL,Flanders,,37022.0,1056847907
Lierre,Lierre,51.1333,4.5667,Belgium,BE,BEL,Flanders,,36646.0,1056505135
Châtelet,Chatelet,50.4,4.5167,Belgium,BE,BEL,Wallonia,,36101.0,1056557187
Evergem,Evergem,51.1167,3.7,Belgium,BE,BEL,Flanders,,35239.0,1056954111
Zaventem,Zaventem,50.8667,4.4667,Belgium,BE,BEL,Flanders,,35184.0,1056786797
Ieper,Ieper,50.8508,2.885,Belgium,BE,BEL,Flanders,minor,35039.0,1056744519
Tienen,Tienen,50.8,4.9333,Belgium,BE,BEL,Flanders,,34675.0,1056670352
Schoten,Schoten,51.25,4.5,Belgium,BE,BEL,Flanders,,34462.0,1056187001
Wavre,Wavre,50.7167,4.6,Belgium,BE,BEL,Wallonia,minor,34305.0,1056538762
Lommel,Lommel,51.2333,5.3,Belgium,BE,BEL,Flanders,,34044.0,1056200489
Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,50.7833,4.25,Belgium,BE,BEL,Flanders,,34038.0,1056770935
Menen,Menen,50.8,3.1167,Belgium,BE,BEL,Flanders,,33982.0,1056841514
Binche,Binche,50.4,4.1667,Belgium,BE,BEL,Wallonia,,33598.0,1056520553
Geraardsbergen,Geraardsbergen,50.7667,3.8667,Belgium,BE,BEL,Flanders,,33403.0,1056572611
Knokke-Heist,Knokke-Heist,51.3333,3.2833,Belgium,BE,BEL,Flanders,,33097.0,1056022450
Asse,Asse,50.9,4.2,Belgium,BE,BEL,Flanders,,32958.0,1056775940
Bilzen,Bilzen,50.8667,5.5167,Belgium,BE,BEL,Flanders,,32318.0,1056431359
