city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Cotonou,Cotonou,6.3667,2.4333,Benin,BJ,BEN,Littoral,primary,679012.0,1204955174
Abomey-Calavi,Abomey-Calavi,6.4486,2.3556,Benin,BJ,BEN,Atlantique,,655965.0,1204016569
Godomè,Godome,6.3667,2.35,Benin,BJ,BEN,Atlantique,,253262.0,1204027999
Banikoara,Banikoara,11.3,2.4333,Benin,BJ,BEN,Alibori,,248621.0,1204495680
Djougou,Djougou,9.7,1.6667,Benin,BJ,BEN,Donga,admin,237040.0,1204972666
Tchaourou,Tchaourou,8.8833,2.6,Benin,BJ,BEN,Borgou,,221108.0,1204695000
Parakou,Parakou,9.35,2.6167,Benin,BJ,BEN,Borgou,admin,206667.0,1204807468
Kandi,Kandi,11.1286,2.9369,Benin,BJ,BEN,Alibori,admin,177683.0,1204875413
Aplahoué,Aplahoue,6.9333,1.6833,Benin,BJ,BEN,Couffo,,170069.0,1204958955
Kalalé,Kalale,10.2953,3.3786,Benin,BJ,BEN,Borgou,,168882.0,1204531108
Malanville,Malanville,11.8667,3.3833,Benin,BJ,BEN,Atacora,,168006.0,1204159179
Kétou,Ketou,7.3581,2.6075,Benin,BJ,BEN,Plateau,,156497.0,1204020661
Bohicon,Bohicon,7.2,2.0667,Benin,BJ,BEN,Zou,,149271.0,1204200335
Djakotomé,Djakotome,6.9,1.7167,Benin,BJ,BEN,Couffo,,134704.0,1204961382
Porto-Novo,Porto-Novo,6.4972,2.605,Benin,BJ,BEN,Ouémé,primary,133168.0,1204172060
Zagnanado,Zagnanado,7.2667,2.35,Benin,BJ,BEN,Zou,,132401.0,1204320194
Bassila,Bassila,9.0167,1.6667,Benin,BJ,BEN,Donga,,130770.0,1204259496
Avrankou,Avrankou,6.55,2.6667,Benin,BJ,BEN,Ouémé,,128050.0,1204861603
Allada,Allada,6.65,2.15,Benin,BJ,BEN,Atlantique,,127512.0,1204001429
Missérété,Misserete,6.5625,2.5853,Benin,BJ,BEN,Ouémé,,127249.0,1204481663
Glazoué,Glazoue,7.9736,2.24,Benin,BJ,BEN,Collines,,124431.0,1204842273
Pobé,Pobe,6.9667,2.6833,Benin,BJ,BEN,Plateau,,123740.0,1204955158
Djidja,Djidja,7.3333,1.9333,Benin,BJ,BEN,Zou,,123542.0,1204250731
Lalo,Lalo,6.9167,1.8833,Benin,BJ,BEN,Couffo,,119926.0,1204461381
Gogounou,Gogounou,10.8386,2.8361,Benin,BJ,BEN,Alibori,,117793.0,1204602986
Adjaouèrè,Adjaouere,7.0,2.6167,Benin,BJ,BEN,Plateau,,115953.0,1204225827
Sakété,Sakete,6.7364,2.6581,Benin,BJ,BEN,Plateau,admin,114207.0,1204601704
Matéri,Materi,10.6978,1.0633,Benin,BJ,BEN,Atacora,,113958.0,1204459888
Ifanhim,Ifanhim,6.6667,2.7167,Benin,BJ,BEN,Plateau,,113749.0,1204693168
Ndali,Ndali,9.8608,2.7181,Benin,BJ,BEN,Borgou,,113604.0,1204045508
Dassa-Zoumé,Dassa-Zoume,7.75,2.1833,Benin,BJ,BEN,Collines,,112118.0,1204114587
Kouandé,Kouande,10.3317,1.6914,Benin,BJ,BEN,Atacora,,112014.0,1204029400
Banté,Bante,8.4167,1.8833,Benin,BJ,BEN,Collines,,106945.0,1204394009
Lokossa,Lokossa,6.6333,1.7167,Benin,BJ,BEN,Mono,admin,106081.0,1204036358
Natitingou,Natitingou,10.3,1.3667,Benin,BJ,BEN,Atacora,admin,104010.0,1204752595
Tota,Tota,6.8,1.7833,Benin,BJ,BEN,Couffo,,101870.0,1204352038
Adjarra,Adjarra,6.5333,2.6667,Benin,BJ,BEN,Ouémé,,97424.0,1204832299
Ouidah,Ouidah,6.3667,2.0833,Benin,BJ,BEN,Atlantique,admin,91688.0,1204541753
Sinendé,Sinende,10.3447,2.3792,Benin,BJ,BEN,Borgou,,91672.0,1204182311
Abomey,Abomey,7.1856,1.9881,Benin,BJ,BEN,Zou,admin,90195.0,1204597697
Ségbana,Segbana,10.9278,3.6944,Benin,BJ,BEN,Alibori,,89268.0,1204782008
Toviklin,Toviklin,6.8333,1.8167,Benin,BJ,BEN,Couffo,,88611.0,1204701826
Boukoumbé,Boukoumbe,10.1833,1.1,Benin,BJ,BEN,Atacora,,83147.0,1204827134
Pèrèrè,Perere,9.7994,2.9928,Benin,BJ,BEN,Borgou,,78988.0,1204059359
Péhonko,Pehonko,10.2283,2.0019,Benin,BJ,BEN,Atacora,,78217.0,1204295188
So-Awa,So-Awa,6.4667,2.4167,Benin,BJ,BEN,Atlantique,,76315.0,1204255912
Toffo,Toffo,6.85,2.0833,Benin,BJ,BEN,Atlantique,,74717.0,1204877588
Tanguiéta,Tanguieta,10.6167,1.2667,Benin,BJ,BEN,Atacora,,74675.0,1204832080
Péda-Houéyogbé,Peda-Houeyogbe,6.45,1.9333,Benin,BJ,BEN,Mono,,74492.0,1204188588
Ouaké,Ouake,9.6617,1.3847,Benin,BJ,BEN,Donga,,74289.0,1204988582
Zogbodomé,Zogbodome,7.0833,2.1,Benin,BJ,BEN,Zou,,72338.0,1204008692
Kopargo,Kopargo,9.8375,1.5481,Benin,BJ,BEN,Donga,,70938.0,1204451155
Bopa,Bopa,6.5833,1.9833,Benin,BJ,BEN,Mono,,70268.0,1204457759
Nikki,Nikki,9.9333,3.2083,Benin,BJ,BEN,Borgou,,69970.0,1204598313
Karimama,Karimama,12.0667,3.1833,Benin,BJ,BEN,Alibori,,66675.0,1204991433
Dangbo,Dangbo,6.5,2.6833,Benin,BJ,BEN,Ouémé,,66055.0,1204613725
Adjohon,Adjohon,6.7,2.4667,Benin,BJ,BEN,Ouémé,,60955.0,1204412228
Ouinhri,Ouinhri,7.0,2.45,Benin,BJ,BEN,Zou,,59381.0,1204186479
Grand-Popo,Grand-Popo,6.2833,1.8333,Benin,BJ,BEN,Mono,,57636.0,1204984679
Athiémé,Athieme,6.5833,1.6667,Benin,BJ,BEN,Mono,,56483.0,1204354787
Agbangnizoun,Agbangnizoun,7.0667,1.9667,Benin,BJ,BEN,Zou,,55001.0,1204553139
Tori-Bossito,Tori-Bossito,6.5031,2.145,Benin,BJ,BEN,Atlantique,,44569.0,1204446512
Cové,Cove,7.2333,2.3,Benin,BJ,BEN,Zou,,43554.0,1204989651
Toukountouna,Toukountouna,10.4986,1.3756,Benin,BJ,BEN,Atacora,,39779.0,1204293214
Kérou,Kerou,10.825,2.1094,Benin,BJ,BEN,Atacora,,37419.0,1204765359
