city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Santa Cruz de la Sierra,Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,BO,BOL,Santa Cruz,,3151676.0,1068005036
La Paz,La Paz,-16.4958,-68.1333,Bolivia,BO,BOL,La Paz,primary,2867504.0,1068000064
Santa Cruz,Santa Cruz,-17.8,-63.1833,Bolivia,BO,BOL,Santa Cruz,admin,1867673.0,1068129363
El Alto,El Alto,-16.5047,-68.1633,Bolivia,BO,BOL,La Paz,,943000.0,1068007058
Cochabamba,Cochabamba,-17.3883,-66.1597,Bolivia,BO,BOL,Cochabamba,admin,856198.0,1068793894
Oruro,Oruro,-17.9667,-67.1167,Bolivia,BO,BOL,Oruro,,351802.0,1068626742
Sucre,Sucre,-19.0475,-65.26,Bolivia,BO,BOL,Chuquisaca,primary,300000.0,1068823873
Tarija,Tarija,-21.5333,-64.7333,Bolivia,BO,BOL,Tarija,admin,268000.0,1068356085
Potosí,Potosi,-19.5892,-65.7533,Bolivia,BO,BOL,Potosí,admin,264402.0,1068933987
Oruro,Oruro,-17.9833,-67.15,Bolivia,BO,BOL,Oruro,admin,246501.0,1068271533
Warnes,Warnes,-17.5167,-63.1667,Bolivia,BO,BOL,Santa Cruz,,214216.0,1068890339
Sacaba,Sacaba,-17.4042,-66.0408,Bolivia,BO,BOL,Cochabamba,,172466.0,1068288609
Montero,Montero,-17.3422,-63.2558,Bolivia,BO,BOL,Santa Cruz,,137931.0,1068836323
Quillacollo,Quillacollo,-17.4,-66.2833,Bolivia,BO,BOL,Cochabamba,,137182.0,1068265899
Trinidad,Trinidad,-14.8292,-64.9014,Bolivia,BO,BOL,El Beni,admin,130657.0,1068929509
Riberalta,Riberalta,-11.0128,-66.0572,Bolivia,BO,BOL,El Beni,,99070.0,1068951603
Yacuiba,Yacuiba,-22.0153,-63.6772,Bolivia,BO,BOL,Tarija,,97296.0,1068671079
Villa Tunari,Villa Tunari,-16.9747,-65.4203,Bolivia,BO,BOL,Cochabamba,,71386.0,1068987267
Colcapirhua,Colcapirhua,-17.4167,-66.25,Bolivia,BO,BOL,Cochabamba,,48631.0,1068759261
