city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
São Paulo,Sao Paulo,-23.55,-46.6333,Brazil,BR,BRA,São Paulo,admin,23086000.0,1076532519
Rio de Janeiro,Rio de Janeiro,-22.9111,-43.2056,Brazil,BR,BRA,Rio de Janeiro,admin,12592000.0,1076887657
Belo Horizonte,Belo Horizonte,-19.9167,-43.9333,Brazil,BR,BRA,Minas Gerais,admin,5328000.0,1076967355
Fortaleza,Fortaleza,-3.7275,-38.5275,Brazil,BR,BRA,Ceará,admin,4167996.0,1076567885
Brasília,Brasilia,-15.7939,-47.8828,Brazil,BR,BRA,Distrito Federal,primary,2817068.0,1076144436
Salvador,Salvador,-12.9747,-38.4767,Brazil,BR,BRA,Bahia,admin,2418005.0,1076923789
Manaus,Manaus,-3.1189,-60.0217,Brazil,BR,BRA,Amazonas,admin,2063547.0,1076607274
Santos,Santos,-23.9369,-46.325,Brazil,BR,BRA,São Paulo,,1897551.0,1076033299
Curitiba,Curitiba,-25.4297,-49.2711,Brazil,BR,BRA,Paraná,admin,1773733.0,1076701712
Recife,Recife,-8.05,-34.9,Brazil,BR,BRA,Pernambuco,admin,1488920.0,1076137337
Goiânia,Goiania,-16.6667,-49.25,Brazil,BR,BRA,Goiás,admin,1437237.0,1076034054
Porto Alegre,Porto Alegre,-30.0331,-51.23,Brazil,BR,BRA,Rio Grande do Sul,admin,1332570.0,1076658221
Guarulhos,Guarulhos,-23.4628,-46.5328,Brazil,BR,BRA,São Paulo,,1324781.0,1076730420
Belém,Belem,-1.4558,-48.5039,Brazil,BR,BRA,Pará,admin,1303389.0,1076646823
Campinas,Campinas,-22.9058,-47.0608,Brazil,BR,BRA,São Paulo,,1213792.0,1076145766
São Luís,Sao Luis,-2.5283,-44.3044,Brazil,BR,BRA,Maranhão,admin,1037775.0,1076819308
Natal,Natal,-6.9838,-60.2699,Brazil,BR,BRA,Amazonas,,980588.0,1076336975
Maceió,Maceio,-9.6658,-35.735,Brazil,BR,BRA,Alagoas,admin,957916.0,1076440479
Teresina,Teresina,-5.0949,-42.8042,Brazil,BR,BRA,Piauí,admin,953172.0,1076727667
Campo Grande,Campo Grande,-20.4839,-54.615,Brazil,BR,BRA,Mato Grosso do Sul,admin,897938.0,1076660445
São Gonçalo,Sao Goncalo,-22.8269,-43.0539,Brazil,BR,BRA,Rio de Janeiro,,896744.0,1076485783
Iguaçu,Iguacu,-22.74,-43.47,Brazil,BR,BRA,Rio de Janeiro,,844583.0,1076339714
João Pessoa,Joao Pessoa,-7.12,-34.88,Brazil,BR,BRA,Paraíba,admin,833932.0,1076922014
São Bernardo do Campo,Sao Bernardo do Campo,-23.7,-46.55,Brazil,BR,BRA,São Paulo,,810729.0,1076793227
Natal,Natal,-5.7833,-35.2,Brazil,BR,BRA,Rio Grande do Norte,admin,751300.0,1076697777
Santo André,Santo Andre,-23.6572,-46.5333,Brazil,BR,BRA,São Paulo,,748919.0,1076625886
Osasco,Osasco,-23.5328,-46.7919,Brazil,BR,BRA,São Paulo,,743432.0,1076786452
