city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bandar Seri Begawan,Bandar Seri Begawan,4.8903,114.9422,Brunei,BN,BRN,Brunei dan Muara,primary,50000.0,1096465895
Seria,Seria,4.6141,114.3302,Brunei,BN,BRN,Belait,,21082.0,1096351415
Kampong Tunah Jambu,Kampong Tunah Jambu,4.9957,115.0019,Brunei,BN,BRN,Brunei dan Muara,,8809.0,1096755570
Kuala Belait,Kuala Belait,4.5828,114.1918,Brunei,BN,BRN,Belait,admin,4259.0,1096999548
Bangar,Bangar,4.7086,115.0739,Brunei,BN,BRN,Temburong,admin,626.0,1096321221
Tutong,Tutong,4.8067,114.6592,Brunei,BN,BRN,Tutong,admin,,1096181037
Bandar Seri Begawan,Bandar Seri Begawan,4.8903,114.9422,Brunei,BN,BRN,Brunei dan Muara,primary,50000.0,1096465895
Seria,Seria,4.6141,114.3302,Brunei,BN,BRN,Belait,,21082.0,1096351415
Kampong Tunah Jambu,Kampong Tunah Jambu,4.9957,115.0019,Brunei,BN,BRN,Brunei dan Muara,,8809.0,1096755570
Kuala Belait,Kuala Belait,4.5828,114.1918,Brunei,BN,BRN,Belait,admin,4259.0,1096999548
Bangar,Bangar,4.7086,115.0739,Brunei,BN,BRN,Temburong,admin,626.0,1096321221
Tutong,Tutong,4.8067,114.6592,Brunei,BN,BRN,Tutong,admin,,1096181037
