city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Sofia,Sofia,42.7,23.33,Bulgaria,BG,BGR,Sofia-Grad,primary,1547779.0,1100762037
Varna,Varna,43.2167,27.9167,Bulgaria,BG,BGR,Varna,admin,348594.0,1100789115
Plovdiv,Plovdiv,42.15,24.75,Bulgaria,BG,BGR,Plovdiv,admin,346893.0,1100436706
Burgas,Burgas,42.503,27.4702,Bulgaria,BG,BGR,Burgas,admin,210813.0,1100365645
Ruse,Ruse,43.8231,25.9539,Bulgaria,BG,BGR,Ruse,admin,143325.0,1100854249
Stara Zagora,Stara Zagora,42.4256,25.6344,Bulgaria,BG,BGR,Stara Zagora,admin,142746.0,1100903924
Pleven,Pleven,43.4078,24.6203,Bulgaria,BG,BGR,Pleven,admin,119596.0,1100973719
Sliven,Sliven,42.6833,26.3333,Bulgaria,BG,BGR,Sliven,admin,115241.0,1100110215
Pernik,Pernik,42.6,23.0333,Bulgaria,BG,BGR,Pernik,admin,97181.0,1100616332
Pazardzhik,Pazardzhik,42.2,24.3333,Bulgaria,BG,BGR,Pazardzhik,admin,90309.0,1100273248
Dobrich,Dobrich,43.5667,27.8333,Bulgaria,BG,BGR,Dobrich,admin,89701.0,1100364404
Shumen,Shumen,43.2833,26.9333,Bulgaria,BG,BGR,Shumen,admin,85410.0,1100000004
Haskovo,Haskovo,41.9333,25.5667,Bulgaria,BG,BGR,Haskovo,admin,83682.0,1100186247
Veliko Tarnovo,Veliko Tarnovo,43.0778,25.6167,Bulgaria,BG,BGR,Veliko Tarnovo,admin,76834.0,1100134696
Blagoevgrad,Blagoevgrad,42.0119,23.0897,Bulgaria,BG,BGR,Blagoevgrad,admin,74066.0,1100214416
Yambol,Yambol,42.4833,26.5,Bulgaria,BG,BGR,Yambol,admin,70588.0,1100748067
Kazanlak,Kazanlak,42.6167,25.4,Bulgaria,BG,BGR,Stara Zagora,,66169.0,1100673552
Asenovgrad,Asenovgrad,42.0167,24.8667,Bulgaria,BG,BGR,Plovdiv,,65962.0,1100200929
Kyustendil,Kyustendil,42.2833,22.6833,Bulgaria,BG,BGR,Kyustendil,admin,60681.0,1100543134
