city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Ouagadougou,Ouagadougou,12.3686,-1.5275,Burkina Faso,BF,BFA,Centre,primary,2453496.0,1854029208
Bobo-Dioulasso,Bobo-Dioulasso,11.1833,-4.2833,Burkina Faso,BF,BFA,Hauts-Bassins,admin,903887.0,1854348796
Koudougou,Koudougou,12.25,-2.3667,Burkina Faso,BF,BFA,Centre-Ouest,admin,160207.0,1854839075
Ouahigouya,Ouahigouya,13.5833,-2.4167,Burkina Faso,BF,BFA,Nord,admin,124580.0,1854011699
Kaya,Kaya,13.0833,-1.0833,Burkina Faso,BF,BFA,Centre-Nord,admin,122949.0,1854170035
Banfora,Banfora,10.6308,-4.7589,Burkina Faso,BF,BFA,Cascades,admin,117200.0,1854763822
Pouytenga,Pouytenga,12.25,-0.4333,Burkina Faso,BF,BFA,Centre-Est,,99950.0,1854151910
Houndé,Hounde,11.5,-3.5167,Burkina Faso,BF,BFA,Hauts-Bassins,minor,87154.0,1854289245
Fada Ngourma,Fada Ngourma,12.05,0.3667,Burkina Faso,BF,BFA,Est,admin,73200.0,1854057074
Dédougou,Dedougou,12.4667,-3.4667,Burkina Faso,BF,BFA,Boucle du Mouhoun,admin,63617.0,1854743311
Djibo,Djibo,14.1011,-1.6306,Burkina Faso,BF,BFA,Sahel,minor,61456.0,1854364299
Tenkodogo,Tenkodogo,11.7833,-0.3667,Burkina Faso,BF,BFA,Centre-Est,admin,58600.0,1854646157
Kongoussi,Kongoussi,13.3333,-1.5333,Burkina Faso,BF,BFA,Centre-Nord,minor,53641.0,1854493633
Titao,Titao,13.25,-2.05,Burkina Faso,BF,BFA,Nord,minor,48242.0,1854649320
Dori,Dori,14.03,-0.03,Burkina Faso,BF,BFA,Sahel,admin,46521.0,1854096946
Koupéla,Koupela,12.1794,-0.3517,Burkina Faso,BF,BFA,Centre-Est,minor,45900.0,1854841246
Aribinda,Aribinda,14.2292,-0.8633,Burkina Faso,BF,BFA,Sahel,minor,45818.0,1854268234
Gaoua,Gaoua,10.3167,-3.1667,Burkina Faso,BF,BFA,Sud-Ouest,,45284.0,1854142068
Gaoua,Gaoua,10.3167,-3.1667,Burkina Faso,BF,BFA,Sud-Ouest,admin,45189.0,1854285570
Garango,Garango,11.8,-0.55,Burkina Faso,BF,BFA,Centre-Est,,45150.0,1854695901
Tanghin-Dassouri,Tanghin-Dassouri,12.2667,-1.7167,Burkina Faso,BF,BFA,Centre,minor,43675.0,1854307252
Gourcy,Gourcy,13.2167,-2.35,Burkina Faso,BF,BFA,Nord,minor,40144.0,1854167073
Yako,Yako,12.9667,-2.2667,Burkina Faso,BF,BFA,Nord,minor,38689.0,1854815200
Bindé,Binde,11.75,-1.1,Burkina Faso,BF,BFA,Centre-Sud,,36518.0,1854349204
Zorgo,Zorgo,12.25,-0.6167,Burkina Faso,BF,BFA,Plateau-Central,minor,35406.0,1854077108
Réo,Reo,12.3167,-2.4667,Burkina Faso,BF,BFA,Centre-Ouest,minor,33893.0,1854684997
Léo,Leo,11.1,-2.1,Burkina Faso,BF,BFA,Centre-Ouest,minor,33717.0,1854225723
Niangoloko,Niangoloko,10.2833,-4.9167,Burkina Faso,BF,BFA,Cascades,,33500.0,1854857887
