city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bangui,Bangui,4.3733,18.5628,Central African Republic,CF,CAF,Bangui,primary,889231.0,1140080881
Bimo,Bimo,4.3137,18.3065,Central African Republic,CF,CAF,Ombella-Mpoko,,267859.0,1140873996
Mambéré,Mambere,5.5,15.5,Central African Republic,CF,CAF,Nana-Mambéré,,233666.0,1140081585
Bimbo,Bimbo,4.2558,18.4042,Central African Republic,CF,CAF,Ombella-Mpoko,admin,124176.0,1140257478
Berbérati,Berberati,4.2614,15.7894,Central African Republic,CF,CAF,Mambéré-Kadéï,admin,76918.0,1140239733
Bocaranga,Bocaranga,6.9844,15.6408,Central African Republic,CF,CAF,Ouham-Pendé,,61190.0,1140638385
Carnot,Carnot,4.94,15.87,Central African Republic,CF,CAF,Mambéré-Kadéï,,45421.0,1140319605
Nola,Nola,3.5333,16.0667,Central African Republic,CF,CAF,Sangha-Mbaéré,admin,41462.0,1140236347
Bambari,Bambari,5.7653,20.6742,Central African Republic,CF,CAF,Ouaka,admin,41356.0,1140304277
Bouar,Bouar,5.95,15.6,Central African Republic,CF,CAF,Nana-Mambéré,admin,40353.0,1140144321
Bossangoa,Bossangoa,6.4833,17.45,Central African Republic,CF,CAF,Ouham,admin,36478.0,1140523604
Bria,Bria,6.5369,21.9919,Central African Republic,CF,CAF,Haute-Kotto,admin,35204.0,1140582053
Bangassou,Bangassou,4.7374,22.8195,Central African Republic,CF,CAF,Mbomou,admin,31453.0,1140539356
Kaga Bandoro,Kaga Bandoro,7.0,19.1833,Central African Republic,CF,CAF,Nana-Grébizi,admin,24661.0,1140658026
Sibut,Sibut,5.7333,19.0833,Central African Republic,CF,CAF,Kémo,admin,22419.0,1140802055
Mbaïki,Mbaiki,3.8833,18.0,Central African Republic,CF,CAF,Lobaye,admin,22166.0,1140040245
Bozoum,Bozoum,6.3172,16.3783,Central African Republic,CF,CAF,Ouham-Pendé,admin,20665.0,1140416562
Zemio,Zemio,5.0333,25.1333,Central African Republic,CF,CAF,Haut-Mbomou,,20000.0,1140178462
Bakouma,Bakouma,5.6986,22.7833,Central African Republic,CF,CAF,Mbomou,,17599.0,1140312993
Paoua,Paoua,7.25,16.4333,Central African Republic,CF,CAF,Ouham-Pendé,,17370.0,1140636739
Ippy,Ippy,6.25,21.2,Central African Republic,CF,CAF,Ouaka,,16571.0,1140476425
Grimari,Grimari,5.7167,20.05,Central African Republic,CF,CAF,Ouaka,,16486.0,1140969115
Bobangui,Bobangui,4.05,18.1167,Central African Republic,CF,CAF,Lobaye,,16486.0,1140666891
Batangafo,Batangafo,7.3,18.3,Central African Republic,CF,CAF,Ouham,,16420.0,1140264100
Kabo,Kabo,7.6994,18.6292,Central African Republic,CF,CAF,Ouham,,16279.0,1140386370
Alindao,Alindao,5.0333,21.2167,Central African Republic,CF,CAF,Basse-Kotto,,14401.0,1140620640
Rafaï,Rafai,4.9731,23.9319,Central African Republic,CF,CAF,Mbomou,,14000.0,1140732903
Ndélé,Ndele,8.4092,20.6531,Central African Republic,CF,CAF,Bamingui-Bangoran,admin,13704.0,1140271951
Gamboula,Gamboula,4.1333,15.15,Central African Republic,CF,CAF,Mambéré-Kadéï,,13048.0,1140530300
Bouca,Bouca,6.5,18.2833,Central African Republic,CF,CAF,Ouham,,12280.0,1140720840
Birao,Birao,10.294,22.782,Central African Republic,CF,CAF,Vakaga,admin,10178.0,1140392673
Mboki,Mboki,5.316,25.9571,Central African Republic,CF,CAF,Haut-Mbomou,,10000.0,1140277329
Boali,Boali,4.8,18.1167,Central African Republic,CF,CAF,Ombella-Mpoko,,9314.0,1140101002
Bossembele,Bossembele,5.2667,17.65,Central African Republic,CF,CAF,Ombella-Mpoko,,7287.0,1140955210
Obo,Obo,5.4,26.5,Central African Republic,CF,CAF,Haut-Mbomou,admin,7187.0,1140533897
Mobaye,Mobaye,4.3167,21.1833,Central African Republic,CF,CAF,Basse-Kotto,admin,7176.0,1140935252
Ouadda,Ouadda,8.0667,22.4,Central African Republic,CF,CAF,Haute-Kotto,,5434.0,1140640564
Yakossi,Yakossi,5.617,23.3167,Central African Republic,CF,CAF,Mbomou,,500.0,1140246753
