city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Santiago,Santiago,-33.4372,-70.6506,Chile,CL,CHL,Región Metropolitana,primary,7171000.0,1152554349
Concepción,Concepcion,-36.8282,-73.0514,Chile,CL,CHL,Biobío,admin,719944.0,1152838958
Puente Alto,Puente Alto,-33.6167,-70.5667,Chile,CL,CHL,Región Metropolitana,minor,573935.0,1152516346
Maipú,Maipu,-33.5167,-70.7667,Chile,CL,CHL,Región Metropolitana,,521627.0,1152583016
La Florida,La Florida,-33.5333,-70.5833,Chile,CL,CHL,Región Metropolitana,,366916.0,1152939649
Antofagasta,Antofagasta,-23.65,-70.4,Chile,CL,CHL,Antofagasta,admin,348517.0,1152734289
Viña del Mar,Vina del Mar,-33.0244,-71.5517,Chile,CL,CHL,Valparaíso,,332875.0,1152898644
San Bernardo,San Bernardo,-33.5833,-70.7,Chile,CL,CHL,Región Metropolitana,minor,301313.0,1152050361
Valparaíso,Valparaiso,-33.0461,-71.6197,Chile,CL,CHL,Valparaíso,admin,296655.0,1152337970
Temuco,Temuco,-38.7333,-72.6667,Chile,CL,CHL,Araucanía,admin,282415.0,1152318955
Las Condes,Las Condes,-33.4117,-70.55,Chile,CL,CHL,Región Metropolitana,,249893.0,1152858037
Rancagua,Rancagua,-34.1667,-70.75,Chile,CL,CHL,Libertador General Bernardo O’Higgins,admin,231370.0,1152672356
Peñalolén,Penalolen,-33.4833,-70.55,Chile,CL,CHL,Región Metropolitana,,216060.0,1152224242
Quilicura,Quilicura,-33.3667,-70.7333,Chile,CL,CHL,Región Metropolitana,,210410.0,1152402180
Talca,Talca,-35.4269,-71.6656,Chile,CL,CHL,Maule,admin,206069.0,1152736946
Coquimbo,Coquimbo,-29.9531,-71.3433,Chile,CL,CHL,Coquimbo,minor,204068.0,1152038253
Arica,Arica,-18.4778,-70.3181,Chile,CL,CHL,Arica y Parinacota,admin,202131.0,1152531089
La Serena,La Serena,-29.9,-71.25,Chile,CL,CHL,Coquimbo,admin,195382.0,1152155065
Iquique,Iquique,-20.2167,-70.15,Chile,CL,CHL,Tarapacá,admin,188003.0,1152234625
La Pintana,La Pintana,-33.5833,-70.6333,Chile,CL,CHL,Región Metropolitana,,177335.0,1152999558
El Bosque,El Bosque,-33.5667,-70.675,Chile,CL,CHL,Región Metropolitana,,175594.0,1152734764
Puerto Montt,Puerto Montt,-41.4667,-72.9333,Chile,CL,CHL,Los Lagos,admin,169736.0,1152443957
Chillán,Chillan,-36.6,-72.1167,Chile,CL,CHL,Ñuble,admin,164270.0,1152082093
Osorno,Osorno,-40.5725,-73.1353,Chile,CL,CHL,Los Lagos,minor,160000.0,1152866014
Calama,Calama,-22.4667,-68.9333,Chile,CL,CHL,Antofagasta,minor,157575.0,1152168074
Copiapó,Copiapo,-27.3664,-70.3331,Chile,CL,CHL,Atacama,admin,150804.0,1152406965
Talcahuano,Talcahuano,-36.7167,-73.1219,Chile,CL,CHL,Biobío,,150499.0,1152023044
Valdivia,Valdivia,-39.8139,-73.2458,Chile,CL,CHL,Los Ríos,admin,150048.0,1152201132
Quilpué,Quilpue,-33.05,-71.45,Chile,CL,CHL,Valparaíso,minor,147991.0,1152063222
Colina,Colina,-33.2017,-70.6703,Chile,CL,CHL,Región Metropolitana,minor,146209.0,1152944896
Los Ángeles,Los Angeles,-37.4667,-72.35,Chile,CL,CHL,Biobío,minor,143023.0,1152810305
Curicó,Curico,-34.9833,-71.2333,Chile,CL,CHL,Maule,minor,136954.0,1152564798
Renca,Renca,-33.4,-70.7167,Chile,CL,CHL,Región Metropolitana,,133518.0,1152882154
Conchalí,Conchali,-33.3833,-70.675,Chile,CL,CHL,Región Metropolitana,,133256.0,1152123561
Villa Alemana,Villa Alemana,-33.0422,-71.3733,Chile,CL,CHL,Valparaíso,,125140.0,1152839066
Punta Arenas,Punta Arenas,-53.1667,-70.9333,Chile,CL,CHL,Magallanes y de la Antártica Chilena,admin,123403.0,1152262933
La Granja,La Granja,-33.5333,-70.625,Chile,CL,CHL,Región Metropolitana,,116571.0,1152785745
Coronel,Coronel,-37.0167,-73.2167,Chile,CL,CHL,Biobío,,116262.0,1152234834
Macul,Macul,-32.6583,-70.6,Chile,CL,CHL,Región Metropolitana,,112535.0,1152608665
Melipilla,Melipilla,-33.6253,-71.2711,Chile,CL,CHL,Región Metropolitana,minor,108540.0,1152483678
Alto Hospicio,Alto Hospicio,-20.25,-70.1167,Chile,CL,CHL,Tarapacá,,108375.0,1152536354
Lo Barnechea,Lo Barnechea,-33.35,-70.5167,Chile,CL,CHL,Región Metropolitana,,105833.0,1152490874
Espejo,Espejo,-33.5167,-70.6917,Chile,CL,CHL,Región Metropolitana,,98804.0,1152487376
