city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bogotá,Bogota,4.7111,-74.0722,Colombia,CO,COL,Bogotá,primary,7968095.0,1170483426
Medellín,Medellin,6.2308,-75.5906,Colombia,CO,COL,Antioquia,admin,2529403.0,1170680389
Cali,Cali,3.4206,-76.5222,Colombia,CO,COL,Valle del Cauca,admin,2471474.0,1170417589
Barranquilla,Barranquilla,10.9833,-74.8019,Colombia,CO,COL,Atlántico,admin,1326588.0,1170179113
Cartagena,Cartagena,10.4,-75.5,Colombia,CO,COL,Bolívar,admin,914552.0,1170886102
Bucaramanga,Bucaramanga,7.1333,-73.0,Colombia,CO,COL,Santander,admin,893040.0,1170940590
Cúcuta,Cucuta,7.8942,-72.5039,Colombia,CO,COL,Norte de Santander,admin,806378.0,1170743755
Palermo,Palermo,2.8917,-75.4375,Colombia,CO,COL,Huila,minor,800000.0,1170614290
Soledad,Soledad,10.9167,-74.75,Colombia,CO,COL,Atlántico,minor,676014.0,1170765625
Villavicencio,Villavicencio,4.15,-73.6333,Colombia,CO,COL,Meta,admin,664148.0,1170426927
Pereira,Pereira,4.8143,-75.6946,Colombia,CO,COL,Risaralda,admin,590554.0,1170386718
Bello,Bello,6.3333,-75.5667,Colombia,CO,COL,Antioquia,minor,561955.0,1170423489
Valledupar,Valledupar,10.4833,-73.25,Colombia,CO,COL,Cesar,admin,544134.0,1170481949
Ibagué,Ibague,4.4333,-75.2333,Colombia,CO,COL,Tolima,admin,541101.0,1170245063
Montería,Monteria,8.75,-75.8833,Colombia,CO,COL,Córdoba,admin,523150.0,1170855299
Soacha,Soacha,4.5872,-74.2214,Colombia,CO,COL,Cundinamarca,minor,522442.0,1170512000
Santa Marta,Santa Marta,11.2419,-74.2053,Colombia,CO,COL,Magdalena,admin,515556.0,1170715594
Manizales,Manizales,5.1,-75.55,Colombia,CO,COL,Caldas,admin,454494.0,1170930654
Buenaventura,Buenaventura,3.8772,-77.0267,Colombia,CO,COL,Valle del Cauca,minor,423927.0,1170287988
Pasto,Pasto,1.2078,-77.2772,Colombia,CO,COL,Nariño,admin,410835.0,1170320545
Neiva,Neiva,2.9345,-75.2809,Colombia,CO,COL,Huila,admin,380019.0,1170159963
Palmira,Palmira,3.5833,-76.25,Colombia,CO,COL,Valle del Cauca,minor,358895.0,1170969619
Fontibón,Fontibon,4.6786,-74.1411,Colombia,CO,COL,Bogotá,,317179.0,1170780941
Usme,Usme,4.4464,-74.1522,Colombia,CO,COL,Bogotá,,314431.0,1170556074
Armenia,Armenia,4.53,-75.68,Colombia,CO,COL,Quindío,admin,301226.0,1170398459
Popayán,Popayan,2.4542,-76.6092,Colombia,CO,COL,Cauca,admin,300837.0,1170764265
Floridablanca,Floridablanca,7.2167,-73.0667,Colombia,CO,COL,Santander,minor,295724.0,1170331200
Sincelejo,Sincelejo,9.295,-75.3961,Colombia,CO,COL,Sucre,admin,286716.0,1170364198
Itagüí,Itagui,6.1667,-75.6167,Colombia,CO,COL,Antioquia,minor,276744.0,1170708072
Envigado,Envigado,6.1667,-75.5667,Colombia,CO,COL,Antioquia,minor,228848.0,1170785909
Tuluá,Tulua,4.0833,-76.2,Colombia,CO,COL,Valle del Cauca,minor,219138.0,1170721938
Tumaco,Tumaco,1.8067,-78.7647,Colombia,CO,COL,Nariño,minor,212692.0,1170504978
Barrancabermeja,Barrancabermeja,7.0667,-73.85,Colombia,CO,COL,Santander,minor,203537.0,1170362340
Uripa,Uripa,11.9167,-72.0,Colombia,CO,COL,La Guajira,,198890.0,1170417561
Zipaquirá,Zipaquira,5.0333,-74.0,Colombia,CO,COL,Cundinamarca,minor,196409.0,1170798590
Florencia,Florencia,1.6139,-75.6128,Colombia,CO,COL,Caquetá,admin,191867.0,1170606634
Turbo,Turbo,8.1,-76.7333,Colombia,CO,COL,Antioquia,minor,181000.0,1170426476
Santander de Quilichao,Santander de Quilichao,3.0167,-76.4833,Colombia,CO,COL,Cauca,minor,180000.0,1170277699
Dosquebradas,Dosquebradas,4.8333,-75.6833,Colombia,CO,COL,Risaralda,minor,179301.0,1170184135
Fusagasugá,Fusagasuga,4.3452,-74.3618,Colombia,CO,COL,Cundinamarca,minor,170241.0,1170322047
Ríohacha,Riohacha,11.5442,-72.9069,Colombia,CO,COL,La Guajira,admin,167865.0,1170903069
Ipiales,Ipiales,0.8303,-77.6444,Colombia,CO,COL,Nariño,minor,166079.0,1170309931
Tunja,Tunja,5.5333,-73.3667,Colombia,CO,COL,Boyacá,admin,163894.0,1170843027
Girón,Giron,7.0708,-73.1731,Colombia,CO,COL,Santander,minor,160403.0,1170575968
Piedecuesta,Piedecuesta,7.0833,-73.0,Colombia,CO,COL,Santander,minor,150483.0,1170759043
Facatativá,Facatativa,4.8167,-74.3667,Colombia,CO,COL,Cundinamarca,minor,145080.0,1170830205
Cartago,Cartago,4.7,-75.9167,Colombia,CO,COL,Valle del Cauca,minor,142902.0,1170225267
Malambo,Malambo,10.85,-74.75,Colombia,CO,COL,Atlántico,minor,139566.0,1170794204
Rionegro,Rionegro,6.1535,-75.3743,Colombia,CO,COL,Antioquia,minor,135465.0,1170000361
Pitalito,Pitalito,1.8989,-76.0419,Colombia,CO,COL,Huila,minor,133205.0,1170820158
Quibdó,Quibdo,5.6922,-76.6581,Colombia,CO,COL,Chocó,admin,130825.0,1170186734
Jamundí,Jamundi,3.2667,-76.55,Colombia,CO,COL,Valle del Cauca,minor,130114.0,1170503987
Girardot,Girardot,4.305,-74.8017,Colombia,CO,COL,Cundinamarca,minor,129834.0,1170838212
Ciénaga,Cienaga,11.0069,-74.25,Colombia,CO,COL,Magdalena,minor,129414.0,1170825751
Guadalajara de Buga,Guadalajara de Buga,3.9,-76.3019,Colombia,CO,COL,Valle del Cauca,minor,128945.0,1170472765
Mosquera,Mosquera,4.7078,-74.2328,Colombia,CO,COL,Cundinamarca,minor,128012.0,1170751552
Duitama,Duitama,5.8333,-73.0167,Colombia,CO,COL,Boyacá,minor,126670.0,1170695532
Chía,Chia,4.85,-74.05,Colombia,CO,COL,Cundinamarca,minor,124309.0,1170046785
Magangué,Magangue,9.25,-74.7667,Colombia,CO,COL,Bolívar,minor,123906.0,1170903510
Maicao,Maicao,11.3778,-72.2389,Colombia,CO,COL,La Guajira,minor,123757.0,1170370871
Apartadó,Apartado,7.8833,-76.6333,Colombia,CO,COL,Antioquia,minor,121003.0,1170483593
Uribia,Uribia,11.9167,-72.0,Colombia,CO,COL,La Guajira,minor,117674.0,1170046204
Ocaña,Ocana,8.2333,-73.35,Colombia,CO,COL,Norte de Santander,minor,116232.0,1170754105
Sogamoso,Sogamoso,5.7167,-72.9208,Colombia,CO,COL,Boyacá,minor,116031.0,1170000109
Turbaco,Turbaco,10.35,-75.3333,Colombia,CO,COL,Bolívar,minor,115000.0,1170194197
Madrid,Madrid,4.7344,-74.2683,Colombia,CO,COL,Cundinamarca,minor,112254.0,1170693388
Aguachica,Aguachica,8.3167,-73.6333,Colombia,CO,COL,Cesar,minor,109621.0,1170152591
Yopal,Yopal,5.35,-72.41,Colombia,CO,COL,Casanare,admin,106822.0,1170295059
Sabanalarga,Sabanalarga,6.85,-75.8167,Colombia,CO,COL,Antioquia,minor,100049.0,1170819531
Arauca,Arauca,7.0903,-70.7617,Colombia,CO,COL,Arauca,admin,96814.0,1170322340
Candelaria,Candelaria,3.4,-76.3833,Colombia,CO,COL,Valle del Cauca,minor,95413.0,1170406010
Yumbo,Yumbo,3.585,-76.4958,Colombia,CO,COL,Valle del Cauca,minor,95072.0,1170917722
Cereté,Cerete,8.8833,-75.8,Colombia,CO,COL,Córdoba,minor,94935.0,1170926689
Los Patios,Los Patios,7.8333,-72.5167,Colombia,CO,COL,Norte de Santander,minor,94847.0,1170225535
Funza,Funza,4.7167,-74.2167,Colombia,CO,COL,Cundinamarca,minor,90671.0,1170562658
Fundación,Fundacion,10.5214,-74.1867,Colombia,CO,COL,Magdalena,minor,90514.0,1170906059
Sahagún,Sahagun,8.95,-75.45,Colombia,CO,COL,Córdoba,minor,90487.0,1170230630
Caucasia,Caucasia,7.9833,-75.2,Colombia,CO,COL,Antioquia,minor,90213.0,1170351945
Montelíbano,Montelibano,7.975,-75.4208,Colombia,CO,COL,Córdoba,minor,88674.0,1170283887
Caldas,Caldas,6.09,-75.638,Colombia,CO,COL,Antioquia,minor,85385.0,1170279867
Chiquinquirá,Chiquinquira,5.6333,-73.75,Colombia,CO,COL,Boyacá,minor,85274.0,1170668478
Sabanalarga,Sabanalarga,10.63,-74.9236,Colombia,CO,COL,Atlántico,minor,84410.0,1170724527
Chigorodó,Chigorodo,7.6675,-76.6808,Colombia,CO,COL,Antioquia,minor,84183.0,1170787746
Sabaneta,Sabaneta,6.15,-75.6,Colombia,CO,COL,Antioquia,minor,82375.0,1170000611
Tierralta,Tierralta,7.9167,-76.1667,Colombia,CO,COL,Córdoba,minor,78770.0,1170909785
Espinal,Espinal,4.2,-74.8333,Colombia,CO,COL,Tolima,minor,75828.0,1170084447
Arjona,Arjona,10.2586,-75.3461,Colombia,CO,COL,Bolívar,minor,75615.0,1170602407
Acacías,Acacias,3.9878,-73.7597,Colombia,CO,COL,Meta,minor,75252.0,1170420071
Copacabana,Copacabana,6.3333,-75.5,Colombia,CO,COL,Antioquia,minor,73574.0,1170002661
Santa Rosa de Cabal,Santa Rosa de Cabal,4.8667,-75.6167,Colombia,CO,COL,Risaralda,minor,73028.0,1170419801
San Vicente del Caguán,San Vicente del Caguan,2.1167,-74.7667,Colombia,CO,COL,Caquetá,minor,72949.0,1170922792
La Dorada,La Dorada,5.4538,-74.6647,Colombia,CO,COL,Caldas,minor,72925.0,1170734727
Turbaná,Turbana,10.2833,-75.45,Colombia,CO,COL,Bolívar,minor,72168.0,1170487782
El Banco,El Banco,8.9983,-73.9747,Colombia,CO,COL,Magdalena,minor,72131.0,1170111607
San Andrés,San Andres,12.5847,-81.7006,Colombia,CO,COL,San Andrés y Providencia,admin,71946.0,1170563968
Calarcá,Calarca,4.5333,-75.65,Colombia,CO,COL,Quindío,minor,71605.0,1170442353
La Estrella,La Estrella,6.1667,-75.6667,Colombia,CO,COL,Antioquia,minor,71545.0,1170386533
Corozal,Corozal,9.3333,-75.25,Colombia,CO,COL,Sucre,minor,70853.0,1170958484
Villa del Rosario,Villa del Rosario,7.8353,-72.4736,Colombia,CO,COL,Norte de Santander,minor,69833.0,1170700232
Garzón,Garzon,2.1819,-75.6578,Colombia,CO,COL,Huila,minor,69823.0,1170149755
Planeta Rica,Planeta Rica,8.4089,-75.5819,Colombia,CO,COL,Córdoba,minor,69285.0,1170924519
Necoclí,Necocli,8.4167,-76.7833,Colombia,CO,COL,Antioquia,minor,69090.0,1170745269
San José del Guaviare,San Jose del Guaviare,2.5667,-72.6333,Colombia,CO,COL,Guaviare,admin,68878.0,1170839384
Manaure,Manaure,11.7792,-72.4494,Colombia,CO,COL,La Guajira,minor,67584.0,1170534927
El Carmen de Bolívar,El Carmen de Bolivar,9.7167,-75.1333,Colombia,CO,COL,Bolívar,minor,66001.0,1170394868
La Ceja,La Ceja,6.0306,-75.4317,Colombia,CO,COL,Antioquia,minor,64889.0,1170869906
Marinilla,Marinilla,6.1738,-75.3347,Colombia,CO,COL,Antioquia,minor,64645.0,1170499821
Ciénaga de Oro,Cienaga de Oro,8.8833,-75.6167,Colombia,CO,COL,Córdoba,minor,64226.0,1170711004
Puerto Asís,Puerto Asis,0.5167,-76.5,Colombia,CO,COL,Putumayo,minor,63067.0,1170627964
Carmen de Viboral,Carmen de Viboral,6.0833,-75.3333,Colombia,CO,COL,Antioquia,minor,62581.0,1170768757
Riosucio,Riosucio,5.4208,-75.7025,Colombia,CO,COL,Caldas,minor,62296.0,1170642933
Plato,Plato,9.7919,-74.7872,Colombia,CO,COL,Magdalena,minor,61856.0,1170202938
La Plata,La Plata,2.39,-75.9075,Colombia,CO,COL,Huila,minor,61026.0,1170531527
Villamaría,Villamaria,5.0,-75.5,Colombia,CO,COL,Caldas,minor,60729.0,1170294681
Galapa,Galapa,10.9167,-74.8333,Colombia,CO,COL,Atlántico,minor,60708.0,1170611900
San Marcos,San Marcos,8.6611,-75.1347,Colombia,CO,COL,Sucre,minor,59976.0,1170680965
