city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Havana,Havana,23.1367,-82.3589,Cuba,CU,CUB,La Habana,primary,2089532.0,1192752771
Santiago de Cuba,Santiago de Cuba,20.0217,-75.8294,Cuba,CU,CUB,Santiago de Cuba,admin,451528.0,1192766111
Holguín,Holguin,20.8869,-76.2592,Cuba,CU,CUB,Holguín,admin,350191.0,1192920574
Camagüey,Camaguey,21.3839,-77.9075,Cuba,CU,CUB,Camagüey,admin,321992.0,1192667983
Santa Clara,Santa Clara,22.4069,-79.9649,Cuba,CU,CUB,Villa Clara,admin,247436.0,1192329773
Bayamo,Bayamo,20.3817,-76.6428,Cuba,CU,CUB,Granma,admin,235107.0,1192297857
Guantánamo,Guantanamo,20.1367,-75.2139,Cuba,CU,CUB,Guantánamo,admin,228436.0,1192866062
Carlos Manuel de Céspedes,Carlos Manuel de Cespedes,21.5767,-78.2775,Cuba,CU,CUB,Camagüey,minor,224488.0,1192400731
Arroyo Naranjo,Arroyo Naranjo,23.0436,-82.3328,Cuba,CU,CUB,La Habana,,210053.0,1192534571
Las Tunas,Las Tunas,20.9597,-76.9544,Cuba,CU,CUB,Las Tunas,admin,202105.0,1192626319
Pinar del Río,Pinar del Rio,22.4122,-83.6719,Cuba,CU,CUB,Pinar del Río,admin,188614.0,1192216820
Cienfuegos,Cienfuegos,22.1456,-80.4364,Cuba,CU,CUB,Cienfuegos,admin,164924.0,1192020054
San Miguel del Padrón,San Miguel del Padron,23.0964,-82.3267,Cuba,CU,CUB,La Habana,,161072.0,1192000810
Matanzas,Matanzas,23.0511,-81.5753,Cuba,CU,CUB,Matanzas,admin,151555.0,1192888416
Manzanillo,Manzanillo,20.3397,-77.1086,Cuba,CU,CUB,Granma,minor,150999.0,1192805452
La Lisa,La Lisa,23.0247,-82.4631,Cuba,CU,CUB,La Habana,,147415.0,1192000809
Ciego de Ávila,Ciego de Avila,21.8481,-78.7631,Cuba,CU,CUB,Ciego de Ávila,admin,143449.0,1192302618
