city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Abidjan,Abidjan,5.3167,-4.0333,Côte d’Ivoire,CI,CIV,Abidjan,primary,4980000.0,1384207980
Yopougon,Yopougon,5.3167,-4.0667,Côte d’Ivoire,CI,CIV,Abidjan,,1571065.0,1384759584
Cocody,Cocody,5.35,-3.9667,Côte d’Ivoire,CI,CIV,Abidjan,,692583.0,1384351512
Bouaké,Bouake,7.6833,-5.0167,Côte d’Ivoire,CI,CIV,Vallée du Bandama,admin,659233.0,1384983838
Port-Bouët,Port-Bouet,5.2667,-3.9,Côte d’Ivoire,CI,CIV,Abidjan,,618795.0,1384512844
Daloa,Daloa,6.8833,-6.45,Côte d’Ivoire,CI,CIV,Sassandra-Marahoué,admin,421871.0,1384564974
Koumassi,Koumassi,5.3,-3.95,Côte d’Ivoire,CI,CIV,Abidjan,,412282.0,1384863297
San-Pédro,San-Pedro,4.75,-6.6333,Côte d’Ivoire,CI,CIV,Bas-Sassandra,admin,390654.0,1384436547
Attiecoubé,Attiecoube,5.3333,-4.0333,Côte d’Ivoire,CI,CIV,Abidjan,,313135.0,1384919817
Korhogo,Korhogo,9.4167,-5.6167,Côte d’Ivoire,CI,CIV,Savanes,admin,286071.0,1384205840
Gagnoa,Gagnoa,6.1333,-5.9333,Côte d’Ivoire,CI,CIV,Gôh-Djiboua,admin,277044.0,1384138010
Soubré,Soubre,5.7833,-6.6,Côte d’Ivoire,CI,CIV,Bas-Sassandra,minor,272773.0,1384745470
Oumé,Oume,6.3833,-5.4167,Côte d’Ivoire,CI,CIV,Gôh-Djiboua,minor,260786.0,1384920146
Man,Man,7.4,-7.55,Côte d’Ivoire,CI,CIV,Montagnes,admin,241969.0,1384112524
Duekoué,Duekoue,6.7333,-7.35,Côte d’Ivoire,CI,CIV,Montagnes,minor,220953.0,1384429839
Marcory,Marcory,5.3,-3.9833,Côte d’Ivoire,CI,CIV,Abidjan,,214061.0,1384405403
Bingerville,Bingerville,5.35,-3.9,Côte d’Ivoire,CI,CIV,Abidjan,minor,204656.0,1384754377
Divo,Divo,5.8333,-5.3667,Côte d’Ivoire,CI,CIV,Gôh-Djiboua,minor,179455.0,1384831436
Abengourou,Abengourou,6.7333,-3.4833,Côte d’Ivoire,CI,CIV,Comoé,admin,164424.0,1384295898
Ferkessédougou,Ferkessedougou,9.5833,-5.2,Côte d’Ivoire,CI,CIV,Savanes,minor,160267.0,1384974005
Adzopé,Adzope,6.1667,-3.9833,Côte d’Ivoire,CI,CIV,Lagunes,minor,156488.0,1384370507
Bondoukou,Bondoukou,8.0333,-2.8,Côte d’Ivoire,CI,CIV,Zanzan,admin,141568.0,1384649653
Dabou,Dabou,5.3167,-4.3833,Côte d’Ivoire,CI,CIV,Lagunes,admin,138083.0,1384274793
Sinfra,Sinfra,6.85,-5.9167,Côte d’Ivoire,CI,CIV,Sassandra-Marahoué,minor,137210.0,1384501295
Agboville,Agboville,5.9333,-4.2167,Côte d’Ivoire,CI,CIV,Lagunes,minor,135082.0,1384823872
Grand-Bassam,Grand-Bassam,5.2,-3.7333,Côte d’Ivoire,CI,CIV,Comoé,minor,124567.0,1384167408
Daoukro,Daoukro,7.05,-3.9667,Côte d’Ivoire,CI,CIV,Lacs,minor,101136.0,1384963890
Aboisso,Aboisso,5.4667,-3.2,Côte d’Ivoire,CI,CIV,Comoé,minor,100903.0,1384385857
Bouna,Bouna,9.2667,-3.0,Côte d’Ivoire,CI,CIV,Zanzan,minor,94883.0,1384414296
Boundiali,Boundiali,9.5167,-6.4833,Côte d’Ivoire,CI,CIV,Savanes,minor,92792.0,1384246050
Katiola,Katiola,8.1333,-5.1,Côte d’Ivoire,CI,CIV,Vallée du Bandama,minor,90641.0,1384854888
Sassandra,Sassandra,4.95,-6.0833,Côte d’Ivoire,CI,CIV,Bas-Sassandra,minor,87945.0,1384107875
Odienné,Odienne,9.5,-7.5667,Côte d’Ivoire,CI,CIV,Denguélé,admin,86279.0,1384967993
