city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Copenhagen,Copenhagen,55.6761,12.5683,Denmark,DK,DNK,Hovedstaden,primary,1366301.0,1208763942
Aarhus,Aarhus,56.1572,10.2107,Denmark,DK,DNK,Midtjylland,minor,290598.0,1208841031
Odense,Odense,55.3958,10.3886,Denmark,DK,DNK,Syddanmark,minor,182387.0,1208194249
Aalborg,Aalborg,57.05,9.9167,Denmark,DK,DNK,Nordjylland,admin,143598.0,1208789278
Esbjerg,Esbjerg,55.4833,8.45,Denmark,DK,DNK,Syddanmark,minor,71921.0,1208757169
Randers,Randers,56.457,10.039,Denmark,DK,DNK,Midtjylland,minor,64057.0,1208640875
Horsens,Horsens,55.8583,9.85,Denmark,DK,DNK,Midtjylland,minor,63162.0,1208409201
Kolding,Kolding,55.4917,9.5,Denmark,DK,DNK,Syddanmark,minor,62338.0,1208123784
Vejle,Vejle,55.7167,9.5333,Denmark,DK,DNK,Syddanmark,admin,61310.0,1208585023
Roskilde,Roskilde,55.65,12.0833,Denmark,DK,DNK,Sjælland,minor,52580.0,1208722269
Herning,Herning,56.1333,8.9833,Denmark,DK,DNK,Midtjylland,minor,51193.0,1208998892
Silkeborg,Silkeborg,56.1833,9.5517,Denmark,DK,DNK,Midtjylland,minor,50866.0,1208628878
Hørsholm,Horsholm,55.8803,12.5081,Denmark,DK,DNK,Hovedstaden,minor,47836.0,1208318126
Helsingør,Helsingor,56.0361,12.6083,Denmark,DK,DNK,Hovedstaden,minor,47563.0,1208042763
Næstved,Naestved,55.225,11.7583,Denmark,DK,DNK,Sjælland,minor,44996.0,1208208658
Viborg,Viborg,56.4333,9.4,Denmark,DK,DNK,Midtjylland,admin,42234.0,1208606810
Fredericia,Fredericia,55.5667,9.75,Denmark,DK,DNK,Syddanmark,minor,41243.0,1208515471
Køge,Koge,55.4561,12.1797,Denmark,DK,DNK,Sjælland,minor,38588.0,1208980613
Holstebro,Holstebro,56.3572,8.6153,Denmark,DK,DNK,Midtjylland,minor,37022.0,1208971642
Taastrup,Taastrup,55.65,12.3,Denmark,DK,DNK,Hovedstaden,minor,36193.0,1208068405
Hillerød,Hillerod,55.9333,12.3167,Denmark,DK,DNK,Hovedstaden,admin,36043.0,1208278269
Slagelse,Slagelse,55.4049,11.3531,Denmark,DK,DNK,Sjælland,minor,34648.0,1208687791
Holbæk,Holbaek,55.7156,11.7225,Denmark,DK,DNK,Sjælland,minor,29960.0,1208012089
Sønderborg,Sonderborg,54.9138,9.7922,Denmark,DK,DNK,Syddanmark,minor,28137.0,1208870577
Svendborg,Svendborg,55.0594,10.6083,Denmark,DK,DNK,Syddanmark,minor,27594.0,1208924964
Hjørring,Hjorring,57.4636,9.9814,Denmark,DK,DNK,Nordjylland,minor,25917.0,1208371956
Nørresundby,Norresundby,57.0667,9.9167,Denmark,DK,DNK,Nordjylland,,23718.0,1208465908
Ringsted,Ringsted,55.4425,11.79,Denmark,DK,DNK,Sjælland,minor,23498.0,1208027536
Frederikshavn,Frederikshavn,57.441,10.534,Denmark,DK,DNK,Nordjylland,minor,22961.0,1208910213
Haderslev,Haderslev,55.2428,9.525,Denmark,DK,DNK,Syddanmark,minor,22182.0,1208309317
Birkerød,Birkerod,55.8333,12.4333,Denmark,DK,DNK,Hovedstaden,,20853.0,1208853307
Farum,Farum,55.8083,12.3581,Denmark,DK,DNK,Hovedstaden,minor,20317.0,1208077125
Skive,Skive,56.5667,9.0333,Denmark,DK,DNK,Midtjylland,minor,20176.0,1208791354
Nykøbing Falster,Nykobing Falster,54.7654,11.8755,Denmark,DK,DNK,Sjælland,minor,20105.0,1208336770
Skanderborg,Skanderborg,56.0381,9.9253,Denmark,DK,DNK,Midtjylland,minor,20079.0,1208582614
Smørumnedre,Smorumnedre,55.7333,12.3,Denmark,DK,DNK,Hovedstaden,,19780.0,1208922799
Nyborg,Nyborg,55.3122,10.7897,Denmark,DK,DNK,Syddanmark,minor,17900.0,1208199099
Vordingborg,Vordingborg,55.0,11.9,Denmark,DK,DNK,Sjælland,minor,17868.0,1208237699
Solrød Strand,Solrod Strand,55.5167,12.2167,Denmark,DK,DNK,Sjælland,minor,17382.0,1208504827
Frederikssund,Frederikssund,55.8333,12.0666,Denmark,DK,DNK,Hovedstaden,minor,17135.0,1208511565
Lillerød,Lillerod,55.8681,12.3417,Denmark,DK,DNK,Hovedstaden,,16836.0,1208644794
Middelfart,Middelfart,55.4986,9.7444,Denmark,DK,DNK,Syddanmark,minor,16546.0,1208896567
Kalundborg,Kalundborg,55.6814,11.085,Denmark,DK,DNK,Sjælland,minor,16486.0,1208716084
Ikast,Ikast,56.1333,9.15,Denmark,DK,DNK,Midtjylland,minor,16215.0,1208187034
Aabenraa,Aabenraa,55.0444,9.4181,Denmark,DK,DNK,Syddanmark,minor,15685.0,1208000017
Hedehusene,Hedehusene,55.6547,12.1953,Denmark,DK,DNK,Hovedstaden,,14868.0,1208482999
Korsør,Korsor,55.3336,11.1397,Denmark,DK,DNK,Sjælland,,14418.0,1208142065
Grenaa,Grenaa,56.4161,10.8923,Denmark,DK,DNK,Midtjylland,minor,14179.0,1208961865
Varde,Varde,55.62,8.4806,Denmark,DK,DNK,Syddanmark,minor,14108.0,1208411481
Rønne,Ronne,55.0986,14.7014,Denmark,DK,DNK,Hovedstaden,minor,13798.0,1208734482
Thisted,Thisted,56.9569,8.6944,Denmark,DK,DNK,Nordjylland,minor,13534.0,1208324421
Værløse,Vaerlose,55.7819,12.3731,Denmark,DK,DNK,Hovedstaden,,13203.0,1208862489
Odder,Odder,55.9725,10.1497,Denmark,DK,DNK,Midtjylland,minor,12914.0,1208566393
Brønderslev,Bronderslev,57.2694,9.9472,Denmark,DK,DNK,Nordjylland,minor,12884.0,1208825509
Frederiksværk,Frederiksvaerk,55.9667,12.0167,Denmark,DK,DNK,Hovedstaden,minor,12815.0,1208825906
Hedensted,Hedensted,55.7725,9.7017,Denmark,DK,DNK,Midtjylland,minor,12680.0,1208990844
Nakskov,Nakskov,54.8333,11.15,Denmark,DK,DNK,Sjælland,,12456.0,1208341545
Dragør,Dragor,55.5833,12.6667,Denmark,DK,DNK,Hovedstaden,minor,12327.0,1208259300
Haslev,Haslev,55.3333,11.9667,Denmark,DK,DNK,Sjælland,minor,12280.0,1208160409
Hobro,Hobro,56.6333,9.8,Denmark,DK,DNK,Nordjylland,minor,12191.0,1208783800
Jyllinge,Jyllinge,55.7511,12.1064,Denmark,DK,DNK,Sjælland,,10701.0,1208809285
Lystrup,Lystrup,56.2353,10.2375,Denmark,DK,DNK,Midtjylland,,10213.0,1208253128
Vejen,Vejen,55.4774,9.1379,Denmark,DK,DNK,Syddanmark,minor,10206.0,1208664706
Struer,Struer,56.4856,8.5897,Denmark,DK,DNK,Midtjylland,minor,10112.0,1208269003
Ringkøbing,Ringkobing,56.0897,8.2383,Denmark,DK,DNK,Midtjylland,minor,9975.0,1208388471
Humlebæk,Humlebaek,55.9611,12.525,Denmark,DK,DNK,Hovedstaden,,9855.0,1208928560
Støvring,Stovring,56.8867,9.8286,Denmark,DK,DNK,Nordjylland,minor,9190.0,1208267923
Galten,Galten,56.1533,9.9069,Denmark,DK,DNK,Midtjylland,,9177.0,1208075108
Nykøbing Mors,Nykobing Mors,56.7953,8.8592,Denmark,DK,DNK,Nordjylland,minor,9068.0,1208071660
Fredensborg,Fredensborg,55.975,12.4056,Denmark,DK,DNK,Hovedstaden,,8960.0,1208706314
Helsinge,Helsinge,56.0222,12.1972,Denmark,DK,DNK,Hovedstaden,minor,8906.0,1208143944
Sæby,Saeby,57.3294,10.5322,Denmark,DK,DNK,Nordjylland,,8836.0,1208138927
Måløv,Malov,55.75,12.3333,Denmark,DK,DNK,Hovedstaden,,8693.0,1208253795
Aars,Aars,56.8032,9.5177,Denmark,DK,DNK,Nordjylland,minor,8657.0,1208910632
Løgten,Logten,56.1643,10.1857,Denmark,DK,DNK,Midtjylland,,8651.0,1208851373
Hundested,Hundested,55.9667,11.85,Denmark,DK,DNK,Hovedstaden,,8520.0,1208594151
Sorø,Soro,55.4333,11.5667,Denmark,DK,DNK,Sjælland,admin,8271.0,1208841384
Copenhagen,Copenhagen,55.6761,12.5683,Denmark,DK,DNK,Hovedstaden,primary,1366301.0,1208763942
Aarhus,Aarhus,56.1572,10.2107,Denmark,DK,DNK,Midtjylland,minor,290598.0,1208841031
