city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Santiago,Santiago,19.4572,-70.6889,Dominican Republic,DO,DOM,Cibao Norte,admin,1343423.0,1214985348
Santo Domingo,Santo Domingo,18.4667,-69.95,Dominican Republic,DO,DOM,Ozama,primary,1128678.0,1214636202
Santo Domingo Este,Santo Domingo Este,18.4855,-69.8734,Dominican Republic,DO,DOM,Ozama,admin,948855.0,1214664832
Puerto Plata,Puerto Plata,19.8,-70.6833,Dominican Republic,DO,DOM,Cibao Norte,minor,318419.0,1214279422
Los Alcarrizos,Los Alcarrizos,18.5167,-70.0167,Dominican Republic,DO,DOM,Ozama,,272776.0,1214807042
Higüey,Higuey,18.6167,-68.7,Dominican Republic,DO,DOM,Yuma,minor,251243.0,1214313712
San Cristóbal,San Cristobal,18.4167,-70.1056,Dominican Republic,DO,DOM,Valdesia,admin,232769.0,1214335207
La Vega,La Vega,19.22,-70.53,Dominican Republic,DO,DOM,Cibao Sur,admin,220279.0,1214691060
San Pedro de Macorís,San Pedro de Macoris,18.45,-69.3,Dominican Republic,DO,DOM,Higuamo,admin,195307.0,1214233006
San Francisco de Macorís,San Francisco de Macoris,19.3,-70.25,Dominican Republic,DO,DOM,Cibao Nordeste,admin,188118.0,1214710545
Bávaro,Bavaro,18.7167,-68.45,Dominican Republic,DO,DOM,Yuma,,150000.0,1214902144
Baní,Bani,18.29,-70.33,Dominican Republic,DO,DOM,Valdesia,minor,145595.0,1214720035
Boca Chica,Boca Chica,18.4539,-69.6064,Dominican Republic,DO,DOM,Ozama,,142019.0,1214362164
La Romana,La Romana,18.43,-68.97,Dominican Republic,DO,DOM,Yuma,admin,139671.0,1214760518
Pantanal,Pantanal,18.5333,-68.3667,Dominican Republic,DO,DOM,Yuma,,138919.0,1214144437
San Juan,San Juan,18.81,-71.23,Dominican Republic,DO,DOM,El Valle,admin,132177.0,1214608846
Gurabo al Medio,Gurabo al Medio,19.4739,-70.6727,Dominican Republic,DO,DOM,Cibao Norte,,126668.0,1214621911
Bonao,Bonao,18.95,-70.41,Dominican Republic,DO,DOM,Cibao Sur,minor,125338.0,1214793175
Bajos de Haina,Bajos de Haina,18.4167,-70.0333,Dominican Republic,DO,DOM,Valdesia,,124193.0,1214790716
Los Minas,Los Minas,18.5,-69.9833,Dominican Republic,DO,DOM,Ozama,,104846.0,1214457470
Moca,Moca,19.3833,-70.5167,Dominican Republic,DO,DOM,Cibao Norte,minor,94981.0,1214863528
Azua,Azua,18.46,-70.74,Dominican Republic,DO,DOM,Valdesia,minor,92585.0,1214004418
Villa Altagracia,Villa Altagracia,18.6667,-70.1667,Dominican Republic,DO,DOM,Valdesia,,84312.0,1214414901
Barahona,Barahona,18.2,-71.1,Dominican Republic,DO,DOM,Enriquillo,admin,83619.0,1214900129
Nagua,Nagua,19.38,-69.85,Dominican Republic,DO,DOM,Cibao Nordeste,minor,76933.0,1214449469
Mao,Mao,19.5667,-71.0833,Dominican Republic,DO,DOM,Cibao Noroeste,admin,76863.0,1214217168
Cotuí,Cotui,19.06,-70.15,Dominican Republic,DO,DOM,Cibao Sur,minor,76554.0,1214299029
Pedro Brand,Pedro Brand,18.5667,-70.0911,Dominican Republic,DO,DOM,Ozama,,74016.0,1214244231
