city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Guayaquil,Guayaquil,-2.19,-79.8875,Ecuador,EC,ECU,Guayas,admin,2650288.0,1218802178
Quito,Quito,-0.22,-78.5125,Ecuador,EC,ECU,Pichincha,primary,1763275.0,1218441993
Cuenca,Cuenca,-2.8974,-79.0045,Ecuador,EC,ECU,Azuay,admin,361524.0,1218041020
Santo Domingo de los Colorados,Santo Domingo de los Colorados,-0.2542,-79.1719,Ecuador,EC,ECU,Santo Domingo de los Tsáchilas,admin,334826.0,1218148017
Eloy Alfaro,Eloy Alfaro,-2.1733,-79.8311,Ecuador,EC,ECU,Guayas,,295211.0,1218127217
Machala,Machala,-3.2667,-79.9667,Ecuador,EC,ECU,El Oro,admin,288072.0,1218378191
Manta,Manta,-0.95,-80.7162,Ecuador,EC,ECU,Manabí,,258697.0,1218160109
Portoviejo,Portoviejo,-1.0561,-80.4553,Ecuador,EC,ECU,Manabí,admin,244129.0,1218169586
Loja,Loja,-3.9833,-79.2,Ecuador,EC,ECU,Loja,admin,203496.0,1218739896
Quevedo,Quevedo,-1.0333,-79.45,Ecuador,EC,ECU,Los Ríos,,177792.0,1218928435
Ambato,Ambato,-1.2417,-78.6197,Ecuador,EC,ECU,Tungurahua,admin,177316.0,1218046148
Riobamba,Riobamba,-1.6731,-78.6483,Ecuador,EC,ECU,Chimborazo,admin,177213.0,1218552075
Daule,Daule,-1.8667,-79.9833,Ecuador,EC,ECU,Guayas,,161498.0,1218253183
Milagro,Milagro,-2.1347,-79.5872,Ecuador,EC,ECU,Guayas,,159970.0,1218568564
Ibarra,Ibarra,0.3627,-78.1307,Ecuador,EC,ECU,Imbabura,admin,157941.0,1218479054
Esmeraldas,Esmeraldas,0.9667,-79.6528,Ecuador,EC,ECU,Esmeraldas,admin,155487.0,1218601363
La Libertad,La Libertad,-2.2333,-80.9,Ecuador,EC,ECU,Guayas,,112154.0,1218254479
