city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
San Salvador,San Salvador,13.6989,-89.1914,El Salvador,SV,SLV,San Salvador,primary,316090.0,1222647454
Santa Ana,Santa Ana,13.995,-89.5561,El Salvador,SV,SLV,Santa Ana,admin,280000.0,1222021362
Soyapango,Soyapango,13.7333,-89.15,El Salvador,SV,SLV,San Salvador,,241403.0,1222702692
San Miguel,San Miguel,13.4814,-88.1775,El Salvador,SV,SLV,San Miguel,admin,218410.0,1222009747
Santa Tecla,Santa Tecla,13.6731,-89.2406,El Salvador,SV,SLV,La Libertad,admin,199103.0,1222613306
Mejicanos,Mejicanos,13.7333,-89.2167,El Salvador,SV,SLV,San Salvador,,140751.0,1222243504
Apopa,Apopa,13.8,-89.1833,El Salvador,SV,SLV,San Salvador,,131286.0,1222101845
Delgado,Delgado,13.7167,-89.1667,El Salvador,SV,SLV,San Salvador,,120200.0,1222858341
Ahuachapán,Ahuachapan,13.9167,-89.85,El Salvador,SV,SLV,Ahuachapán,admin,110511.0,1222480039
Ilopango,Ilopango,13.7,-89.1167,El Salvador,SV,SLV,San Salvador,,103862.0,1222852644
Colón,Colon,13.7167,-89.3667,El Salvador,SV,SLV,La Libertad,,96989.0,1222369620
Tonacatepeque,Tonacatepeque,13.7833,-89.1167,El Salvador,SV,SLV,San Salvador,,90896.0,1222948232
San Juan Opico,San Juan Opico,13.8833,-89.35,El Salvador,SV,SLV,La Libertad,,74280.0,1222760219
Chalchuapa,Chalchuapa,13.9833,-89.6833,El Salvador,SV,SLV,Santa Ana,,74038.0,1222559007
Usulután,Usulutan,13.35,-88.45,El Salvador,SV,SLV,Usulután,admin,73064.0,1222984157
San Martín,San Martin,13.7333,-89.05,El Salvador,SV,SLV,San Salvador,,72758.0,1222884099
Sonsonate,Sonsonate,13.7167,-89.7167,El Salvador,SV,SLV,Sonsonate,admin,71541.0,1222380208
Izalco,Izalco,13.7333,-89.6667,El Salvador,SV,SLV,Sonsonate,,70959.0,1222502574
Cuscatancingo,Cuscatancingo,13.7333,-89.1833,El Salvador,SV,SLV,San Salvador,,66400.0,1222934169
Zacatecoluca,Zacatecoluca,13.5,-88.8667,El Salvador,SV,SLV,La Paz,admin,65826.0,1222647953
San Marcos,San Marcos,13.5833,-89.2167,El Salvador,SV,SLV,San Salvador,,63209.0,1222304332
Ilobasco,Ilobasco,13.84,-88.85,El Salvador,SV,SLV,Cabañas,,61510.0,1222256705
Ciudad Arce,Ciudad Arce,13.8333,-89.4333,El Salvador,SV,SLV,La Libertad,,60314.0,1222728065
Metapán,Metapan,14.3314,-89.4428,El Salvador,SV,SLV,Santa Ana,,59004.0,1222716890
San Vicente,San Vicente,13.6453,-88.7842,El Salvador,SV,SLV,San Vicente,admin,53213.0,1222913273
Quezaltepeque,Quezaltepeque,13.8333,-89.2667,El Salvador,SV,SLV,La Libertad,,52643.0,1222731128
Acajutla,Acajutla,13.59,-89.8336,El Salvador,SV,SLV,Sonsonate,,52359.0,1222402975
Cojutepeque,Cojutepeque,13.7167,-88.9333,El Salvador,SV,SLV,Cuscatlán,admin,50315.0,1222979186
Nahuizalco,Nahuizalco,13.7833,-89.7333,El Salvador,SV,SLV,Sonsonate,,49081.0,1222682318
Jiquilisco,Jiquilisco,13.3167,-88.5833,El Salvador,SV,SLV,Usulután,,47784.0,1222869394
San Pedro Perulapán,San Pedro Perulapan,13.7667,-89.0333,El Salvador,SV,SLV,Cuscatlán,,44730.0,1222471656
San Francisco Menéndez,San Francisco Menendez,13.8425,-90.0167,El Salvador,SV,SLV,Ahuachapán,,42607.0,1222612864
Panchimalco,Panchimalco,13.6167,-89.1833,El Salvador,SV,SLV,San Salvador,,41260.0,1222019251
Sensuntepeque,Sensuntepeque,13.8667,-88.6333,El Salvador,SV,SLV,Cabañas,admin,40332.0,1222098918
Santiago Nonualco,Santiago Nonualco,13.5167,-88.95,El Salvador,SV,SLV,La Paz,,39887.0,1222183134
Conchagua,Conchagua,13.3,-87.8667,El Salvador,SV,SLV,La Unión,,37362.0,1222328489
Coatepeque,Coatepeque,13.9167,-89.5,El Salvador,SV,SLV,Santa Ana,,36768.0,1222820033
La Libertad,La Libertad,13.4833,-89.3167,El Salvador,SV,SLV,La Libertad,,35997.0,1222663809
Armenia,Armenia,13.75,-89.5,El Salvador,SV,SLV,Sonsonate,,34912.0,1222071319
Ayutuxtepeque,Ayutuxtepeque,13.7353,-89.2001,El Salvador,SV,SLV,San Salvador,,34710.0,1222570043
La Unión,La Union,13.3369,-87.8439,El Salvador,SV,SLV,La Unión,admin,34045.0,1222307415
Antiguo Cuscatlán,Antiguo Cuscatlan,13.6731,-89.2406,El Salvador,SV,SLV,La Libertad,,33698.0,1222807849
