city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tallinn,Tallinn,59.4372,24.7453,Estonia,EE,EST,Tallinn,primary,614561.0,1233260021
Tartu,Tartu,58.3833,26.7167,Estonia,EE,EST,Tartu,admin,97524.0,1233809410
Narva,Narva,59.3758,28.1961,Estonia,EE,EST,Narva,minor,53875.0,1233751159
Pärnu,Parnu,58.3833,24.5,Estonia,EE,EST,Pärnu,admin,39605.0,1233955054
Kohtla-Järve,Kohtla-Jarve,59.3978,27.2572,Estonia,EE,EST,Kohtla-Järve,minor,33675.0,1233016348
Viljandi,Viljandi,58.3667,25.6,Estonia,EE,EST,Viljandi,admin,17353.0,1233067368
Maardu,Maardu,59.4781,25.0161,Estonia,EE,EST,Maardu,minor,16750.0,1233565021
Rakvere,Rakvere,59.35,26.35,Estonia,EE,EST,Rakvere,admin,15614.0,1233049348
Kuressaare,Kuressaare,58.25,22.4833,Estonia,EE,EST,Saaremaa,admin,13197.0,1233341219
Sillamäe,Sillamae,59.3931,27.7742,Estonia,EE,EST,Sillamäe,minor,12452.0,1233128320
Valga,Valga,57.7833,26.0333,Estonia,EE,EST,Valga,admin,12319.0,1233406308
Võru,Voru,57.8486,26.9928,Estonia,EE,EST,Võru,admin,12055.0,1233754374
Keila,Keila,59.3086,24.4225,Estonia,EE,EST,Keila,minor,10905.0,1233230839
Jõhvi,Johvi,59.3575,27.4269,Estonia,EE,EST,Jõhvi,admin,10852.0,1233731045
Haapsalu,Haapsalu,58.9394,23.5408,Estonia,EE,EST,Haapsalu,admin,9812.0,1233967642
Paide,Paide,58.8833,25.5572,Estonia,EE,EST,Paide,admin,8081.0,1233393684
Põlva,Polva,58.0536,27.0556,Estonia,EE,EST,Põlva,admin,5535.0,1233866730
Rapla,Rapla,58.9944,24.8011,Estonia,EE,EST,Rapla,admin,5353.0,1233013333
Jõgeva,Jogeva,58.7469,26.4,Estonia,EE,EST,Jõgeva,admin,5224.0,1233192849
Kärdla,Kardla,58.9981,22.7467,Estonia,EE,EST,Hiiumaa,admin,3019.0,1233977488
Tallinn,Tallinn,59.4372,24.7453,Estonia,EE,EST,Tallinn,primary,614561.0,1233260021
Tartu,Tartu,58.3833,26.7167,Estonia,EE,EST,Tartu,admin,97524.0,1233809410
Narva,Narva,59.3758,28.1961,Estonia,EE,EST,Narva,minor,53875.0,1233751159
Pärnu,Parnu,58.3833,24.5,Estonia,EE,EST,Pärnu,admin,39605.0,1233955054
Kohtla-Järve,Kohtla-Jarve,59.3978,27.2572,Estonia,EE,EST,Kohtla-Järve,minor,33675.0,1233016348
Viljandi,Viljandi,58.3667,25.6,Estonia,EE,EST,Viljandi,admin,17353.0,1233067368
Maardu,Maardu,59.4781,25.0161,Estonia,EE,EST,Maardu,minor,16750.0,1233565021
Rakvere,Rakvere,59.35,26.35,Estonia,EE,EST,Rakvere,admin,15614.0,1233049348
Kuressaare,Kuressaare,58.25,22.4833,Estonia,EE,EST,Saaremaa,admin,13197.0,1233341219
Sillamäe,Sillamae,59.3931,27.7742,Estonia,EE,EST,Sillamäe,minor,12452.0,1233128320
Valga,Valga,57.7833,26.0333,Estonia,EE,EST,Valga,admin,12319.0,1233406308
Võru,Voru,57.8486,26.9928,Estonia,EE,EST,Võru,admin,12055.0,1233754374
Keila,Keila,59.3086,24.4225,Estonia,EE,EST,Keila,minor,10905.0,1233230839
Jõhvi,Johvi,59.3575,27.4269,Estonia,EE,EST,Jõhvi,admin,10852.0,1233731045
Haapsalu,Haapsalu,58.9394,23.5408,Estonia,EE,EST,Haapsalu,admin,9812.0,1233967642
Paide,Paide,58.8833,25.5572,Estonia,EE,EST,Paide,admin,8081.0,1233393684
Põlva,Polva,58.0536,27.0556,Estonia,EE,EST,Põlva,admin,5535.0,1233866730
Rapla,Rapla,58.9944,24.8011,Estonia,EE,EST,Rapla,admin,5353.0,1233013333
Jõgeva,Jogeva,58.7469,26.4,Estonia,EE,EST,Jõgeva,admin,5224.0,1233192849
Kärdla,Kardla,58.9981,22.7467,Estonia,EE,EST,Hiiumaa,admin,3019.0,1233977488
