city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Addis Ababa,Addis Ababa,9.03,38.74,Ethiopia,ET,ETH,Ādīs Ābeba,primary,3041002.0,1231824991
Ērer Sātā,Erer Sata,9.5667,41.3833,Ethiopia,ET,ETH,Sumalē,,649000.0,1231563638
Shashemenē,Shashemene,7.2,38.6,Ethiopia,ET,ETH,Oromīya,,408368.0,1231110370
K’ebrī Dehar,K'ebri Dehar,6.7333,44.2667,Ethiopia,ET,ETH,Sumalē,,363000.0,1231393469
Nazrēt,Nazret,8.5414,39.2689,Ethiopia,ET,ETH,Oromīya,,324000.0,1231826873
Mekele,Mekele,13.4969,39.4769,Ethiopia,ET,ETH,Tigray,admin,323700.0,1231468531
Godē,Gode,5.9527,43.5516,Ethiopia,ET,ETH,Sumalē,,320782.0,1231128743
Āwasa,Awasa,7.05,38.4667,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,admin,300100.0,1231663122
Dire Dawa,Dire Dawa,9.6,41.8667,Ethiopia,ET,ETH,Dirē Dawa,admin,277000.0,1231089714
Bahir Dar,Bahir Dar,11.6,37.3833,Ethiopia,ET,ETH,Āmara,admin,243300.0,1231784118
Sodo,Sodo,6.855,37.7808,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,,213467.0,1231130720
Ārba Minch’,Arba Minch',6.0333,37.55,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,,192043.0,1231302134
Desē,Dese,11.1333,39.6333,Ethiopia,ET,ETH,Āmara,,187900.0,1231359719
Hosa’ina,Hosa'ina,7.55,37.85,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,,179761.0,1231400775
K’ebrī Beyah,K'ebri Beyah,9.0833,43.0833,Ethiopia,ET,ETH,Sumalē,,165518.0,1231877186
Jijiga,Jijiga,9.35,42.8,Ethiopia,ET,ETH,Sumalē,admin,159300.0,1231737909
Dīla,Dila,6.4083,38.3083,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,,151682.0,1231393325
Nek’emtē,Nek'emte,9.0833,36.55,Ethiopia,ET,ETH,Oromīya,,148613.0,1231437227
Debre Birhan,Debre Birhan,9.6833,39.5333,Ethiopia,ET,ETH,Āmara,,139724.0,1231777741
Debre Mark’os,Debre Mark'os,10.3333,37.7167,Ethiopia,ET,ETH,Āmara,,133810.0,1231943444
Ferfer,Ferfer,5.0833,45.0833,Ethiopia,ET,ETH,Sumalē,,133521.0,1231764818
Āwarē,Aware,8.2667,44.15,Ethiopia,ET,ETH,Sumalē,,132149.0,1231934049
Harar,Harar,9.3111,42.1278,Ethiopia,ET,ETH,Hārerī Hizb,admin,129000.0,1231785978
Kombolcha,Kombolcha,11.0867,39.7367,Ethiopia,ET,ETH,Āmara,,125654.0,1231476399
Jīma,Jima,7.6667,36.8333,Ethiopia,ET,ETH,Oromīya,,120960.0,1231214366
Debre Tabor,Debre Tabor,11.85,38.0167,Ethiopia,ET,ETH,Āmara,,119176.0,1231557860
Harshin,Harshin,9.2167,43.5878,Ethiopia,ET,ETH,Sumalē,,117187.0,1231946994
Ādīgrat,Adigrat,14.2667,39.45,Ethiopia,ET,ETH,Tigray,,116193.0,1231492773
Babīlē,Babile,9.2167,42.3333,Ethiopia,ET,ETH,Oromīya,,100000.0,1231924903
Debre Zeyit,Debre Zeyit,8.75,38.9833,Ethiopia,ET,ETH,Oromīya,,99928.0,1231675489
