city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Helsinki,Helsinki,60.1708,24.9375,Finland,FI,FIN,Uusimaa,primary,1360075.0,1246177997
Tampere,Tampere,61.4981,23.76,Finland,FI,FIN,Pirkanmaa,admin,334112.0,1246964318
Espoo,Espoo,60.2056,24.6556,Finland,FI,FIN,Uusimaa,minor,297132.0,1246357316
Turku,Turku,60.45,22.2667,Finland,FI,FIN,Varsinais-Suomi,admin,252468.0,1246456609
Vantaa,Vantaa,60.2944,25.0403,Finland,FI,FIN,Uusimaa,minor,214605.0,1246957545
Oulu,Oulu,65.0142,25.4719,Finland,FI,FIN,Pohjois-Pohjanmaa,admin,208939.0,1246093273
Jyväskylä,Jyvaskyla,62.2417,25.7417,Finland,FI,FIN,Keski-Suomi,admin,145887.0,1246938345
Kuopio,Kuopio,62.8925,27.6783,Finland,FI,FIN,Pohjois-Savo,admin,121557.0,1246334067
Lahti,Lahti,60.9833,25.65,Finland,FI,FIN,Päijät-Häme,admin,118119.0,1246538847
Kouvola,Kouvola,60.8681,26.7042,Finland,FI,FIN,Kymenlaakso,admin,85855.0,1246167296
Pori,Pori,61.4833,21.8,Finland,FI,FIN,Satakunta,admin,85363.0,1246259412
Joensuu,Joensuu,62.6,29.75,Finland,FI,FIN,Pohjois-Karjala,admin,75514.0,1246489056
Lappeenranta,Lappeenranta,61.0667,28.1833,Finland,FI,FIN,Etelä-Karjala,admin,72650.0,1246492910
Hämeenlinna,Hameenlinna,60.9944,24.4667,Finland,FI,FIN,Kanta-Häme,admin,68011.0,1246026891
Vaasa,Vaasa,63.1,21.6167,Finland,FI,FIN,Pohjanmaa,admin,67619.0,1246734710
Seinäjoki,Seinajoki,62.7917,22.8417,Finland,FI,FIN,Etelä-Pohjanmaa,admin,64150.0,1246118146
Rovaniemi,Rovaniemi,66.5,25.7333,Finland,FI,FIN,Lappi,admin,62420.0,1246718173
Mikkeli,Mikkeli,61.689,27.272,Finland,FI,FIN,Etelä-Savo,admin,54621.0,1246875185
Salo,Salo,60.3861,23.125,Finland,FI,FIN,Varsinais-Suomi,minor,52984.0,1246750581
Kotka,Kotka,60.4667,26.9417,Finland,FI,FIN,Kymenlaakso,minor,50617.0,1246200320
Porvoo,Porvoo,60.3944,25.6639,Finland,FI,FIN,Uusimaa,minor,49928.0,1246277728
Kokkola,Kokkola,63.8367,23.1333,Finland,FI,FIN,Keski-Pohjanmaa,admin,47570.0,1246041998
Lohja,Lohja,60.25,24.0667,Finland,FI,FIN,Uusimaa,minor,46785.0,1246687472
Hyvinkää,Hyvinkaa,60.6333,24.85,Finland,FI,FIN,Uusimaa,minor,46739.0,1246789945
Kirkkonummi,Kirkkonummi,60.1167,24.4333,Finland,FI,FIN,Uusimaa,minor,40722.0,1246425379
Järvenpää,Jarvenpaa,60.475,25.0917,Finland,FI,FIN,Uusimaa,minor,40106.0,1246825863
Rauma,Rauma,61.1333,21.5,Finland,FI,FIN,Satakunta,minor,39809.0,1246262958
Tuusula,Tuusula,60.4333,25.05,Finland,FI,FIN,Uusimaa,minor,38646.0,1246218223
Kajaani,Kajaani,64.2311,27.7194,Finland,FI,FIN,Kainuu,admin,36297.0,1246377765
Savonlinna,Savonlinna,61.8681,28.8861,Finland,FI,FIN,Etelä-Savo,minor,35523.0,1246948647
Kerava,Kerava,60.4,25.1,Finland,FI,FIN,Uusimaa,minor,35293.0,1246221274
Nokia,Nokia,61.4767,23.5053,Finland,FI,FIN,Pirkanmaa,minor,33322.0,1246560498
Kaarina,Kaarina,60.4,22.3667,Finland,FI,FIN,Varsinais-Suomi,minor,33099.0,1246381646
Ylöjärvi,Ylojarvi,61.55,23.5833,Finland,FI,FIN,Pirkanmaa,minor,32738.0,1246651024
Kangasala,Kangasala,61.4667,24.0667,Finland,FI,FIN,Pirkanmaa,minor,32229.0,1246606231
Jyväskylän Maalaiskunta,Jyvaskylan Maalaiskunta,62.2889,25.7417,Finland,FI,FIN,Keski-Suomi,,31870.0,1246861694
Riihimäki,Riihimaki,60.7333,24.7667,Finland,FI,FIN,Kanta-Häme,minor,29269.0,1246263977
Raseborg,Raseborg,59.975,23.4333,Finland,FI,FIN,Uusimaa,minor,28405.0,1246414831
Imatra,Imatra,61.1833,28.7667,Finland,FI,FIN,Etelä-Karjala,minor,25655.0,1246114111
Sastamala,Sastamala,61.3417,22.9083,Finland,FI,FIN,Pirkanmaa,minor,25220.0,1246526086
Raahe,Raahe,64.6833,24.4667,Finland,FI,FIN,Pohjois-Pohjanmaa,minor,25165.0,1246712185
Raisio,Raisio,60.4858,22.1692,Finland,FI,FIN,Varsinais-Suomi,minor,24290.0,1246206941
Hollola,Hollola,60.9867,25.5167,Finland,FI,FIN,Päijät-Häme,minor,22943.0,1246266596
Lempäälä,Lempaala,61.3167,23.75,Finland,FI,FIN,Pirkanmaa,minor,22536.0,1246708138
Tornio,Tornio,65.85,24.15,Finland,FI,FIN,Lappi,minor,21928.0,1246209112
Siilinjärvi,Siilinjarvi,63.075,27.66,Finland,FI,FIN,Pohjois-Savo,minor,21794.0,1246336548
Kurikka,Kurikka,62.6167,22.4,Finland,FI,FIN,Etelä-Pohjanmaa,minor,21734.0,1246688374
