city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Paris,Paris,48.8567,2.3522,France,FR,FRA,Île-de-France,primary,11060000.0,1250015082
Bordeaux,Bordeaux,44.84,-0.58,France,FR,FRA,Nouvelle-Aquitaine,admin,994920.0,1250449238
Marseille,Marseille,43.2964,5.37,France,FR,FRA,Provence-Alpes-Côte d’Azur,admin,873076.0,1250774071
Lyon,Lyon,45.76,4.84,France,FR,FRA,Auvergne-Rhône-Alpes,admin,522250.0,1250196189
Toulouse,Toulouse,43.6045,1.444,France,FR,FRA,Occitanie,admin,504078.0,1250258110
Nice,Nice,43.7034,7.2663,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,348085.0,1250774553
Nantes,Nantes,47.2181,-1.5528,France,FR,FRA,Pays de la Loire,admin,323204.0,1250091495
Montpellier,Montpellier,43.6119,3.8772,France,FR,FRA,Occitanie,minor,302454.0,1250819356
Strasbourg,Strasbourg,48.5833,7.7458,France,FR,FRA,Grand Est,admin,291313.0,1250789140
Lille,Lille,50.6278,3.0583,France,FR,FRA,Hauts-de-France,admin,236710.0,1250071961
Rennes,Rennes,48.1147,-1.6794,France,FR,FRA,Bretagne,admin,225081.0,1250363682
Toulon,Toulon,43.1258,5.9306,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,180452.0,1250541629
Reims,Reims,49.2628,4.0347,France,FR,FRA,Grand Est,minor,179380.0,1250608730
Saint-Étienne,Saint-Etienne,45.4347,4.3903,France,FR,FRA,Auvergne-Rhône-Alpes,minor,172718.0,1250000540
Le Havre,Le Havre,49.49,0.1,France,FR,FRA,Normandie,minor,166058.0,1250775297
Dijon,Dijon,47.3167,5.0167,France,FR,FRA,Bourgogne-Franche-Comté,admin,159346.0,1250505606
Grenoble,Grenoble,45.1715,5.7224,France,FR,FRA,Auvergne-Rhône-Alpes,minor,157477.0,1250071647
Angers,Angers,47.4736,-0.5542,France,FR,FRA,Pays de la Loire,minor,157175.0,1250962174
Villeurbanne,Villeurbanne,45.7667,4.8803,France,FR,FRA,Auvergne-Rhône-Alpes,,156928.0,1250002615
Nîmes,Nimes,43.8383,4.3597,France,FR,FRA,Occitanie,minor,148104.0,1250417467
Aix-en-Provence,Aix-en-Provence,43.5263,5.4454,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,147478.0,1250001687
Clermont-Ferrand,Clermont-Ferrand,45.7831,3.0824,France,FR,FRA,Auvergne-Rhône-Alpes,minor,147327.0,1250135509
Le Mans,Le Mans,48.0077,0.1984,France,FR,FRA,Pays de la Loire,minor,145004.0,1250829671
Brest,Brest,48.39,-4.49,France,FR,FRA,Bretagne,minor,139619.0,1250882453
Tours,Tours,47.3936,0.6892,France,FR,FRA,Centre-Val de Loire,minor,137658.0,1250635972
Amiens,Amiens,49.892,2.299,France,FR,FRA,Hauts-de-France,minor,133625.0,1250794759
Annecy,Annecy,45.916,6.133,France,FR,FRA,Auvergne-Rhône-Alpes,minor,131715.0,1250551848
Limoges,Limoges,45.8353,1.2625,France,FR,FRA,Nouvelle-Aquitaine,minor,129760.0,1250736774
Metz,Metz,49.1203,6.1778,France,FR,FRA,Grand Est,minor,120874.0,1250778717
Boulogne-Billancourt,Boulogne-Billancourt,48.8352,2.2409,France,FR,FRA,Île-de-France,minor,119808.0,1250978859
Perpignan,Perpignan,42.6986,2.8956,France,FR,FRA,Occitanie,minor,119656.0,1250102680
Besançon,Besancon,47.24,6.02,France,FR,FRA,Bourgogne-Franche-Comté,minor,119198.0,1250182013
Orléans,Orleans,47.9025,1.909,France,FR,FRA,Centre-Val de Loire,admin,116617.0,1250441405
Rouen,Rouen,49.4428,1.0886,France,FR,FRA,Normandie,admin,114083.0,1250372069
Saint-Denis,Saint-Denis,48.9356,2.3539,France,FR,FRA,Île-de-France,minor,113942.0,1250935115
Montreuil,Montreuil,48.8611,2.4436,France,FR,FRA,Île-de-France,,111455.0,1250689747
Caen,Caen,49.1814,-0.3636,France,FR,FRA,Normandie,minor,108200.0,1250001272
Argenteuil,Argenteuil,48.95,2.25,France,FR,FRA,Île-de-France,minor,107221.0,1250226887
Mulhouse,Mulhouse,47.75,7.34,France,FR,FRA,Grand Est,minor,106341.0,1250218452
Nancy,Nancy,48.6936,6.1846,France,FR,FRA,Grand Est,minor,104260.0,1250925250
Tourcoing,Tourcoing,50.7239,3.1612,France,FR,FRA,Hauts-de-France,,99011.0,1250711716
Roubaix,Roubaix,50.6901,3.1817,France,FR,FRA,Hauts-de-France,,98892.0,1250000779
Nanterre,Nanterre,48.8988,2.1969,France,FR,FRA,Île-de-France,minor,97351.0,1250886409
Vitry-sur-Seine,Vitry-sur-Seine,48.7875,2.3928,France,FR,FRA,Île-de-France,,96205.0,1250115605
Créteil,Creteil,48.7911,2.4628,France,FR,FRA,Île-de-France,minor,92989.0,1250710438
Avignon,Avignon,43.95,4.8075,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,90330.0,1250645342
Poitiers,Poitiers,46.58,0.34,France,FR,FRA,Nouvelle-Aquitaine,minor,90240.0,1250812174
Aubervilliers,Aubervilliers,48.9131,2.3831,France,FR,FRA,Île-de-France,,90071.0,1250470371
Colombes,Colombes,48.9236,2.2522,France,FR,FRA,Île-de-France,,88870.0,1250390247
Dunkerque,Dunkerque,51.0383,2.3775,France,FR,FRA,Hauts-de-France,minor,86788.0,1250542305
Aulnay-sous-Bois,Aulnay-sous-Bois,48.9386,2.4906,France,FR,FRA,Île-de-France,,86135.0,1250420439
Versailles,Versailles,48.8053,2.135,France,FR,FRA,Île-de-France,minor,83587.0,1250143827
Courbevoic,Courbevoic,48.8978,2.2531,France,FR,FRA,Île-de-France,,81516.0,1250060303
Béziers,Beziers,43.3476,3.219,France,FR,FRA,Occitanie,minor,80341.0,1250666824
La Rochelle,La Rochelle,46.16,-1.15,France,FR,FRA,Nouvelle-Aquitaine,minor,78535.0,1250623782
Rueil-Malmaison,Rueil-Malmaison,48.876,2.181,France,FR,FRA,Île-de-France,,78186.0,1250924511
Champigny-sur-Marne,Champigny-sur-Marne,48.8172,2.5156,France,FR,FRA,Île-de-France,,77724.0,1250631569
Pau,Pau,43.3,-0.37,France,FR,FRA,Nouvelle-Aquitaine,minor,77066.0,1250041150
Mérignac,Merignac,44.8386,-0.6436,France,FR,FRA,Nouvelle-Aquitaine,,75729.0,1250010536
Saint-Maur-des-Fossés,Saint-Maur-des-Fosses,48.7994,2.4997,France,FR,FRA,Île-de-France,,75441.0,1250687119
Antibes,Antibes,43.5808,7.1239,France,FR,FRA,Provence-Alpes-Côte d’Azur,,75130.0,1250213494
Ajaccio,Ajaccio,41.9267,8.7369,France,FR,FRA,Corsica,admin,73822.0,1250622666
Cannes,Cannes,43.5513,7.0128,France,FR,FRA,Provence-Alpes-Côte d’Azur,,73255.0,1250487828
Saint-Nazaire,Saint-Nazaire,47.2736,-2.2139,France,FR,FRA,Pays de la Loire,minor,72057.0,1250133864
Drancy,Drancy,48.93,2.45,France,FR,FRA,Île-de-France,,71363.0,1250144343
Noisy-le-Grand,Noisy-le-Grand,48.8478,2.5528,France,FR,FRA,Île-de-France,,70374.0,1250182208
Issy-les-Moulineaux,Issy-les-Moulineaux,48.8239,2.27,France,FR,FRA,Île-de-France,,68580.0,1250923546
Cergy,Cergy,49.0361,2.0631,France,FR,FRA,Île-de-France,minor,68348.0,1250553439
Levallois-Perret,Levallois-Perret,48.895,2.2872,France,FR,FRA,Île-de-France,,68009.0,1250809881
Colmar,Colmar,48.0817,7.3556,France,FR,FRA,Grand Est,minor,67730.0,1250950647
Calais,Calais,50.9481,1.8564,France,FR,FRA,Hauts-de-France,minor,67380.0,1250081128
Pessac,Pessac,44.8067,-0.6311,France,FR,FRA,Nouvelle-Aquitaine,,66760.0,1250292604
Vénissieux,Venissieux,45.6969,4.8858,France,FR,FRA,Auvergne-Rhône-Alpes,,66363.0,1250755963
Clichy,Clichy,48.9044,2.3064,France,FR,FRA,Île-de-France,,64849.0,1250104726
Valence,Valence,44.9333,4.8917,France,FR,FRA,Auvergne-Rhône-Alpes,minor,64483.0,1250486068
Ivry-sur-Seine,Ivry-sur-Seine,48.8078,2.3747,France,FR,FRA,Île-de-France,,64001.0,1250904640
Bourges,Bourges,47.0844,2.3964,France,FR,FRA,Centre-Val de Loire,minor,63702.0,1250043242
Quimper,Quimper,47.9967,-4.0964,France,FR,FRA,Bretagne,minor,63642.0,1250490127
Antony,Antony,48.7539,2.2975,France,FR,FRA,Île-de-France,minor,63232.0,1250570123
Troyes,Troyes,48.2997,4.0792,France,FR,FRA,Grand Est,minor,62782.0,1250800856
La Seyne-sur-Mer,La Seyne-sur-Mer,43.1,5.883,France,FR,FRA,Provence-Alpes-Côte d’Azur,,62763.0,1250392648
Montauban,Montauban,44.0181,1.3558,France,FR,FRA,Occitanie,minor,61919.0,1250412579
Pantin,Pantin,48.8966,2.4017,France,FR,FRA,Île-de-France,,60800.0,1250209071
Chambéry,Chambery,45.57,5.9118,France,FR,FRA,Auvergne-Rhône-Alpes,minor,59856.0,1250283861
Niort,Niort,46.3258,-0.4606,France,FR,FRA,Nouvelle-Aquitaine,minor,59309.0,1250833218
Neuilly-sur-Seine,Neuilly-sur-Seine,48.8881,2.2686,France,FR,FRA,Île-de-France,,59267.0,1250765188
Sarcelles,Sarcelles,48.9956,2.3808,France,FR,FRA,Île-de-France,minor,58424.0,1250985562
Le Blanc-Mesnil,Le Blanc-Mesnil,48.9387,2.4614,France,FR,FRA,Île-de-France,,58257.0,1250383006
Maisons-Alfort,Maisons-Alfort,48.8058,2.4378,France,FR,FRA,Île-de-France,,58068.0,1250000462
Lorient,Lorient,47.75,-3.36,France,FR,FRA,Bretagne,minor,57846.0,1250615711
Villejuif,Villejuif,48.7919,2.3636,France,FR,FRA,Île-de-France,,57753.0,1250637012
Bellevue,Bellevue,48.871,2.385,France,FR,FRA,Île-de-France,,57699.0,1250712822
Fréjus,Frejus,43.433,6.737,France,FR,FRA,Provence-Alpes-Côte d’Azur,,57082.0,1250083981
Beauvais,Beauvais,49.4303,2.0952,France,FR,FRA,Hauts-de-France,minor,56677.0,1250473996
Narbonne,Narbonne,43.1836,3.0042,France,FR,FRA,Occitanie,minor,56395.0,1250476648
Meaux,Meaux,48.9603,2.8883,France,FR,FRA,Île-de-France,minor,55616.0,1250827686
Hyères,Hyeres,43.1199,6.1316,France,FR,FRA,Provence-Alpes-Côte d’Azur,,55103.0,1250566198
Bobigny,Bobigny,48.9106,2.4397,France,FR,FRA,Île-de-France,minor,55056.0,1250306149
La Roche-sur-Yon,La Roche-sur-Yon,46.6705,-1.426,France,FR,FRA,Pays de la Loire,minor,54952.0,1250977109
Clamart,Clamart,48.8014,2.2628,France,FR,FRA,Île-de-France,,54491.0,1250130113
Vannes,Vannes,47.6559,-2.7603,France,FR,FRA,Bretagne,minor,54420.0,1250939385
Chelles,Chelles,48.8833,2.6,France,FR,FRA,Île-de-France,,54309.0,1250001485
Cholet,Cholet,47.06,-0.8783,France,FR,FRA,Pays de la Loire,minor,53936.0,1250540016
Évry,Evry,48.6238,2.4296,France,FR,FRA,Île-de-France,minor,53641.0,1250675373
Épinay-sur-Seine,Epinay-sur-Seine,48.9553,2.3092,France,FR,FRA,Île-de-France,,53489.0,1250904959
Saint-Ouen,Saint-Ouen,48.9123,2.3342,France,FR,FRA,Île-de-France,,53207.0,1250000037
Saint-Quentin,Saint-Quentin,49.8486,3.2864,France,FR,FRA,Hauts-de-France,minor,52958.0,1250806002
Bondy,Bondy,48.9022,2.4828,France,FR,FRA,Île-de-France,,52905.0,1250274671
Bayonne,Bayonne,43.49,-1.48,France,FR,FRA,Nouvelle-Aquitaine,minor,52749.0,1250223048
Corbeil-Essonnes,Corbeil-Essonnes,48.6139,2.482,France,FR,FRA,Île-de-France,,52683.0,1250742467
Cagnes-sur-Mer,Cagnes-sur-Mer,43.6644,7.1489,France,FR,FRA,Provence-Alpes-Côte d’Azur,,52580.0,1250261503
Vaulx-en-Velin,Vaulx-en-Velin,45.7768,4.9186,France,FR,FRA,Auvergne-Rhône-Alpes,,52139.0,1250814472
Sevran,Sevran,48.9333,2.5333,France,FR,FRA,Île-de-France,,51845.0,1250179512
Fontenay-sous-Bois,Fontenay-sous-Bois,48.8517,2.4772,France,FR,FRA,Île-de-France,,51812.0,1250384578
Sartrouville,Sartrouville,48.9372,2.1644,France,FR,FRA,Île-de-France,,51220.0,1250494022
Massy,Massy,48.7309,2.2713,France,FR,FRA,Île-de-France,,50962.0,1250651220
Arles,Arles,43.6767,4.6278,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,50415.0,1250682294
Albi,Albi,43.9289,2.1464,France,FR,FRA,Occitanie,minor,49714.0,1250988425
Laval,Laval,48.0733,-0.7689,France,FR,FRA,Pays de la Loire,minor,49657.0,1250720617
