city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Libreville,Libreville,0.3903,9.4542,Gabon,GA,GAB,Estuaire,primary,797003.0,1266952885
Port-Gentil,Port-Gentil,-0.7167,8.7833,Gabon,GA,GAB,Ogooué-Maritime,admin,136462.0,1266383028
Franceville,Franceville,-1.6333,13.5833,Gabon,GA,GAB,Haut-Ogooué,admin,110568.0,1266537692
Owendo,Owendo,0.2833,9.5,Gabon,GA,GAB,Estuaire,,79300.0,1266006431
Oyem,Oyem,1.6,11.5667,Gabon,GA,GAB,Woleu-Ntem,admin,60685.0,1266867613
Ntoum,Ntoum,0.3844,9.7539,Gabon,GA,GAB,Estuaire,,51954.0,1266045882
Moanda,Moanda,-1.5667,13.2,Gabon,GA,GAB,Haut-Ogooué,,39298.0,1266295581
Lambaréné,Lambarene,-0.6883,10.2319,Gabon,GA,GAB,Moyen-Ogooué,admin,38775.0,1266875472
Bitam,Bitam,2.0833,11.4833,Gabon,GA,GAB,Woleu-Ntem,,27923.0,1266921836
Tchibanga,Tchibanga,-2.9333,11.0,Gabon,GA,GAB,Nyanga,admin,24000.0,1266060335
Mouila,Mouila,-1.8639,11.0575,Gabon,GA,GAB,Ngounié,admin,22469.0,1266074474
Koulamoutou,Koulamoutou,-1.1333,12.4833,Gabon,GA,GAB,Ogooué-Lolo,admin,16000.0,1266049565
Makokou,Makokou,0.5667,12.8667,Gabon,GA,GAB,Ogooué-Ivindo,admin,13881.0,1266939354
Okondja,Okondja,-0.6519,13.6778,Gabon,GA,GAB,Haut-Ogooué,,10136.0,1266588926
Ndendé,Ndende,-2.4014,11.3589,Gabon,GA,GAB,Ngounié,,6436.0,1266578957
Mayumba,Mayumba,-3.4167,10.65,Gabon,GA,GAB,Nyanga,,5208.0,1266317571
Mitzic,Mitzic,0.7833,11.5667,Gabon,GA,GAB,Woleu-Ntem,,4926.0,1266866714
Mékambo,Mekambo,1.0167,13.9333,Gabon,GA,GAB,Ogooué-Ivindo,,4891.0,1266553682
Omboué,Omboue,-1.5667,9.25,Gabon,GA,GAB,Ogooué-Maritime,,2057.0,1266708175
Bifoun,Bifoun,-0.3333,10.3833,Gabon,GA,GAB,Moyen-Ogooué,,134.0,1266655418
Gamba,Gamba,-2.725,10.0167,Gabon,GA,GAB,Ogooué-Maritime,,10.0,1266236988
Libreville,Libreville,0.3903,9.4542,Gabon,GA,GAB,Estuaire,primary,797003.0,1266952885
Port-Gentil,Port-Gentil,-0.7167,8.7833,Gabon,GA,GAB,Ogooué-Maritime,admin,136462.0,1266383028
Franceville,Franceville,-1.6333,13.5833,Gabon,GA,GAB,Haut-Ogooué,admin,110568.0,1266537692
Owendo,Owendo,0.2833,9.5,Gabon,GA,GAB,Estuaire,,79300.0,1266006431
Oyem,Oyem,1.6,11.5667,Gabon,GA,GAB,Woleu-Ntem,admin,60685.0,1266867613
Ntoum,Ntoum,0.3844,9.7539,Gabon,GA,GAB,Estuaire,,51954.0,1266045882
Moanda,Moanda,-1.5667,13.2,Gabon,GA,GAB,Haut-Ogooué,,39298.0,1266295581
Lambaréné,Lambarene,-0.6883,10.2319,Gabon,GA,GAB,Moyen-Ogooué,admin,38775.0,1266875472
Bitam,Bitam,2.0833,11.4833,Gabon,GA,GAB,Woleu-Ntem,,27923.0,1266921836
Tchibanga,Tchibanga,-2.9333,11.0,Gabon,GA,GAB,Nyanga,admin,24000.0,1266060335
Mouila,Mouila,-1.8639,11.0575,Gabon,GA,GAB,Ngounié,admin,22469.0,1266074474
Koulamoutou,Koulamoutou,-1.1333,12.4833,Gabon,GA,GAB,Ogooué-Lolo,admin,16000.0,1266049565
Makokou,Makokou,0.5667,12.8667,Gabon,GA,GAB,Ogooué-Ivindo,admin,13881.0,1266939354
Okondja,Okondja,-0.6519,13.6778,Gabon,GA,GAB,Haut-Ogooué,,10136.0,1266588926
Ndendé,Ndende,-2.4014,11.3589,Gabon,GA,GAB,Ngounié,,6436.0,1266578957
Mayumba,Mayumba,-3.4167,10.65,Gabon,GA,GAB,Nyanga,,5208.0,1266317571
Mitzic,Mitzic,0.7833,11.5667,Gabon,GA,GAB,Woleu-Ntem,,4926.0,1266866714
Mékambo,Mekambo,1.0167,13.9333,Gabon,GA,GAB,Ogooué-Ivindo,,4891.0,1266553682
Omboué,Omboue,-1.5667,9.25,Gabon,GA,GAB,Ogooué-Maritime,,2057.0,1266708175
Bifoun,Bifoun,-0.3333,10.3833,Gabon,GA,GAB,Moyen-Ogooué,,134.0,1266655418
Gamba,Gamba,-2.725,10.0167,Gabon,GA,GAB,Ogooué-Maritime,,10.0,1266236988
