city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tbilisi,Tbilisi,41.7225,44.7925,Georgia,GE,GEO,Tbilisi,primary,1118035.0,1268203191
Batumi,Batumi,41.6458,41.6417,Georgia,GE,GEO,Ajaria,admin,169095.0,1268193611
Kutaisi,Kutaisi,42.25,42.7,Georgia,GE,GEO,Imereti,admin,147900.0,1268369835
Rustavi,Rustavi,41.5436,45.0117,Georgia,GE,GEO,Kvemo Kartli,admin,132333.0,1268562807
Sokhumi,Sokhumi,43.0,41.0167,Georgia,GE,GEO,Abkhazia,admin,64441.0,1268394475
Iormughanlo,Iormughanlo,41.5961,45.5294,Georgia,GE,GEO,K’akheti,,51000.0,1268988289
Gori,Gori,41.9667,44.1,Georgia,GE,GEO,Shida Kartli,admin,44524.0,1268442763
Poti,Poti,42.15,41.6667,Georgia,GE,GEO,Samegrelo-Zemo Svaneti,minor,41500.0,1268764439
Zugdidi,Zugdidi,42.5083,41.8667,Georgia,GE,GEO,Samegrelo-Zemo Svaneti,admin,41494.0,1268300325
Tskhinvali,Tskhinvali,42.225,43.97,Georgia,GE,GEO,Shida Kartli,,30432.0,1268142653
Kobuleti,Kobuleti,41.8111,41.7753,Georgia,GE,GEO,Ajaria,minor,27546.0,1268789492
Marneuli,Marneuli,41.4969,44.8108,Georgia,GE,GEO,Kvemo Kartli,minor,24928.0,1268246632
Khashuri,Khashuri,41.9975,43.5986,Georgia,GE,GEO,Shida Kartli,minor,24601.0,1268805813
Samtredia,Samtredia,42.1625,42.3417,Georgia,GE,GEO,Imereti,minor,22201.0,1268722261
Senaki,Senaki,42.2689,42.0792,Georgia,GE,GEO,Samegrelo-Zemo Svaneti,minor,21596.0,1268594062
Zestaponi,Zestaponi,42.1083,43.0417,Georgia,GE,GEO,Imereti,minor,20548.0,1268512465
Telavi,Telavi,41.9167,45.4833,Georgia,GE,GEO,K’akheti,admin,19509.0,1268806987
Chiatura,Chiatura,42.2903,43.2819,Georgia,GE,GEO,Imereti,minor,12803.0,1268109210
Kaspi,Kaspi,41.925,44.4222,Georgia,GE,GEO,Shida Kartli,minor,12708.0,1268997310
Borjomi,Borjomi,41.8389,43.3792,Georgia,GE,GEO,Samtskhe-Javakheti,,11194.0,1268485704
Sagarejo,Sagarejo,41.7333,45.3333,Georgia,GE,GEO,K’akheti,minor,10871.0,1268647899
Akhaltsikhe,Akhaltsikhe,41.6389,42.9861,Georgia,GE,GEO,Samtskhe-Javakheti,admin,10153.0,1268352935
Mtskheta,Mtskheta,41.8464,44.7194,Georgia,GE,GEO,Mtskheta Mtianeti,admin,7606.0,1268173120
Ambrolauri,Ambrolauri,42.5194,43.15,Georgia,GE,GEO,Rach’a-Lechkhumi da Kvemo Svaneti,admin,2015.0,1268370586
Ozurgeti,Ozurgeti,41.9406,41.9906,Georgia,GE,GEO,Guria,admin,844.0,1268276279
Tbilisi,Tbilisi,41.7225,44.7925,Georgia,GE,GEO,Tbilisi,primary,1118035.0,1268203191
Batumi,Batumi,41.6458,41.6417,Georgia,GE,GEO,Ajaria,admin,169095.0,1268193611
Kutaisi,Kutaisi,42.25,42.7,Georgia,GE,GEO,Imereti,admin,147900.0,1268369835
Rustavi,Rustavi,41.5436,45.0117,Georgia,GE,GEO,Kvemo Kartli,admin,132333.0,1268562807
Sokhumi,Sokhumi,43.0,41.0167,Georgia,GE,GEO,Abkhazia,admin,64441.0,1268394475
Iormughanlo,Iormughanlo,41.5961,45.5294,Georgia,GE,GEO,K’akheti,,51000.0,1268988289
Gori,Gori,41.9667,44.1,Georgia,GE,GEO,Shida Kartli,admin,44524.0,1268442763
Poti,Poti,42.15,41.6667,Georgia,GE,GEO,Samegrelo-Zemo Svaneti,minor,41500.0,1268764439
Zugdidi,Zugdidi,42.5083,41.8667,Georgia,GE,GEO,Samegrelo-Zemo Svaneti,admin,41494.0,1268300325
Tskhinvali,Tskhinvali,42.225,43.97,Georgia,GE,GEO,Shida Kartli,,30432.0,1268142653
Kobuleti,Kobuleti,41.8111,41.7753,Georgia,GE,GEO,Ajaria,minor,27546.0,1268789492
Marneuli,Marneuli,41.4969,44.8108,Georgia,GE,GEO,Kvemo Kartli,minor,24928.0,1268246632
Khashuri,Khashuri,41.9975,43.5986,Georgia,GE,GEO,Shida Kartli,minor,24601.0,1268805813
Samtredia,Samtredia,42.1625,42.3417,Georgia,GE,GEO,Imereti,minor,22201.0,1268722261
Senaki,Senaki,42.2689,42.0792,Georgia,GE,GEO,Samegrelo-Zemo Svaneti,minor,21596.0,1268594062
Zestaponi,Zestaponi,42.1083,43.0417,Georgia,GE,GEO,Imereti,minor,20548.0,1268512465
Telavi,Telavi,41.9167,45.4833,Georgia,GE,GEO,K’akheti,admin,19509.0,1268806987
Chiatura,Chiatura,42.2903,43.2819,Georgia,GE,GEO,Imereti,minor,12803.0,1268109210
Kaspi,Kaspi,41.925,44.4222,Georgia,GE,GEO,Shida Kartli,minor,12708.0,1268997310
Borjomi,Borjomi,41.8389,43.3792,Georgia,GE,GEO,Samtskhe-Javakheti,,11194.0,1268485704
Sagarejo,Sagarejo,41.7333,45.3333,Georgia,GE,GEO,K’akheti,minor,10871.0,1268647899
Akhaltsikhe,Akhaltsikhe,41.6389,42.9861,Georgia,GE,GEO,Samtskhe-Javakheti,admin,10153.0,1268352935
Mtskheta,Mtskheta,41.8464,44.7194,Georgia,GE,GEO,Mtskheta Mtianeti,admin,7606.0,1268173120
