city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Berlin,Berlin,52.52,13.405,Germany,DE,DEU,Berlin,primary,4890363.0,1276451290
Stuttgart,Stuttgart,48.7775,9.18,Germany,DE,DEU,Baden-Württemberg,admin,2787724.0,1276171358
Munich,Munich,48.1375,11.575,Germany,DE,DEU,Bavaria,admin,2606021.0,1276692352
Hamburg,Hamburg,53.55,10.0,Germany,DE,DEU,Hamburg,admin,2484800.0,1276041799
Cologne,Cologne,50.9364,6.9528,Germany,DE,DEU,North Rhine-Westphalia,,1084831.0,1276015998
Frankfurt,Frankfurt,50.1106,8.6822,Germany,DE,DEU,Hesse,minor,773068.0,1276054552
Düsseldorf,Dusseldorf,51.2333,6.7833,Germany,DE,DEU,North Rhine-Westphalia,admin,629047.0,1276615258
Leipzig,Leipzig,51.34,12.375,Germany,DE,DEU,Saxony,minor,616093.0,1276563678
Dortmund,Dortmund,51.5139,7.4653,Germany,DE,DEU,North Rhine-Westphalia,minor,593317.0,1276562886
Essen,Essen,51.4508,7.0131,Germany,DE,DEU,North Rhine-Westphalia,minor,584580.0,1276769247
Bremen,Bremen,53.0758,8.8072,Germany,DE,DEU,Bremen,admin,569396.0,1276376509
Dresden,Dresden,51.05,13.74,Germany,DE,DEU,Saxony,admin,563311.0,1276561036
Hannover,Hannover,52.3667,9.7167,Germany,DE,DEU,Lower Saxony,admin,545045.0,1276457707
Nuremberg,Nuremberg,49.4539,11.0775,Germany,DE,DEU,Bavaria,minor,523026.0,1276166609
Duisburg,Duisburg,51.4347,6.7625,Germany,DE,DEU,North Rhine-Westphalia,minor,502211.0,1276977172
Bochum,Bochum,51.4819,7.2158,Germany,DE,DEU,North Rhine-Westphalia,minor,365742.0,1276227288
Wuppertal,Wuppertal,51.2667,7.1833,Germany,DE,DEU,North Rhine-Westphalia,minor,358876.0,1276004611
Bielefeld,Bielefeld,52.0211,8.5347,Germany,DE,DEU,North Rhine-Westphalia,minor,338332.0,1276112885
Bonn,Bonn,50.7333,7.1,Germany,DE,DEU,North Rhine-Westphalia,minor,336465.0,1276807850
Münster,Munster,51.9625,7.6256,Germany,DE,DEU,North Rhine-Westphalia,minor,320946.0,1276714504
Mannheim,Mannheim,49.4878,8.4661,Germany,DE,DEU,Baden-Württemberg,minor,315554.0,1276150104
Karlsruhe,Karlsruhe,49.0092,8.404,Germany,DE,DEU,Baden-Württemberg,minor,308707.0,1276923210
Augsburg,Augsburg,48.3689,10.8978,Germany,DE,DEU,Bavaria,minor,301033.0,1276314100
Wiesbaden,Wiesbaden,50.0825,8.24,Germany,DE,DEU,Hesse,admin,283083.0,1276652118
Mönchengladbach,Monchengladbach,51.2,6.4333,Germany,DE,DEU,North Rhine-Westphalia,minor,268465.0,1276982173
Gelsenkirchen,Gelsenkirchen,51.5167,7.1,Germany,DE,DEU,North Rhine-Westphalia,minor,263000.0,1276788537
Aachen,Aachen,50.7756,6.0836,Germany,DE,DEU,North Rhine-Westphalia,minor,252136.0,1276805572
