city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Kumasi,Kumasi,6.7,-1.625,Ghana,GH,GHA,Ashanti,admin,3490030.0,1288181103
Boankra,Boankra,6.6944,-1.4028,Ghana,GH,GHA,Ashanti,,3348000.0,1288164978
Accra,Accra,5.55,-0.2,Ghana,GH,GHA,Greater Accra,primary,2388000.0,1288299415
Tamale,Tamale,9.4075,-0.8533,Ghana,GH,GHA,Northern,admin,1095808.0,1288890688
Domaa-Ahenkro,Domaa-Ahenkro,7.2833,-2.8833,Ghana,GH,GHA,Bono,,1000000.0,1288459533
Sekondi,Sekondi,4.9433,-1.704,Ghana,GH,GHA,Western,admin,286248.0,1288186231
Sunyani,Sunyani,7.3333,-2.3333,Ghana,GH,GHA,Bono,admin,208496.0,1288679588
Ashaiman,Ashaiman,5.7,-0.0333,Ghana,GH,GHA,Greater Accra,,208060.0,1288638865
Obuase,Obuase,6.2,-1.6833,Ghana,GH,GHA,Ashanti,,180460.0,1288615192
Cape Coast,Cape Coast,5.1,-1.25,Ghana,GH,GHA,Central,admin,169894.0,1288506097
Tema,Tema,5.6667,-0.0167,Ghana,GH,GHA,Greater Accra,,161612.0,1288205885
Medina Estates,Medina Estates,5.6833,-0.1667,Ghana,GH,GHA,Greater Accra,,137162.0,1288850745
Koforidua,Koforidua,6.0833,-0.25,Ghana,GH,GHA,Eastern,admin,127334.0,1288961962
Suhum,Suhum,6.0333,-0.45,Ghana,GH,GHA,Eastern,,126403.0,1288836102
Kintampo,Kintampo,8.0522,-1.7347,Ghana,GH,GHA,Bono East,,111000.0,1288911745
Wa,Wa,10.0667,-2.5,Ghana,GH,GHA,Upper West,admin,107214.0,1288765586
Atebubu,Atebubu,7.75,-0.9833,Ghana,GH,GHA,Bono East,,105938.0,1288881078
Techiman,Techiman,7.5772,-1.9292,Ghana,GH,GHA,Bono East,admin,104212.0,1288222236
Dzolokpuita,Dzolokpuita,6.7862,0.4437,Ghana,GH,GHA,Volta,,100000.0,1288118620
Ho,Ho,6.6119,0.4703,Ghana,GH,GHA,Volta,admin,83715.0,1288938914
Ahenkro,Ahenkro,7.1164,0.3242,Ghana,GH,GHA,Oti,,80813.0,1288684117
Dome,Dome,5.655,-0.235,Ghana,GH,GHA,Greater Accra,,78785.0,1288419315
Gbawe,Gbawe,5.5767,-0.3108,Ghana,GH,GHA,Greater Accra,,74403.0,1288613578
Konongo,Konongo,6.6167,-1.2167,Ghana,GH,GHA,Ashanti,,71238.0,1288795145
Ejura,Ejura,7.3833,-1.3667,Ghana,GH,GHA,Ashanti,,70807.0,1288797018
Bawku,Bawku,11.05,-0.2333,Ghana,GH,GHA,Upper East,,69527.0,1288067377
Swedru,Swedru,5.5306,-0.7028,Ghana,GH,GHA,Central,,68216.0,1288165565
Bolgatanga,Bolgatanga,10.7833,-0.85,Ghana,GH,GHA,Upper East,admin,66685.0,1288943371
Aflao,Aflao,6.1468,1.1799,Ghana,GH,GHA,Volta,,66546.0,1288563374
Berekum,Berekum,7.45,-2.5833,Ghana,GH,GHA,Bono,,62364.0,1288257467
Nkawkaw,Nkawkaw,6.55,-0.7667,Ghana,GH,GHA,Eastern,,61785.0,1288350107
Tafo,Tafo,6.7358,-1.6081,Ghana,GH,GHA,Ashanti,,60919.0,1288961345
