city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Athens,Athens,37.9842,23.7281,Greece,GR,GRC,Attikí,primary,3059764.0,1300715560
Thessaloníki,Thessaloniki,40.6403,22.9347,Greece,GR,GRC,Kentrikí Makedonía,admin,802572.0,1300397999
Piraeus,Piraeus,37.943,23.6469,Greece,GR,GRC,Attikí,minor,448051.0,1300458367
Irákleio,Irakleio,35.3403,25.1344,Greece,GR,GRC,Kríti,admin,211370.0,1300777854
Pátra,Patra,38.25,21.7333,Greece,GR,GRC,Dytikí Elláda,admin,173600.0,1300201099
Lárisa,Larisa,39.6417,22.4167,Greece,GR,GRC,Thessalía,admin,148562.0,1300003141
Peristéri,Peristeri,38.0167,23.6833,Greece,GR,GRC,Attikí,minor,139981.0,1300302779
Acharnés,Acharnes,38.0833,23.7333,Greece,GR,GRC,Attikí,minor,108130.0,1300526257
Kallithéa,Kallithea,37.95,23.7,Greece,GR,GRC,Attikí,minor,97616.0,1300675902
Kalamariá,Kalamaria,40.5833,22.95,Greece,GR,GRC,Kentrikí Makedonía,minor,91279.0,1300268108
Glyfáda,Glyfada,37.8667,23.75,Greece,GR,GRC,Attikí,minor,89597.0,1300003373
Níkaia,Nikaia,37.9667,23.6333,Greece,GR,GRC,Attikí,minor,89380.0,1300155901
Vólos,Volos,39.3667,22.9333,Greece,GR,GRC,Thessalía,minor,85803.0,1300109851
Ílion,Ilion,38.0333,23.7,Greece,GR,GRC,Attikí,minor,84793.0,1300000001
Évosmos,Evosmos,40.6689,22.9083,Greece,GR,GRC,Kentrikí Makedonía,minor,79221.0,1300891029
Ilioúpoli,Ilioupoli,37.9333,23.75,Greece,GR,GRC,Attikí,minor,78153.0,1300079206
Chalándri,Chalandri,38.0167,23.8,Greece,GR,GRC,Attikí,minor,77102.0,1300443208
Keratsíni,Keratsini,37.9667,23.6167,Greece,GR,GRC,Attikí,minor,77077.0,1300341321
Néa Smýrni,Nea Smyrni,37.95,23.7167,Greece,GR,GRC,Attikí,minor,73076.0,1300609999
Maroúsi,Marousi,38.05,23.8,Greece,GR,GRC,Attikí,minor,72333.0,1300017523
Ágios Dimítrios,Agios Dimitrios,37.9333,23.7333,Greece,GR,GRC,Attikí,minor,71664.0,1300159419
Zográfos,Zografos,37.9783,23.7717,Greece,GR,GRC,Attikí,minor,71026.0,1300851737
Aigáleo,Aigaleo,37.992,23.678,Greece,GR,GRC,Attikí,minor,69946.0,1300067899
Néa Ionía,Nea Ionia,38.0333,23.75,Greece,GR,GRC,Attikí,minor,67134.0,1300842760
Kavála,Kavala,40.9333,24.4,Greece,GR,GRC,Anatolikí Makedonía kai Thráki,minor,65857.0,1300398756
Ioánnina,Ioannina,39.6636,20.8522,Greece,GR,GRC,Ípeiros,admin,64896.0,1300317204
Palaió Fáliro,Palaio Faliro,37.9333,23.7,Greece,GR,GRC,Attikí,minor,64863.0,1300258604
Korydallós,Korydallos,37.9833,23.65,Greece,GR,GRC,Attikí,minor,63445.0,1300198192
Agía Paraskeví,Agia Paraskevi,38.0117,23.82,Greece,GR,GRC,Attikí,minor,62147.0,1300253630
Tríkala,Trikala,39.55,21.7667,Greece,GR,GRC,Thessalía,minor,62064.0,1300446578
Výronas,Vyronas,37.9617,23.7533,Greece,GR,GRC,Attikí,minor,61535.0,1300508500
Alexandroúpoli,Alexandroupoli,40.85,25.8667,Greece,GR,GRC,Anatolikí Makedonía kai Thráki,minor,59723.0,1300949419
Galátsi,Galatsi,38.0167,23.75,Greece,GR,GRC,Attikí,minor,59345.0,1300322310
Sérres,Serres,41.0833,23.55,Greece,GR,GRC,Kentrikí Makedonía,minor,59260.0,1300726987
Kateríni,Katerini,40.2667,22.5,Greece,GR,GRC,Kentrikí Makedonía,minor,59189.0,1300524464
Chalkída,Chalkida,38.4625,23.595,Greece,GR,GRC,Stereá Elláda,minor,59125.0,1300585149
Petroúpoli,Petroupoli,38.0333,23.6833,Greece,GR,GRC,Attikí,minor,58979.0,1300960002
Kalamáta,Kalamata,37.0378,22.1111,Greece,GR,GRC,Pelopónnisos,minor,58816.0,1300638148
Xánthi,Xanthi,41.1333,24.8833,Greece,GR,GRC,Anatolikí Makedonía kai Thráki,minor,58760.0,1300051191
Ródos,Rodos,36.4412,28.2225,Greece,GR,GRC,Nótio Aigaío,minor,56969.0,1300944675
Thérmi,Thermi,40.55,23.0167,Greece,GR,GRC,Kentrikí Makedonía,minor,55358.0,1300794818
Pallíni,Pallini,38.0,23.8833,Greece,GR,GRC,Attikí,,54415.0,1300243974
Komotiní,Komotini,41.1219,25.4042,Greece,GR,GRC,Anatolikí Makedonía kai Thráki,admin,54165.0,1300373048
Chaniá,Chania,35.5167,24.0167,Greece,GR,GRC,Kríti,minor,53910.0,1300233408
Agrínio,Agrinio,38.6167,21.4,Greece,GR,GRC,Dytikí Elláda,minor,50690.0,1300351677
Irákleio,Irakleio,38.05,23.7667,Greece,GR,GRC,Attikí,minor,49642.0,1300476566
Lamía,Lamia,38.9,22.4333,Greece,GR,GRC,Stereá Elláda,admin,47529.0,1300400935
Kifisiá,Kifisia,38.0833,23.8167,Greece,GR,GRC,Attikí,minor,47332.0,1300808003
Chaïdári,Chaidari,38.0167,23.65,Greece,GR,GRC,Attikí,minor,47051.0,1300077260
Stavroúpoli,Stavroupoli,40.6667,22.9333,Greece,GR,GRC,Kentrikí Makedonía,minor,45891.0,1300659280
Dráma,Drama,41.15,24.1467,Greece,GR,GRC,Anatolikí Makedonía kai Thráki,minor,44257.0,1300779088
Kozáni,Kozani,40.3,21.7833,Greece,GR,GRC,Dytikí Makedonía,admin,43316.0,1300407295
Véroia,Veroia,40.5167,22.2,Greece,GR,GRC,Kentrikí Makedonía,minor,43212.0,1300354522
Vergína,Vergina,40.4865,22.3173,Greece,GR,GRC,Kentrikí Makedonía,,43158.0,1300807660
Álimos,Alimos,37.9167,23.7167,Greece,GR,GRC,Attikí,minor,41720.0,1300088630
Zákynthos,Zakynthos,37.8,20.75,Greece,GR,GRC,Ionía Nísia,minor,41180.0,1300442690
Kardítsa,Karditsa,39.3667,21.9167,Greece,GR,GRC,Thessalía,minor,40272.0,1300471729
Oraiókastro,Oraiokastro,40.7333,22.9167,Greece,GR,GRC,Kentrikí Makedonía,minor,40004.0,1300041149
Lagkadás,Lagkadas,40.75,23.0667,Greece,GR,GRC,Kentrikí Makedonía,minor,37022.0,1300163444
Pylaía,Pylaia,40.6,22.9833,Greece,GR,GRC,Kentrikí Makedonía,,36843.0,1300241123
Ampelókipoi,Ampelokipoi,40.65,22.9167,Greece,GR,GRC,Kentrikí Makedonía,minor,35846.0,1300184728
Sykiés,Sykies,40.65,22.95,Greece,GR,GRC,Kentrikí Makedonía,minor,35545.0,1300810764
Ágioi Anárgyroi,Agioi Anargyroi,38.0267,23.7183,Greece,GR,GRC,Attikí,minor,34168.0,1300220121
Argyroúpoli,Argyroupoli,37.9,23.75,Greece,GR,GRC,Attikí,minor,34097.0,1300735599
Áno Liósia,Ano Liosia,38.0833,23.7,Greece,GR,GRC,Attikí,minor,33565.0,1300536018
Réthymno,Rethymno,35.3689,24.4739,Greece,GR,GRC,Kríti,minor,32468.0,1300036161
Vrilíssia,Vrilissia,38.0333,23.8333,Greece,GR,GRC,Attikí,minor,32417.0,1300600750
