city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Nuuk,Nuuk,64.1814,-51.6942,Greenland,GL,GRL,Sermersooq,primary,18326.0,1304028354
Sisimiut,Sisimiut,66.9389,-53.6722,Greenland,GL,GRL,Qeqqata,admin,5582.0,1304160154
Ilulissat,Ilulissat,69.2167,-51.1,Greenland,GL,GRL,Avannaata,admin,4737.0,1304656747
Aasiaat,Aasiaat,68.7097,-52.8694,Greenland,GL,GRL,Qeqertalik,admin,3069.0,1304194714
Qaqortoq,Qaqortoq,60.7222,-46.0403,Greenland,GL,GRL,Kujalleq,admin,3050.0,1304746917
Tasiilaq,Tasiilaq,65.6136,-37.6311,Greenland,GL,GRL,Sermersooq,,1985.0,1304230512
Uummannaq,Uummannaq,70.6747,-52.1264,Greenland,GL,GRL,Avannaata,,1407.0,1304056798
Paamiut,Paamiut,61.9944,-49.6667,Greenland,GL,GRL,Sermersooq,,1308.0,1304323922
Upernavik,Upernavik,72.7869,-56.1472,Greenland,GL,GRL,Avannaata,,1092.0,1304750851
Qasigiannguit,Qasigiannguit,68.8201,-51.1932,Greenland,GL,GRL,Qeqertalik,,1081.0,1304001772
Godhavn,Godhavn,69.2472,-53.5333,Greenland,GL,GRL,Qeqertalik,,839.0,1304388071
Qaanaaq,Qaanaaq,77.4667,-69.2306,Greenland,GL,GRL,Avannaata,,646.0,1304094556
Kullorsuaq,Kullorsuaq,74.5792,-57.2181,Greenland,GL,GRL,Avannaata,,453.0,1304004889
Scoresbysund,Scoresbysund,70.4853,-21.9667,Greenland,GL,GRL,Sermersooq,,345.0,1304036812
Tasiusaq,Tasiusaq,73.3689,-56.0556,Greenland,GL,GRL,Avannaata,,252.0,1304103267
Kulusuk,Kulusuk,65.5753,-37.1833,Greenland,GL,GRL,Sermersooq,,241.0,1304671891
Kraulshavn,Kraulshavn,74.1111,-57.0611,Greenland,GL,GRL,Avannaata,,181.0,1304966853
Kangersuatsiaq,Kangersuatsiaq,72.3797,-55.55,Greenland,GL,GRL,Avannaata,,130.0,1304939198
Narsarsuaq,Narsarsuaq,61.1458,-45.4347,Greenland,GL,GRL,Kujalleq,,123.0,1304138343
Savissivik,Savissivik,76.0194,-65.1139,Greenland,GL,GRL,Avannaata,,55.0,1304246272
Nord,Nord,81.7166,-17.8,Greenland,GL,GRL,,,10.0,1304217709
Timmiarmiut,Timmiarmiut,62.5333,-42.2167,Greenland,GL,GRL,Kujalleq,,10.0,1304206491
Nuuk,Nuuk,64.1814,-51.6942,Greenland,GL,GRL,Sermersooq,primary,18326.0,1304028354
Sisimiut,Sisimiut,66.9389,-53.6722,Greenland,GL,GRL,Qeqqata,admin,5582.0,1304160154
Ilulissat,Ilulissat,69.2167,-51.1,Greenland,GL,GRL,Avannaata,admin,4737.0,1304656747
Aasiaat,Aasiaat,68.7097,-52.8694,Greenland,GL,GRL,Qeqertalik,admin,3069.0,1304194714
Qaqortoq,Qaqortoq,60.7222,-46.0403,Greenland,GL,GRL,Kujalleq,admin,3050.0,1304746917
Tasiilaq,Tasiilaq,65.6136,-37.6311,Greenland,GL,GRL,Sermersooq,,1985.0,1304230512
Uummannaq,Uummannaq,70.6747,-52.1264,Greenland,GL,GRL,Avannaata,,1407.0,1304056798
Paamiut,Paamiut,61.9944,-49.6667,Greenland,GL,GRL,Sermersooq,,1308.0,1304323922
Upernavik,Upernavik,72.7869,-56.1472,Greenland,GL,GRL,Avannaata,,1092.0,1304750851
Qasigiannguit,Qasigiannguit,68.8201,-51.1932,Greenland,GL,GRL,Qeqertalik,,1081.0,1304001772
Godhavn,Godhavn,69.2472,-53.5333,Greenland,GL,GRL,Qeqertalik,,839.0,1304388071
Qaanaaq,Qaanaaq,77.4667,-69.2306,Greenland,GL,GRL,Avannaata,,646.0,1304094556
Kullorsuaq,Kullorsuaq,74.5792,-57.2181,Greenland,GL,GRL,Avannaata,,453.0,1304004889
Scoresbysund,Scoresbysund,70.4853,-21.9667,Greenland,GL,GRL,Sermersooq,,345.0,1304036812
Tasiusaq,Tasiusaq,73.3689,-56.0556,Greenland,GL,GRL,Avannaata,,252.0,1304103267
Kulusuk,Kulusuk,65.5753,-37.1833,Greenland,GL,GRL,Sermersooq,,241.0,1304671891
Kraulshavn,Kraulshavn,74.1111,-57.0611,Greenland,GL,GRL,Avannaata,,181.0,1304966853
Kangersuatsiaq,Kangersuatsiaq,72.3797,-55.55,Greenland,GL,GRL,Avannaata,,130.0,1304939198
Narsarsuaq,Narsarsuaq,61.1458,-45.4347,Greenland,GL,GRL,Kujalleq,,123.0,1304138343
Savissivik,Savissivik,76.0194,-65.1139,Greenland,GL,GRL,Avannaata,,55.0,1304246272
Nord,Nord,81.7166,-17.8,Greenland,GL,GRL,,,10.0,1304217709
Timmiarmiut,Timmiarmiut,62.5333,-42.2167,Greenland,GL,GRL,Kujalleq,,10.0,1304206491
