city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Guatemala City,Guatemala City,14.6133,-90.5353,Guatemala,GT,GTM,Guatemala,primary,3014000.0,1320197916
Mixco,Mixco,14.6331,-90.6064,Guatemala,GT,GTM,Guatemala,minor,517505.0,1320420152
Villa Nueva,Villa Nueva,14.5269,-90.5875,Guatemala,GT,GTM,Guatemala,minor,483897.0,1320353009
San Juan Sacatepéquez,San Juan Sacatepequez,14.7189,-90.6442,Guatemala,GT,GTM,Guatemala,minor,284798.0,1320451247
San Pedro Carchá,San Pedro Carcha,15.4667,-90.3,Guatemala,GT,GTM,Alta Verapaz,minor,255006.0,1320220558
Cobán,Coban,15.4833,-90.3667,Guatemala,GT,GTM,Alta Verapaz,admin,228664.0,1320020813
Quetzaltenango,Quetzaltenango,14.8333,-91.5167,Guatemala,GT,GTM,Quetzaltenango,admin,204075.0,1320083599
Jalapa,Jalapa,14.6333,-89.9833,Guatemala,GT,GTM,Jalapa,admin,192676.0,1320108089
Escuintla,Escuintla,14.2978,-90.7869,Guatemala,GT,GTM,Escuintla,admin,170280.0,1320838903
Villa Canales,Villa Canales,14.4833,-90.5333,Guatemala,GT,GTM,Guatemala,minor,167779.0,1320213771
Jutiapa,Jutiapa,14.2828,-89.8925,Guatemala,GT,GTM,Jutiapa,admin,167049.0,1320264119
Amatitlán,Amatitlan,14.4833,-90.6167,Guatemala,GT,GTM,Guatemala,minor,152296.0,1320637423
Chichicastenango,Chichicastenango,14.9333,-91.1167,Guatemala,GT,GTM,Quiché,minor,150932.0,1320948769
Momostenango,Momostenango,15.0444,-91.4083,Guatemala,GT,GTM,Totonicapán,minor,139552.0,1320482609
Huehuetenango,Huehuetenango,15.3147,-91.4761,Guatemala,GT,GTM,Huehuetenango,admin,136639.0,1320742269
San Luis,San Luis,16.2,-89.44,Guatemala,GT,GTM,Petén,minor,132470.0,1320642245
Petapa,Petapa,14.5,-90.5667,Guatemala,GT,GTM,Guatemala,minor,129124.0,1320957558
Santa Lucía Cotzumalguapa,Santa Lucia Cotzumalguapa,14.35,-91.0167,Guatemala,GT,GTM,Escuintla,minor,127683.0,1320110674
Chinautla,Chinautla,14.7,-90.5,Guatemala,GT,GTM,Guatemala,minor,124365.0,1320450064
Coatepeque,Coatepeque,14.7,-91.8667,Guatemala,GT,GTM,Quetzaltenango,minor,120737.0,1320672314
Totonicapán,Totonicapan,14.9108,-91.3606,Guatemala,GT,GTM,Totonicapán,admin,118960.0,1320223386
Chimaltenango,Chimaltenango,14.6622,-90.8208,Guatemala,GT,GTM,Chimaltenango,admin,116642.0,1320147012
Tecpán Guatemala,Tecpan Guatemala,14.7667,-91.0,Guatemala,GT,GTM,Chimaltenango,minor,112864.0,1320835574
Pochuta,Pochuta,14.545,-91.0889,Guatemala,GT,GTM,Chimaltenango,minor,112139.0,1320115832
Chiquimula,Chiquimula,14.7833,-89.5333,Guatemala,GT,GTM,Chiquimula,admin,111505.0,1320041079
Puerto Barrios,Puerto Barrios,15.7133,-88.5899,Guatemala,GT,GTM,Izabal,admin,110846.0,1320517532
Retalhuleu,Retalhuleu,14.5333,-91.6833,Guatemala,GT,GTM,Retalhuleu,admin,109935.0,1320999503
Malacatán,Malacatan,14.9,-92.0497,Guatemala,GT,GTM,San Marcos,minor,109318.0,1320759841
Joyabaj,Joyabaj,14.995,-90.8075,Guatemala,GT,GTM,Quiché,minor,107634.0,1320625420
Morales,Morales,15.4725,-88.8414,Guatemala,GT,GTM,Izabal,minor,107400.0,1320701049
Sololá,Solola,14.7667,-91.1833,Guatemala,GT,GTM,Sololá,admin,99934.0,1320747500
Sayaxché,Sayaxche,16.5167,-90.1833,Guatemala,GT,GTM,Petén,minor,99787.0,1320897653
Santa Cruz del Quiché,Santa Cruz del Quiche,15.03,-91.15,Guatemala,GT,GTM,Quiché,admin,99479.0,1320642159
Senahú,Senahu,15.4164,-89.8203,Guatemala,GT,GTM,Alta Verapaz,minor,98703.0,1320727854
San Martín Jilotepeque,San Martin Jilotepeque,14.7833,-90.8,Guatemala,GT,GTM,Chimaltenango,minor,94901.0,1320611842
Chiantla,Chiantla,15.35,-91.45,Guatemala,GT,GTM,Huehuetenango,minor,93780.0,1320904799
San José Pinula,San Jose Pinula,14.55,-90.4167,Guatemala,GT,GTM,Guatemala,minor,89639.0,1320568537
Santa Catarina Pinula,Santa Catarina Pinula,14.5667,-90.5,Guatemala,GT,GTM,Guatemala,minor,87362.0,1320763146
Nahualá,Nahuala,14.85,-91.3167,Guatemala,GT,GTM,Sololá,minor,87319.0,1320452965
San Pedro Sacatepéquez,San Pedro Sacatepequez,14.9667,-91.7667,Guatemala,GT,GTM,San Marcos,minor,85671.0,1320463364
Concepción Tutuapa,Concepcion Tutuapa,15.2833,-91.7833,Guatemala,GT,GTM,San Marcos,minor,84138.0,1320051048
Mazatenango,Mazatenango,14.5333,-91.5,Guatemala,GT,GTM,Suchitepéquez,admin,82969.0,1320123250
El Estor,El Estor,15.5333,-89.35,Guatemala,GT,GTM,Izabal,minor,82491.0,1320745698
Nueva Concepción,Nueva Concepcion,14.1997,-91.2997,Guatemala,GT,GTM,Escuintla,minor,82216.0,1320214238
Tacaná,Tacana,15.2414,-92.0683,Guatemala,GT,GTM,San Marcos,minor,82079.0,1320608933
Panzos,Panzos,15.4,-89.6667,Guatemala,GT,GTM,Alta Verapaz,minor,81063.0,1320362247
San Cristóbal Verapaz,San Cristobal Verapaz,15.365,-90.4792,Guatemala,GT,GTM,Alta Verapaz,minor,80613.0,1320384406
Comitancillo,Comitancillo,15.0833,-91.7167,Guatemala,GT,GTM,San Marcos,minor,80612.0,1320980243
Lívingston,Livingston,15.83,-88.75,Guatemala,GT,GTM,Izabal,minor,80249.0,1320970605
San Pedro Pinula,San Pedro Pinula,14.6667,-89.85,Guatemala,GT,GTM,Jalapa,minor,78244.0,1320622602
Fray Bartolomé de Las Casas,Fray Bartolome de Las Casas,15.8456,-89.8658,Guatemala,GT,GTM,Alta Verapaz,minor,77896.0,1320227536
Jocotán,Jocotan,14.8167,-89.3833,Guatemala,GT,GTM,Chiquimula,minor,75578.0,1320875548
Palencia,Palencia,14.6667,-90.3667,Guatemala,GT,GTM,Guatemala,minor,74839.0,1320202368
Uspantán,Uspantan,15.3458,-90.8694,Guatemala,GT,GTM,Quiché,minor,74244.0,1320948711
Palín,Palin,14.4039,-90.6986,Guatemala,GT,GTM,Escuintla,minor,72203.0,1320669279
Patzún,Patzun,14.6833,-91.0167,Guatemala,GT,GTM,Chimaltenango,minor,71790.0,1320400081
Salamá,Salama,15.1,-90.2667,Guatemala,GT,GTM,Baja Verapaz,admin,71478.0,1320223205
Santa María La Pila,Santa Maria La Pila,15.6056,-89.8125,Guatemala,GT,GTM,Alta Verapaz,,70321.0,1320008740
Poptún,Poptun,16.322,-89.422,Guatemala,GT,GTM,Petén,minor,69437.0,1320738240
Chisec,Chisec,15.8125,-90.3217,Guatemala,GT,GTM,Alta Verapaz,minor,69325.0,1320378643
Puerto San José,Puerto San Jose,13.9333,-90.8167,Guatemala,GT,GTM,Escuintla,,68331.0,1320016478
San Pedro Ayampuc,San Pedro Ayampuc,14.7833,-90.45,Guatemala,GT,GTM,Guatemala,minor,67946.0,1320976684
Chicacao,Chicacao,14.5333,-91.3167,Guatemala,GT,GTM,Suchitepéquez,minor,67399.0,1320018206
Cuilco,Cuilco,15.4,-91.9667,Guatemala,GT,GTM,Huehuetenango,minor,67297.0,1320503377
Zacapa,Zacapa,14.9667,-89.5333,Guatemala,GT,GTM,Zacapa,admin,66423.0,1320977472
San Francisco El Alto,San Francisco El Alto,14.95,-91.45,Guatemala,GT,GTM,Totonicapán,minor,65521.0,1320250670
San Antonio Suchitepéquez,San Antonio Suchitepequez,14.5333,-91.4167,Guatemala,GT,GTM,Suchitepéquez,minor,65501.0,1320180712
Los Amates,Los Amates,15.2667,-89.1,Guatemala,GT,GTM,Izabal,minor,65475.0,1320690487
Purulhá,Purulha,15.2667,-90.2,Guatemala,GT,GTM,Baja Verapaz,minor,65340.0,1320914723
Chiquimulilla,Chiquimulilla,14.0833,-90.3833,Guatemala,GT,GTM,Santa Rosa,minor,64871.0,1320719368
Soloma,Soloma,15.7167,-91.45,Guatemala,GT,GTM,Huehuetenango,minor,64772.0,1320272967
