city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Port-au-Prince,Port-au-Prince,18.5333,-72.3333,Haiti,HT,HTI,Ouest,primary,987310.0,1332401940
Carrefour,Carrefour,18.5344,-72.4094,Haiti,HT,HTI,Ouest,,511345.0,1332000098
Pétion-Ville,Petion-Ville,18.5128,-72.2864,Haiti,HT,HTI,Ouest,,359615.0,1332051873
Gonaïves,Gonaives,19.4456,-72.6883,Haiti,HT,HTI,Artibonite,admin,324043.0,1332384588
Croix-des-Bouquets,Croix-des-Bouquets,18.5761,-72.2269,Haiti,HT,HTI,Ouest,,284812.0,1332000065
Delmas,Delmas,18.55,-72.3,Haiti,HT,HTI,Ouest,,284079.0,1332257532
Cap-Haïtien,Cap-Haitien,19.76,-72.2,Haiti,HT,HTI,Nord,admin,190289.0,1332333795
Petite Rivière de l’Artibonite,Petite Riviere de l'Artibonite,19.1333,-72.4833,Haiti,HT,HTI,Artibonite,,170740.0,1332451568
Saint-Marc,Saint-Marc,19.1167,-72.7,Haiti,HT,HTI,Artibonite,,160181.0,1332084366
Jean-Rabel,Jean-Rabel,19.85,-73.2,Haiti,HT,HTI,Nord-Ouest,,148416.0,1332096865
Jacmel,Jacmel,18.2353,-72.5367,Haiti,HT,HTI,Sud-Est,admin,137966.0,1332314393
Arcahaie,Arcahaie,18.7667,-72.5167,Haiti,HT,HTI,Ouest,,130306.0,1332347269
Tabarre,Tabarre,18.5833,-72.2667,Haiti,HT,HTI,Ouest,,130283.0,1332354236
Dessalines,Dessalines,19.2833,-72.5,Haiti,HT,HTI,Artibonite,,127529.0,1332184774
Port-de-Paix,Port-de-Paix,19.95,-72.8333,Haiti,HT,HTI,Nord-Ouest,admin,121220.0,1332536650
Aquin,Aquin,18.2833,-73.4,Haiti,HT,HTI,Sud,,104216.0,1332922439
Hinche,Hinche,19.15,-72.0167,Haiti,HT,HTI,Centre,admin,102745.0,1332748356
Saint-Michel de l’Atalaye,Saint-Michel de l'Atalaye,19.3667,-72.3333,Haiti,HT,HTI,Artibonite,,95216.0,1332572826
Léogâne,Leogane,18.5108,-72.6339,Haiti,HT,HTI,Ouest,,90000.0,1332045113
Les Cayes,Les Cayes,18.2,-73.75,Haiti,HT,HTI,Sud,admin,86780.0,1332587854
Ganthier,Ganthier,18.5333,-72.0667,Haiti,HT,HTI,Ouest,,71261.0,1332549888
Saint-Louis du Nord,Saint-Louis du Nord,19.9333,-72.7167,Haiti,HT,HTI,Nord-Ouest,,69592.0,1332427646
Limonade,Limonade,19.6667,-72.1167,Haiti,HT,HTI,Nord,,69256.0,1332450528
Limbé,Limbe,19.7056,-72.4147,Haiti,HT,HTI,Nord,,69256.0,1332168406
Torbeck,Torbeck,18.1667,-73.8167,Haiti,HT,HTI,Sud,,69189.0,1332470480
Anse à Galets,Anse a Galets,18.8333,-72.8667,Haiti,HT,HTI,Ouest,,62559.0,1332098898
Bainet,Bainet,18.1833,-72.75,Haiti,HT,HTI,Sud-Est,,62300.0,1332091731
Cabaret,Cabaret,18.7333,-72.4167,Haiti,HT,HTI,Ouest,,62063.0,1332584199
Belladère,Belladere,18.8667,-71.7667,Haiti,HT,HTI,Centre,,60239.0,1332473025
Saint-Louis du Sud,Saint-Louis du Sud,18.2667,-73.55,Haiti,HT,HTI,Sud,,59042.0,1332867263
Miragoâne,Miragoane,18.4458,-73.09,Haiti,HT,HTI,Nippes,admin,56864.0,1332665283
Acul du Nord,Acul du Nord,19.6833,-72.3167,Haiti,HT,HTI,Nord,,55908.0,1332452359
Cornillon,Cornillon,18.6667,-71.95,Haiti,HT,HTI,Ouest,,54254.0,1332866584
Thomazeau,Thomazeau,18.65,-72.1,Haiti,HT,HTI,Ouest,,52017.0,1332648470
Belle-Anse,Belle-Anse,18.2333,-72.0667,Haiti,HT,HTI,Sud-Est,,51707.0,1332150277
Cerca la Source,Cerca la Source,19.1667,-71.7833,Haiti,HT,HTI,Centre,,51410.0,1332542335
Marigot,Marigot,18.2333,-72.3167,Haiti,HT,HTI,Sud-Est,,50734.0,1332275185
Bas Limbé,Bas Limbe,19.8,-72.3833,Haiti,HT,HTI,Nord,,50456.0,1332588396
Plaisance,Plaisance,19.6,-72.4667,Haiti,HT,HTI,Nord,,50367.0,1332601700
Verrettes,Verrettes,19.05,-72.4667,Haiti,HT,HTI,Artibonite,,48724.0,1332111444
Boucan Carré,Boucan Carre,18.9667,-72.2,Haiti,HT,HTI,Centre,,48700.0,1332163231
Borgne,Borgne,19.85,-72.5333,Haiti,HT,HTI,Nord,,46886.0,1332215529
Cavaillon,Cavaillon,18.3,-73.65,Haiti,HT,HTI,Sud,,46037.0,1332637613
Camp Perrin,Camp Perrin,18.3167,-73.8667,Haiti,HT,HTI,Sud,,46000.0,1332737224
Casale,Casale,18.799,-72.3854,Haiti,HT,HTI,Ouest,,43943.0,1332190060
Anse Rouge,Anse Rouge,19.6333,-73.05,Haiti,HT,HTI,Artibonite,,43395.0,1332665513
Maïssade,Maissade,19.1667,-72.1333,Haiti,HT,HTI,Centre,,43138.0,1332767571
Thomassique,Thomassique,19.0833,-71.8333,Haiti,HT,HTI,Centre,,42557.0,1332374782
Pilate,Pilate,19.6667,-72.55,Haiti,HT,HTI,Nord,,40445.0,1332272986
