city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tehran,Tehran,35.6892,51.3889,Iran,IR,IRN,Tehrān,primary,14148000.0,1364305026
Mashhad,Mashhad,36.3264,59.5433,Iran,IR,IRN,Khorāsān-e Raẕavī,admin,3372090.0,1364123206
Khowrhesht,Khowrhesht,36.205,49.6872,Iran,IR,IRN,Qazvīn,,2500000.0,1364002070
Eşfahān,Esfahan,32.6447,51.6675,Iran,IR,IRN,Eşfahān,admin,2219343.0,1364023865
Karaj,Karaj,35.8272,50.9489,Iran,IR,IRN,Alborz,admin,1973470.0,1364258511
Shīrāz,Shiraz,29.61,52.5425,Iran,IR,IRN,Fārs,admin,1565572.0,1364432238
Tabrīz,Tabriz,38.0814,46.3006,Iran,IR,IRN,Āz̄arbāyjān-e Sharqī,admin,1558693.0,1364141756
Qom,Qom,34.64,50.8764,Iran,IR,IRN,Qom,admin,1201158.0,1364701633
Ahvāz,Ahvaz,31.3047,48.6783,Iran,IR,IRN,Khūzestān,admin,1184788.0,1364350188
Kermānshāh,Kermanshah,34.3325,47.0933,Iran,IR,IRN,Kermānshāh,admin,946651.0,1364535690
Kermān,Kerman,30.2911,57.0678,Iran,IR,IRN,Kermān,admin,738374.0,1364554896
Orūmīyeh,Orumiyeh,37.5439,45.0647,Iran,IR,IRN,Āz̄arbāyjān-e Gharbī,admin,736224.0,1364158221
Pīshbar,Pishbar,33.3886,59.9789,Iran,IR,IRN,Khorāsān-e Jonūbī,,720207.0,1364328516
Borvāyeh-ye Al Bū ‘Azīz,Borvayeh-ye Al Bu `Aziz,31.6283,48.6147,Iran,IR,IRN,Khūzestān,,690000.0,1364441069
Rasht,Rasht,37.2744,49.5889,Iran,IR,IRN,Gīlān,admin,679995.0,1364630382
Bahār,Bahar,34.9028,48.4425,Iran,IR,IRN,Hamadān,minor,673405.0,1364891653
Zāhedān,Zahedan,29.5025,60.8558,Iran,IR,IRN,Sīstān va Balūchestān,admin,587730.0,1364072353
Hamadān,Hamadan,34.8064,48.5161,Iran,IR,IRN,Hamadān,admin,554406.0,1364126377
Yazd,Yazd,31.8822,54.3397,Iran,IR,IRN,Yazd,admin,529673.0,1364429875
Ardabīl,Ardabil,38.2425,48.29,Iran,IR,IRN,Ardabīl,admin,529374.0,1364437616
Bandar ‘Abbās,Bandar `Abbas,27.1961,56.2878,Iran,IR,IRN,Hormozgān,admin,526648.0,1364120623
Arāk,Arak,34.0914,49.6933,Iran,IR,IRN,Markazī,admin,520944.0,1364624691
Eslāmshahr,Eslamshahr,35.5317,51.2247,Iran,IR,IRN,Tehrān,minor,448129.0,1364870126
Sanandaj,Sanandaj,35.3114,46.9961,Iran,IR,IRN,Kordestān,admin,412767.0,1364178783
Qazvīn,Qazvin,36.2894,50.0086,Iran,IR,IRN,Qazvīn,admin,402748.0,1364073420
Zanjān,Zanjan,36.6789,48.5056,Iran,IR,IRN,Zanjān,admin,386851.0,1364312712
Khorramābād,Khorramabad,33.4875,48.3561,Iran,IR,IRN,Lorestān,admin,373416.0,1364548806
Gorgān,Gorgan,36.8378,54.4414,Iran,IR,IRN,Golestān,admin,312223.0,1364802450
Shahrīār,Shahriar,35.6722,51.0236,Iran,IR,IRN,Tehrān,minor,309607.0,1364482289
Shahr-e Qods,Shahr-e Qods,35.7097,51.1119,Iran,IR,IRN,Tehrān,minor,309605.0,1364272235
Kāshān,Kashan,33.9825,51.4325,Iran,IR,IRN,Eşfahān,minor,304487.0,1364006067
Malārd,Malard,35.6806,50.9783,Iran,IR,IRN,Tehrān,minor,281027.0,1364376065
Sartā,Sarta,36.4491,53.3234,Iran,IR,IRN,Māzandarān,,271467.0,1364143380
Dezfūl,Dezful,32.3786,48.4144,Iran,IR,IRN,Khūzestān,minor,264709.0,1364663520
Bābol,Babol,36.5475,52.6783,Iran,IR,IRN,Māzandarān,minor,250217.0,1364476070
Bojnūrd,Bojnurd,37.4722,57.3289,Iran,IR,IRN,Khorāsān-e Shomālī,admin,250000.0,1364981174
Qā’em Shahr,Qa'em Shahr,36.4636,52.8581,Iran,IR,IRN,Māzandarān,,247953.0,1364170406
Khomeynī Shahr,Khomeyni Shahr,32.6803,51.5361,Iran,IR,IRN,Eşfahān,minor,247128.0,1364403465
Sabzevār,Sabzevar,36.2125,57.6764,Iran,IR,IRN,Khorāsān-e Raẕavī,minor,243700.0,1364379130
Āmol,Amol,36.4703,52.3467,Iran,IR,IRN,Māzandarān,minor,237528.0,1364107935
Pākdasht,Pakdasht,35.485,51.6794,Iran,IR,IRN,Tehrān,minor,236319.0,1364370088
Najafābād,Najafabad,32.6447,51.3603,Iran,IR,IRN,Eşfahān,minor,235281.0,1364053850
Borūjerd,Borujerd,33.9111,48.7522,Iran,IR,IRN,Lorestān,minor,234997.0,1364855573
Madan,Madan,30.3469,48.2825,Iran,IR,IRN,Khūzestān,,231476.0,1364708556
Qarchak,Qarchak,35.4267,51.5842,Iran,IR,IRN,Tehrān,minor,231075.0,1364173799
Varāmīn,Varamin,35.3508,51.6358,Iran,IR,IRN,Tehrān,minor,225628.0,1364275103
Bandar-e Būshehr,Bandar-e Bushehr,28.9264,50.8514,Iran,IR,IRN,Būshehr,admin,223504.0,1364483819
