city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Dublin,Dublin,53.35,-6.2603,Ireland,IE,IRL,Dublin,primary,1263219.0,1372595407
Finglas,Finglas,53.4597,-6.2181,Ireland,IE,IRL,Dublin,,330506.0,1372023005
Cork,Cork,51.8972,-8.47,Ireland,IE,IRL,Cork,admin,222333.0,1372221853
Galway,Galway,53.2719,-9.0489,Ireland,IE,IRL,Galway,admin,83456.0,1372499968
Tallaght,Tallaght,53.2886,-6.3572,Ireland,IE,IRL,South Dublin,admin,81022.0,1372547040
Limerick,Limerick,52.6653,-8.6238,Ireland,IE,IRL,Limerick,admin,58319.0,1372126011
Lucan,Lucan,53.3544,-6.4486,Ireland,IE,IRL,South Dublin,,57550.0,1372345130
Waterford,Waterford,52.2567,-7.1292,Ireland,IE,IRL,Waterford,admin,48369.0,1372267114
Clondalkin,Clondalkin,53.3203,-6.3947,Ireland,IE,IRL,South Dublin,,47938.0,1372645698
Dún Dealgan,Dun Dealgan,54.0044,-6.4003,Ireland,IE,IRL,Louth,admin,43112.0,1372735852
Drogheda,Drogheda,53.715,-6.3525,Ireland,IE,IRL,Louth,,40956.0,1372750233
Swords,Swords,53.4597,-6.2181,Ireland,IE,IRL,Fingal,admin,40776.0,1372755688
Navan,Navan,53.6528,-6.6814,Ireland,IE,IRL,Meath,,33886.0,1372720842
Blackrock,Blackrock,53.3015,-6.1778,Ireland,IE,IRL,Dún Laoghaire-Rathdown,,28557.0,1372203613
Ennis,Ennis,52.8463,-8.9807,Ireland,IE,IRL,Clare,admin,27923.0,1372255646
Douglas,Douglas,51.8764,-8.4358,Ireland,IE,IRL,Cork,,26883.0,1372287368
Tralee,Tralee,52.2675,-9.6962,Ireland,IE,IRL,Kerry,admin,26079.0,1372403494
Carlow,Carlow,52.8306,-6.9317,Ireland,IE,IRL,Carlow,admin,24272.0,1372096982
Dunleary,Dunleary,53.3,-6.14,Ireland,IE,IRL,Dún Laoghaire-Rathdown,admin,23857.0,1372038958
Port Laoise,Port Laoise,53.0308,-7.3008,Ireland,IE,IRL,Laois,admin,23494.0,1372726111
Rathfarnham,Rathfarnham,53.2988,-6.2854,Ireland,IE,IRL,South Dublin,,23276.0,1372740372
Baile Átha Luain,Baile Atha Luain,53.4236,-7.9425,Ireland,IE,IRL,Westmeath,,22869.0,1372885521
Ashtown,Ashtown,53.3754,-6.3326,Ireland,IE,IRL,Dublin,,22740.0,1372691515
Mullingar,Mullingar,53.5224,-7.3378,Ireland,IE,IRL,Westmeath,admin,22667.0,1372969205
Letterkenny,Letterkenny,54.9566,-7.7203,Ireland,IE,IRL,Donegal,,22549.0,1372452484
Kilkenny,Kilkenny,52.6477,-7.2561,Ireland,IE,IRL,Kilkenny,admin,22179.0,1372926521
