city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Almaty,Almaty,43.24,76.915,Kazakhstan,KZ,KAZ,Almaty,admin,1916822.0,1398351701
Shymkent,Shymkent,42.3167,69.5958,Kazakhstan,KZ,KAZ,Shymkent,admin,1184113.0,1398791401
Astana,Astana,51.1472,71.4222,Kazakhstan,KZ,KAZ,Nur-Sultan,primary,1078362.0,1398516045
Qaraghandy,Qaraghandy,49.8028,73.1056,Kazakhstan,KZ,KAZ,Qaraghandy,admin,497777.0,1398274508
Öskemen,Oskemen,49.9833,82.6167,Kazakhstan,KZ,KAZ,East Kazakhstan,admin,400142.0,1398371414
Aqtöbe,Aqtobe,50.2836,57.2297,Kazakhstan,KZ,KAZ,Aqtöbe,admin,387807.0,1398602716
Taraz,Taraz,42.9,71.3667,Kazakhstan,KZ,KAZ,Zhambyl,admin,357795.0,1398626276
Semey,Semey,50.4333,80.2667,Kazakhstan,KZ,KAZ,Abay,admin,350201.0,1398405657
Pavlodar,Pavlodar,52.3,76.95,Kazakhstan,KZ,KAZ,Pavlodar,admin,343091.0,1398790087
Türkistan,Turkistan,43.3019,68.2692,Kazakhstan,KZ,KAZ,Türkistan,admin,250000.0,1398398278
Qyzylorda,Qyzylorda,44.85,65.5167,Kazakhstan,KZ,KAZ,Qyzylorda,admin,242462.0,1398248334
Oral,Oral,51.2225,51.3725,Kazakhstan,KZ,KAZ,West Kazakhstan,admin,234184.0,1398593972
Qostanay,Qostanay,53.2,63.62,Kazakhstan,KZ,KAZ,Qostanay,admin,217135.0,1398455461
Petropavl,Petropavl,54.8833,69.1667,Kazakhstan,KZ,KAZ,North Kazakhstan,admin,201446.0,1398252858
Temirtaū,Temirtau,50.05,72.95,Kazakhstan,KZ,KAZ,Qaraghandy,minor,185082.0,1398081646
Aqtaū,Aqtau,43.6525,51.1575,Kazakhstan,KZ,KAZ,Mangghystaū,admin,183350.0,1398046759
Kökshetaū,Kokshetau,53.2833,69.3833,Kazakhstan,KZ,KAZ,Aqmola,admin,165153.0,1398375387
Ekibastuz,Ekibastuz,51.6667,75.3667,Kazakhstan,KZ,KAZ,Pavlodar,minor,159760.0,1398583266
Zhangaözen,Zhangaozen,43.3378,52.8553,Kazakhstan,KZ,KAZ,Mangghystaū,,147962.0,1398274968
Atyraū,Atyrau,47.1167,51.8833,Kazakhstan,KZ,KAZ,Atyraū,admin,130916.0,1398169063
Taldyqorghan,Taldyqorghan,45.0167,78.3667,Kazakhstan,KZ,KAZ,Zhetisū,admin,129960.0,1398112507
Rudnyy,Rudnyy,52.9667,63.1333,Kazakhstan,KZ,KAZ,Qostanay,minor,128200.0,1398701954
Zhezqazghan,Zhezqazghan,47.7833,67.7,Kazakhstan,KZ,KAZ,Ulytaū,admin,90661.0,1398121545
Kentaū,Kentau,43.5167,68.5167,Kazakhstan,KZ,KAZ,Türkistan,minor,81484.0,1398997742
Balqash,Balqash,46.8481,74.995,Kazakhstan,KZ,KAZ,Qaraghandy,minor,78002.0,1398134106
Aqsū,Aqsu,52.0333,76.9167,Kazakhstan,KZ,KAZ,Pavlodar,minor,69354.0,1398272761
Sätbayev,Satbayev,47.9,67.5333,Kazakhstan,KZ,KAZ,Ulytaū,minor,61883.0,1398506074
Kapchagay,Kapchagay,43.8833,77.0833,Kazakhstan,KZ,KAZ,Almaty,,61677.0,1398649394
Qaskeleng,Qaskeleng,43.2,76.62,Kazakhstan,KZ,KAZ,Almaty,minor,58418.0,1398296961
Ridder,Ridder,50.35,83.5167,Kazakhstan,KZ,KAZ,East Kazakhstan,minor,49695.0,1398556139
Zyryanovsk,Zyryanovsk,49.7453,84.2548,Kazakhstan,KZ,KAZ,East Kazakhstan,minor,49658.0,1398361284
Talghar,Talghar,43.3,77.2333,Kazakhstan,KZ,KAZ,Almaty,minor,47301.0,1398444969
Stepnogorsk,Stepnogorsk,52.3497,71.89,Kazakhstan,KZ,KAZ,Aqmola,minor,46712.0,1398766937
Shchūchīnsk,Shchuchinsk,52.9333,70.2,Kazakhstan,KZ,KAZ,Aqmola,minor,45004.0,1398291807
Qarabulaq,Qarabulaq,42.5167,69.8,Kazakhstan,KZ,KAZ,Türkistan,,45000.0,1398582036
Zharkent,Zharkent,44.1667,80.0,Kazakhstan,KZ,KAZ,Zhetisū,minor,42617.0,1398507500
Qapshaghay,Qapshaghay,43.8844,77.0687,Kazakhstan,KZ,KAZ,Almaty,admin,42167.0,1398594098
Soran,Soran,49.7833,72.85,Kazakhstan,KZ,KAZ,Qaraghandy,minor,42058.0,1398259748
Ayagöz,Ayagoz,47.9667,80.4333,Kazakhstan,KZ,KAZ,Abay,minor,41593.0,1398040009
Arys,Arys,42.4333,68.8,Kazakhstan,KZ,KAZ,Türkistan,minor,40707.0,1398483570
Beyneū,Beyneu,45.3247,55.1958,Kazakhstan,KZ,KAZ,Mangghystaū,minor,40344.0,1398590005
Baikonur,Baikonur,45.6167,63.3167,Kazakhstan,KZ,KAZ,Qyzylorda,,39161.0,1398535530
Saryaghash,Saryaghash,41.4667,69.1667,Kazakhstan,KZ,KAZ,Türkistan,,38848.0,1398900566
Shakhtīnsk,Shakhtinsk,49.71,72.5872,Kazakhstan,KZ,KAZ,Qaraghandy,minor,37899.0,1398239589
Qulsary,Qulsary,46.9833,54.0167,Kazakhstan,KZ,KAZ,Atyraū,minor,37103.0,1398141603
Esik,Esik,43.35,77.4667,Kazakhstan,KZ,KAZ,Almaty,minor,36715.0,1398166418
Zhetisay,Zhetisay,40.7753,68.3272,Kazakhstan,KZ,KAZ,Türkistan,minor,36494.0,1398994827
Shū,Shu,43.5983,73.7614,Kazakhstan,KZ,KAZ,Zhambyl,minor,35000.0,1398834769
Zhitiqara,Zhitiqara,52.1908,61.2011,Kazakhstan,KZ,KAZ,Qostanay,minor,34736.0,1398276170
Aksay,Aksay,51.1678,52.995,Kazakhstan,KZ,KAZ,West Kazakhstan,minor,32873.0,1398621920
Sayram,Sayram,42.3,69.7667,Kazakhstan,KZ,KAZ,Shymkent,,32757.0,1398493242
Shiyeli,Shiyeli,44.1789,66.7328,Kazakhstan,KZ,KAZ,Qyzylorda,minor,32480.0,1398206798
Staryy Beyneu,Staryy Beyneu,45.1834,55.1,Kazakhstan,KZ,KAZ,Mangghystaū,,32452.0,1398655445
Balyqshy,Balyqshy,47.0667,51.8667,Kazakhstan,KZ,KAZ,Atyraū,,31624.0,1398354265
Tekeli,Tekeli,44.83,78.8239,Kazakhstan,KZ,KAZ,Zhetisū,minor,30707.0,1398001451
Uzynaghash,Uzynaghash,43.2297,76.31,Kazakhstan,KZ,KAZ,Almaty,minor,30589.0,1398430039
Qarataū,Qaratau,43.1667,70.45,Kazakhstan,KZ,KAZ,Zhambyl,minor,30204.0,1398932329
Aral,Aral,46.7833,61.6667,Kazakhstan,KZ,KAZ,Qyzylorda,minor,29887.0,1398109811
Atbasar,Atbasar,51.8,68.3333,Kazakhstan,KZ,KAZ,Aqmola,minor,29733.0,1398900162
Oktyabr’sk,Oktyabr'sk,49.4556,57.4161,Kazakhstan,KZ,KAZ,Aqtöbe,minor,29169.0,1398394723
Sortöbe,Sortobe,42.86,75.23,Kazakhstan,KZ,KAZ,Zhambyl,,29000.0,1398173306
