city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Nairobi,Nairobi,-1.2864,36.8172,Kenya,KE,KEN,Nairobi City,primary,5545000.0,1404000661
Mombasa,Mombasa,-4.05,39.6667,Kenya,KE,KEN,Mombasa,admin,1208333.0,1404512373
Nakuru,Nakuru,-0.3,36.0667,Kenya,KE,KEN,Nakuru,admin,570674.0,1404140179
Eldoret,Eldoret,0.5167,35.2833,Kenya,KE,KEN,Uasin Gishu,admin,475716.0,1404676289
Kisumu,Kisumu,-0.0833,34.7667,Kenya,KE,KEN,Kisumu,admin,409928.0,1404511920
Kikuyu,Kikuyu,-1.25,36.6667,Kenya,KE,KEN,Kiambu,,323881.0,1404116834
Lunga-Lunga,Lunga-Lunga,-4.555,39.1231,Kenya,KE,KEN,Kwale,,198423.0,1404110872
Habaswein,Habaswein,1.01,39.49,Kenya,KE,KEN,Wajir,,174134.0,1404012344
Ongata Rongai,Ongata Rongai,-1.4,36.77,Kenya,KE,KEN,Kajiado,,172570.0,1404422353
Garissa,Garissa,-0.4569,39.6583,Kenya,KE,KEN,Garissa,admin,163399.0,1404464692
Molo,Molo,-0.25,35.7333,Kenya,KE,KEN,Nakuru,,156732.0,1404340216
Kitenkela,Kitenkela,-1.5167,36.85,Kenya,KE,KEN,Kajiado,,154436.0,1404000624
Kiambu,Kiambu,-1.1667,36.8167,Kenya,KE,KEN,Kiambu,admin,147870.0,1404390868
Ramu,Ramu,3.9375,41.2203,Kenya,KE,KEN,Mandera,,143850.0,1404221019
Kilifi,Kilifi,-3.6333,39.85,Kenya,KE,KEN,Kilifi,,122899.0,1404002930
Malindi,Malindi,-3.2236,40.13,Kenya,KE,KEN,Kilifi,,119859.0,1404380224
Vihiga,Vihiga,0.05,34.725,Kenya,KE,KEN,Vihiga,,118696.0,1404002123
Machakos,Machakos,-1.5167,37.2667,Kenya,KE,KEN,Machakos,admin,114109.0,1404746781
Kisii,Kisii,-0.6833,34.7667,Kenya,KE,KEN,Kisii,admin,112417.0,1404617601
Ngong,Ngong,-1.3667,36.6333,Kenya,KE,KEN,Kajiado,,102323.0,1404947852
Mumias,Mumias,0.3333,34.4833,Kenya,KE,KEN,Kakamega,,99987.0,1404232773
Thika,Thika,-1.0396,37.09,Kenya,KE,KEN,Kiambu,,99322.0,1404482650
Nyeri,Nyeri,-0.4167,36.95,Kenya,KE,KEN,Nyeri,admin,98908.0,1404924901
Kakamega,Kakamega,0.2822,34.754,Kenya,KE,KEN,Kakamega,admin,91778.0,1404614327
Kendu Bay,Kendu Bay,-0.3596,34.64,Kenya,KE,KEN,Homa Bay,,91248.0,1404600696
