city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Seoul,Seoul,37.56,126.99,"Korea, South",KR,KOR,Seoul,primary,23016000.0,1410836482
Busan,Busan,35.18,129.075,"Korea, South",KR,KOR,Busan,admin,3453198.0,1410601465
Incheon,Incheon,37.4833,126.6333,"Korea, South",KR,KOR,Incheon,admin,2936117.0,1410160313
Daegu,Daegu,35.8717,128.6017,"Korea, South",KR,KOR,Daegu,admin,2376044.0,1410095252
Gwangju,Gwangju,35.1653,126.8486,"Korea, South",KR,KOR,Gwangju,admin,1490092.0,1410000087
Daejeon,Daejeon,36.35,127.385,"Korea, South",KR,KOR,Daejeon,admin,1475221.0,1410993875
Suwon,Suwon,37.2667,127.0167,"Korea, South",KR,KOR,Gyeonggi,admin,1234300.0,1410679777
Ulsan,Ulsan,35.55,129.3167,"Korea, South",KR,KOR,Ulsan,admin,1150116.0,1410134602
Tongjin,Tongjin,37.2333,127.2,"Korea, South",KR,KOR,Gyeonggi,,1076369.0,1410160862
Goyang,Goyang,37.65,126.8,"Korea, South",KR,KOR,Gyeonggi,minor,1061929.0,1410511255
Changwon,Changwon,35.2708,128.6631,"Korea, South",KR,KOR,Gyeongnam,admin,1009998.0,1410592618
Hwasu-dong,Hwasu-dong,37.1997,126.8314,"Korea, South",KR,KOR,Gyeonggi,,941489.0,1410037247
Sŏngnam,Songnam,37.4333,127.15,"Korea, South",KR,KOR,Gyeonggi,,918771.0,1410622472
Cheongju,Cheongju,36.6333,127.4833,"Korea, South",KR,KOR,Chungbuk,admin,852018.0,1410964361
Bucheon,Bucheon,37.5,126.7833,"Korea, South",KR,KOR,Gyeonggi,minor,781119.0,1410428222
Yanggok,Yanggok,37.6333,127.2167,"Korea, South",KR,KOR,Gyeonggi,,732376.0,1410188674
Ansan,Ansan,37.3167,126.8333,"Korea, South",KR,KOR,Gyeonggi,,652800.0,1410585171
Ch’ŏnan,Ch'onan,36.81,127.1475,"Korea, South",KR,KOR,Chungnam,,651661.0,1410020455
Kimhae,Kimhae,35.2342,128.8811,"Korea, South",KR,KOR,Gyeongnam,,550758.0,1410836094
Anyang,Anyang,37.3833,126.9333,"Korea, South",KR,KOR,Gyeonggi,,548372.0,1410581095
Pohang,Pohang,36.0322,129.365,"Korea, South",KR,KOR,Gyeongbuk,minor,503780.0,1410983252
Pyeongtaek,Pyeongtaek,36.9922,127.1128,"Korea, South",KR,KOR,Gyeonggi,,457873.0,1410641095
Jeju,Jeju,33.513,126.523,"Korea, South",KR,KOR,Jeju,admin,435413.0,1410364424
Sihŭng,Sihung,37.3799,126.8029,"Korea, South",KR,KOR,Gyeonggi,,425184.0,1410313432
Uijeongbu,Uijeongbu,37.7486,127.0389,"Korea, South",KR,KOR,Gyeonggi,,421579.0,1410888678
Paju,Paju,37.8667,126.8,"Korea, South",KR,KOR,Gyeonggi,minor,415345.0,1410365324
Kumi,Kumi,36.1195,128.3444,"Korea, South",KR,KOR,Gyeongbuk,,407880.0,1410638233
Gimpo,Gimpo,37.7,126.6,"Korea, South",KR,KOR,Gyeonggi,minor,352683.0,1410797548
Jeonju,Jeonju,35.8167,127.15,"Korea, South",KR,KOR,Jeonbuk,admin,341545.0,1410494847
Chinju,Chinju,35.2,128.0833,"Korea, South",KR,KOR,Gyeongnam,,337230.0,1410560599
Asan,Asan,36.7833,126.9833,"Korea, South",KR,KOR,Chungnam,,332790.0,1410521090
Wŏnju,Wonju,37.3417,127.9208,"Korea, South",KR,KOR,Gangwon,,330854.0,1410782685
Asan,Asan,36.35,126.9167,"Korea, South",KR,KOR,Chungnam,,319929.0,1410904940
Gwangmyeongni,Gwangmyeongni,37.476,126.866,"Korea, South",KR,KOR,Gyeonggi,,318021.0,1410103113
Gwangju,Gwangju,37.3667,127.2833,"Korea, South",KR,KOR,Gyeonggi,,310278.0,1410978753
Yangsan,Yangsan,35.3333,129.0333,"Korea, South",KR,KOR,Gyeongnam,minor,297532.0,1410795549
Chuncheon,Chuncheon,37.8667,127.7333,"Korea, South",KR,KOR,Gangwon,admin,281596.0,1410231130
Gyeongsan,Gyeongsan,35.8167,128.7333,"Korea, South",KR,KOR,Gyeongbuk,,278500.0,1410545168
Kunsan,Kunsan,35.9833,126.7167,"Korea, South",KR,KOR,Jeonbuk,,275155.0,1410913202
Yeosu,Yeosu,34.7333,127.7333,"Korea, South",KR,KOR,Jeonnam,minor,274917.0,1410002025
Yeosu,Yeosu,34.7607,127.6622,"Korea, South",KR,KOR,Jeonnam,minor,273761.0,1410698161
Iksan,Iksan,35.9439,126.9544,"Korea, South",KR,KOR,Jeonbuk,,270758.0,1410134391
Kunp’o,Kunp'o,37.35,126.95,"Korea, South",KR,KOR,Gyeonggi,,270443.0,1410672540
Suncheon,Suncheon,34.9506,127.4875,"Korea, South",KR,KOR,Jeonnam,minor,265390.0,1410109654
Kyŏngju,Kyongju,35.85,129.2167,"Korea, South",KR,KOR,Gyeongbuk,,248244.0,1410173146
Mokpo,Mokpo,34.7589,126.38,"Korea, South",KR,KOR,Jeonnam,minor,214534.0,1410279439
Osan,Osan,37.1498,127.0771,"Korea, South",KR,KOR,Gyeonggi,,213840.0,1410606985
Gangneung,Gangneung,37.75,128.9,"Korea, South",KR,KOR,Gangwon,minor,210456.0,1410450550
Ich’ŏn,Ich'on,37.2667,127.4333,"Korea, South",KR,KOR,Gyeonggi,,209003.0,1410736435
Chungju,Chungju,36.9667,127.95,"Korea, South",KR,KOR,Chungbuk,,207839.0,1410333057
Sejong,Sejong,36.487,127.2822,"Korea, South",KR,KOR,Sejong,admin,204088.0,1410002592
Anseong,Anseong,37.0078,127.2797,"Korea, South",KR,KOR,Gyeonggi,,194765.0,1410960903
Guri,Guri,37.6,127.15,"Korea, South",KR,KOR,Gyeonggi,,180063.0,1410478813
Masan,Masan,35.1833,128.55,"Korea, South",KR,KOR,Gyeongnam,,179266.0,1410394650
Sŏsan,Sosan,36.7817,126.4522,"Korea, South",KR,KOR,Chungnam,,169221.0,1410171679
Pocheon,Pocheon,37.8947,127.2002,"Korea, South",KR,KOR,Gyeonggi,minor,163388.0,1410780187
Ŭiwang,Uiwang,37.3448,126.9683,"Korea, South",KR,KOR,Gyeonggi,,154879.0,1410211816
Hanam,Hanam,37.5167,127.2,"Korea, South",KR,KOR,Gyeonggi,,154838.0,1410241338
Seogwipo,Seogwipo,33.2497,126.56,"Korea, South",KR,KOR,Jeju,,153861.0,1410542763
Andong,Andong,36.5592,128.7289,"Korea, South",KR,KOR,Gyeongbuk,admin,153306.0,1410095935
Gwangyang,Gwangyang,34.9333,127.6833,"Korea, South",KR,KOR,Jeonnam,minor,152160.0,1410398748
Jicheon,Jicheon,36.1333,128.1,"Korea, South",KR,KOR,Gyeongbuk,,139477.0,1410269252
Chech’ŏn,Chech'on,37.1333,128.2167,"Korea, South",KR,KOR,Chungbuk,,136350.0,1410470747
Noksan,Noksan,36.2039,127.0847,"Korea, South",KR,KOR,Chungnam,,124246.0,1410179693
Ch’ungmu,Ch'ungmu,34.8333,128.4167,"Korea, South",KR,KOR,Gyeongnam,,121020.0,1410257662
Tangjin,Tangjin,36.8931,126.6281,"Korea, South",KR,KOR,Chungnam,,117409.0,1410304730
Sach’on,Sach'on,35.0,128.15,"Korea, South",KR,KOR,Gyeongnam,,114556.0,1410555312
Yŏju,Yoju,37.3,127.6333,"Korea, South",KR,KOR,Gyeonggi,,114253.0,1410007012
Sa-ch’on,Sa-ch'on,35.0667,128.0833,"Korea, South",KR,KOR,Gyeongnam,,113335.0,1410369367
Hosan,Hosan,36.2,127.0833,"Korea, South",KR,KOR,Chungnam,,112939.0,1410009966
Jeonghae,Jeonghae,35.5667,126.85,"Korea, South",KR,KOR,Jeonbuk,,110194.0,1410005963
Yŏngju,Yongju,36.8058,128.6239,"Korea, South",KR,KOR,Gyeongbuk,,109266.0,1410990908
Miryang,Miryang,35.5,128.75,"Korea, South",KR,KOR,Gyeongnam,,103069.0,1410001039
Sangju,Sangju,36.44,128.17,"Korea, South",KR,KOR,Gyeongbuk,,102892.0,1410127055
Boryeong,Boryeong,36.3333,126.6167,"Korea, South",KR,KOR,Chungnam,minor,101852.0,1410204364
Dongducheon,Dongducheon,37.9167,127.0667,"Korea, South",KR,KOR,Gyeonggi,,97424.0,1410519938
Naju,Naju,35.0333,126.7167,"Korea, South",KR,KOR,Jeonnam,minor,92582.0,1410651571
Tonghae,Tonghae,37.5248,129.1143,"Korea, South",KR,KOR,Gangwon,,89421.0,1410110371
Kimje,Kimje,35.8017,126.8889,"Korea, South",KR,KOR,Jeonbuk,,88479.0,1410051393
Sokcho,Sokcho,38.2069,128.5919,"Korea, South",KR,KOR,Gangwon,minor,79846.0,1410921315
Mun’gyŏng,Mun'gyong,36.5939,128.2014,"Korea, South",KR,KOR,Gyeongbuk,,71863.0,1410822576
Samch’ŏk,Samch'ok,37.45,129.165,"Korea, South",KR,KOR,Gangwon,,69509.0,1410438648
Pongnam,Pongnam,37.22,126.9494,"Korea, South",KR,KOR,Gyeonggi,,67694.0,1410174724
Gwacheon,Gwacheon,37.4333,127.0,"Korea, South",KR,KOR,Gyeonggi,,64817.0,1410788896
Haeryong,Haeryong,34.9131,127.5394,"Korea, South",KR,KOR,Jeonnam,minor,46994.0,1410002389
Taebaek,Taebaek,37.1667,128.9833,"Korea, South",KR,KOR,Gangwon,,46715.0,1410565787
Jeomchon,Jeomchon,36.6028,127.3042,"Korea, South",KR,KOR,Chungbuk,,46452.0,1410262248
Yeonil,Yeonil,36.0,129.35,"Korea, South",KR,KOR,Gyeongbuk,,34560.0,1410520135
Heunghae,Heunghae,36.1167,129.35,"Korea, South",KR,KOR,Gyeongbuk,minor,34328.0,1410289558
An’gang,An'gang,35.99,129.227,"Korea, South",KR,KOR,Gyeongbuk,,33333.0,1410507369
Munsan,Munsan,37.8529,126.7848,"Korea, South",KR,KOR,Gyeonggi,,28880.0,1410851571
Eonyang,Eonyang,35.5667,129.1167,"Korea, South",KR,KOR,Ulsan,,28217.0,1410589863
Hayang,Hayang,35.9167,128.8167,"Korea, South",KR,KOR,Gyeongbuk,,27236.0,1410183086
Hallim,Hallim,33.3729,126.2827,"Korea, South",KR,KOR,Jeju,,22087.0,1410693280
Kujwa,Kujwa,33.5025,126.7944,"Korea, South",KR,KOR,Jeju,,16116.0,1410125260
Ulchin,Ulchin,37.002,129.4003,"Korea, South",KR,KOR,Gyeongbuk,,14426.0,1410704555
Daean,Daean,35.4038,129.2788,"Korea, South",KR,KOR,Ulsan,,14037.0,1410996164
Eumseong,Eumseong,36.9353,127.6897,"Korea, South",KR,KOR,Chungbuk,,10077.0,1410812829
Sapkyo,Sapkyo,36.6864,126.7367,"Korea, South",KR,KOR,Chungnam,,10075.0,1410000740
P’yŏngch’ang,P'yongch'ang,37.3675,128.3958,"Korea, South",KR,KOR,Gangwon,,9940.0,1410797147
Guryongpo,Guryongpo,35.9833,129.55,"Korea, South",KR,KOR,Gyeongbuk,minor,9099.0,1410226868
Seosaeng,Seosaeng,35.3536,129.3303,"Korea, South",KR,KOR,Ulsan,,8650.0,1410000467
Muan,Muan,34.9897,126.4714,"Korea, South",KR,KOR,Jeonnam,admin,,1410001061
Hongseong,Hongseong,36.6009,126.665,"Korea, South",KR,KOR,Chungnam,admin,,1410822139
Seoul,Seoul,37.56,126.99,"Korea, South",KR,KOR,Seoul,primary,23016000.0,1410836482
Busan,Busan,35.18,129.075,"Korea, South",KR,KOR,Busan,admin,3453198.0,1410601465
Incheon,Incheon,37.4833,126.6333,"Korea, South",KR,KOR,Incheon,admin,2936117.0,1410160313
Daegu,Daegu,35.8717,128.6017,"Korea, South",KR,KOR,Daegu,admin,2376044.0,1410095252
Gwangju,Gwangju,35.1653,126.8486,"Korea, South",KR,KOR,Gwangju,admin,1490092.0,1410000087
Daejeon,Daejeon,36.35,127.385,"Korea, South",KR,KOR,Daejeon,admin,1475221.0,1410993875
Suwon,Suwon,37.2667,127.0167,"Korea, South",KR,KOR,Gyeonggi,admin,1234300.0,1410679777
Ulsan,Ulsan,35.55,129.3167,"Korea, South",KR,KOR,Ulsan,admin,1150116.0,1410134602
Tongjin,Tongjin,37.2333,127.2,"Korea, South",KR,KOR,Gyeonggi,,1076369.0,1410160862
Goyang,Goyang,37.65,126.8,"Korea, South",KR,KOR,Gyeonggi,minor,1061929.0,1410511255
Changwon,Changwon,35.2708,128.6631,"Korea, South",KR,KOR,Gyeongnam,admin,1009998.0,1410592618
Hwasu-dong,Hwasu-dong,37.1997,126.8314,"Korea, South",KR,KOR,Gyeonggi,,941489.0,1410037247
Sŏngnam,Songnam,37.4333,127.15,"Korea, South",KR,KOR,Gyeonggi,,918771.0,1410622472
Cheongju,Cheongju,36.6333,127.4833,"Korea, South",KR,KOR,Chungbuk,admin,852018.0,1410964361
Bucheon,Bucheon,37.5,126.7833,"Korea, South",KR,KOR,Gyeonggi,minor,781119.0,1410428222
Yanggok,Yanggok,37.6333,127.2167,"Korea, South",KR,KOR,Gyeonggi,,732376.0,1410188674
Ansan,Ansan,37.3167,126.8333,"Korea, South",KR,KOR,Gyeonggi,,652800.0,1410585171
Ch’ŏnan,Ch'onan,36.81,127.1475,"Korea, South",KR,KOR,Chungnam,,651661.0,1410020455
Kimhae,Kimhae,35.2342,128.8811,"Korea, South",KR,KOR,Gyeongnam,,550758.0,1410836094
Anyang,Anyang,37.3833,126.9333,"Korea, South",KR,KOR,Gyeonggi,,548372.0,1410581095
Pohang,Pohang,36.0322,129.365,"Korea, South",KR,KOR,Gyeongbuk,minor,503780.0,1410983252
Pyeongtaek,Pyeongtaek,36.9922,127.1128,"Korea, South",KR,KOR,Gyeonggi,,457873.0,1410641095
Jeju,Jeju,33.513,126.523,"Korea, South",KR,KOR,Jeju,admin,435413.0,1410364424
Sihŭng,Sihung,37.3799,126.8029,"Korea, South",KR,KOR,Gyeonggi,,425184.0,1410313432
Uijeongbu,Uijeongbu,37.7486,127.0389,"Korea, South",KR,KOR,Gyeonggi,,421579.0,1410888678
Paju,Paju,37.8667,126.8,"Korea, South",KR,KOR,Gyeonggi,minor,415345.0,1410365324
Kumi,Kumi,36.1195,128.3444,"Korea, South",KR,KOR,Gyeongbuk,,407880.0,1410638233
Gimpo,Gimpo,37.7,126.6,"Korea, South",KR,KOR,Gyeonggi,minor,352683.0,1410797548
Jeonju,Jeonju,35.8167,127.15,"Korea, South",KR,KOR,Jeonbuk,admin,341545.0,1410494847
Chinju,Chinju,35.2,128.0833,"Korea, South",KR,KOR,Gyeongnam,,337230.0,1410560599
Asan,Asan,36.7833,126.9833,"Korea, South",KR,KOR,Chungnam,,332790.0,1410521090
Wŏnju,Wonju,37.3417,127.9208,"Korea, South",KR,KOR,Gangwon,,330854.0,1410782685
Asan,Asan,36.35,126.9167,"Korea, South",KR,KOR,Chungnam,,319929.0,1410904940
Gwangmyeongni,Gwangmyeongni,37.476,126.866,"Korea, South",KR,KOR,Gyeonggi,,318021.0,1410103113
Gwangju,Gwangju,37.3667,127.2833,"Korea, South",KR,KOR,Gyeonggi,,310278.0,1410978753
Yangsan,Yangsan,35.3333,129.0333,"Korea, South",KR,KOR,Gyeongnam,minor,297532.0,1410795549
Chuncheon,Chuncheon,37.8667,127.7333,"Korea, South",KR,KOR,Gangwon,admin,281596.0,1410231130
Gyeongsan,Gyeongsan,35.8167,128.7333,"Korea, South",KR,KOR,Gyeongbuk,,278500.0,1410545168
Kunsan,Kunsan,35.9833,126.7167,"Korea, South",KR,KOR,Jeonbuk,,275155.0,1410913202
Yeosu,Yeosu,34.7333,127.7333,"Korea, South",KR,KOR,Jeonnam,minor,274917.0,1410002025
Yeosu,Yeosu,34.7607,127.6622,"Korea, South",KR,KOR,Jeonnam,minor,273761.0,1410698161
Iksan,Iksan,35.9439,126.9544,"Korea, South",KR,KOR,Jeonbuk,,270758.0,1410134391
Kunp’o,Kunp'o,37.35,126.95,"Korea, South",KR,KOR,Gyeonggi,,270443.0,1410672540
Suncheon,Suncheon,34.9506,127.4875,"Korea, South",KR,KOR,Jeonnam,minor,265390.0,1410109654
Kyŏngju,Kyongju,35.85,129.2167,"Korea, South",KR,KOR,Gyeongbuk,,248244.0,1410173146
Mokpo,Mokpo,34.7589,126.38,"Korea, South",KR,KOR,Jeonnam,minor,214534.0,1410279439
Osan,Osan,37.1498,127.0771,"Korea, South",KR,KOR,Gyeonggi,,213840.0,1410606985
Gangneung,Gangneung,37.75,128.9,"Korea, South",KR,KOR,Gangwon,minor,210456.0,1410450550
Ich’ŏn,Ich'on,37.2667,127.4333,"Korea, South",KR,KOR,Gyeonggi,,209003.0,1410736435
Chungju,Chungju,36.9667,127.95,"Korea, South",KR,KOR,Chungbuk,,207839.0,1410333057
Sejong,Sejong,36.487,127.2822,"Korea, South",KR,KOR,Sejong,admin,204088.0,1410002592
Anseong,Anseong,37.0078,127.2797,"Korea, South",KR,KOR,Gyeonggi,,194765.0,1410960903
Guri,Guri,37.6,127.15,"Korea, South",KR,KOR,Gyeonggi,,180063.0,1410478813
Masan,Masan,35.1833,128.55,"Korea, South",KR,KOR,Gyeongnam,,179266.0,1410394650
Sŏsan,Sosan,36.7817,126.4522,"Korea, South",KR,KOR,Chungnam,,169221.0,1410171679
Pocheon,Pocheon,37.8947,127.2002,"Korea, South",KR,KOR,Gyeonggi,minor,163388.0,1410780187
Ŭiwang,Uiwang,37.3448,126.9683,"Korea, South",KR,KOR,Gyeonggi,,154879.0,1410211816
Hanam,Hanam,37.5167,127.2,"Korea, South",KR,KOR,Gyeonggi,,154838.0,1410241338
Seogwipo,Seogwipo,33.2497,126.56,"Korea, South",KR,KOR,Jeju,,153861.0,1410542763
Andong,Andong,36.5592,128.7289,"Korea, South",KR,KOR,Gyeongbuk,admin,153306.0,1410095935
