city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Kuwait City,Kuwait City,29.3697,47.9783,Kuwait,KW,KWT,Al ‘Āşimah,primary,3000000.0,1414102075
Al Jahrā’,Al Jahra',29.35,47.6833,Kuwait,KW,KWT,Al Jahrā’,,393432.0,1414182001
Abū Ḩulayfah,Abu Hulayfah,29.1322,48.1261,Kuwait,KW,KWT,Al Aḩmadī,,164212.0,1414456826
Al Aḩmadī,Al Ahmadi,29.0769,48.0838,Kuwait,KW,KWT,Al Aḩmadī,,68763.0,1414024487
Ar Riqqah,Ar Riqqah,29.1489,48.1057,Kuwait,KW,KWT,Al Aḩmadī,,56554.0,1414927245
Kuwait City,Kuwait City,29.3697,47.9783,Kuwait,KW,KWT,Al ‘Āşimah,primary,3000000.0,1414102075
Al Jahrā’,Al Jahra',29.35,47.6833,Kuwait,KW,KWT,Al Jahrā’,,393432.0,1414182001
Abū Ḩulayfah,Abu Hulayfah,29.1322,48.1261,Kuwait,KW,KWT,Al Aḩmadī,,164212.0,1414456826
Al Aḩmadī,Al Ahmadi,29.0769,48.0838,Kuwait,KW,KWT,Al Aḩmadī,,68763.0,1414024487
Ar Riqqah,Ar Riqqah,29.1489,48.1057,Kuwait,KW,KWT,Al Aḩmadī,,56554.0,1414927245
