city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bishkek,Bishkek,42.8747,74.6122,Kyrgyzstan,KG,KGZ,Bishkek,primary,1120827.0,1417191971
Osh,Osh,40.53,72.8,Kyrgyzstan,KG,KGZ,Osh,admin,353080.0,1417797596
Jalal-Abad,Jalal-Abad,40.9333,73.0,Kyrgyzstan,KG,KGZ,Jalal-Abad,admin,89004.0,1417653652
Karakol,Karakol,42.4903,78.3917,Kyrgyzstan,KG,KGZ,Ysyk-Köl,admin,85588.0,1417269527
Tokmok,Tokmok,42.8333,75.2833,Kyrgyzstan,KG,KGZ,Chüy,,53231.0,1417875875
Kyzyl-Kyya,Kyzyl-Kyya,40.2611,72.1306,Kyrgyzstan,KG,KGZ,Batken,,51300.0,1417902733
Özgön,Ozgon,40.7667,73.3,Kyrgyzstan,KG,KGZ,Osh,,49410.0,1417087485
Kara-Balta,Kara-Balta,42.8333,73.85,Kyrgyzstan,KG,KGZ,Chüy,minor,48278.0,1417201811
Balykchy,Balykchy,42.4611,76.1803,Kyrgyzstan,KG,KGZ,Ysyk-Köl,,42380.0,1417967917
Bazar-Korgon,Bazar-Korgon,41.0417,72.7472,Kyrgyzstan,KG,KGZ,Jalal-Abad,minor,41011.0,1417672814
Talas,Talas,42.5167,72.2333,Kyrgyzstan,KG,KGZ,Talas,admin,40308.0,1417698287
Naryn,Naryn,41.4333,76.0,Kyrgyzstan,KG,KGZ,Naryn,admin,34822.0,1417466970
Isfana,Isfana,39.8372,69.5333,Kyrgyzstan,KG,KGZ,Batken,minor,34219.0,1417781894
Aravan,Aravan,40.515,72.4992,Kyrgyzstan,KG,KGZ,Osh,minor,32917.0,1417417400
Sokuluk,Sokuluk,42.86,74.3,Kyrgyzstan,KG,KGZ,Chüy,minor,30540.0,1417050744
Suzak,Suzak,40.8981,72.9047,Kyrgyzstan,KG,KGZ,Jalal-Abad,minor,30534.0,1417055245
Batken,Batken,40.0667,70.8167,Kyrgyzstan,KG,KGZ,Batken,admin,27730.0,1417022726
Iradan,Iradan,40.26,72.1,Kyrgyzstan,KG,KGZ,Batken,,26200.0,1417514470
Novopokrovka,Novopokrovka,42.8708,74.7508,Kyrgyzstan,KG,KGZ,Chüy,,21619.0,1417819015
Kant,Kant,42.8833,74.85,Kyrgyzstan,KG,KGZ,Chüy,minor,21400.0,1417254104
Belovodskoe,Belovodskoe,42.83,74.1,Kyrgyzstan,KG,KGZ,Chüy,minor,21275.0,1417996342
Shark,Shark,40.5569,72.8264,Kyrgyzstan,KG,KGZ,Osh,,21120.0,1417396850
Jangy-Nookat,Jangy-Nookat,40.25,72.55,Kyrgyzstan,KG,KGZ,Osh,,21049.0,1417565816
Kara-Suu,Kara-Suu,40.7,72.8833,Kyrgyzstan,KG,KGZ,Osh,minor,20862.0,1417321617
Lebedinovka,Lebedinovka,42.88,74.68,Kyrgyzstan,KG,KGZ,Chüy,minor,20709.0,1417855889
Toktogul,Toktogul,41.8722,72.9389,Kyrgyzstan,KG,KGZ,Jalal-Abad,minor,20577.0,1417791878
Kurshab,Kurshab,40.6917,73.1889,Kyrgyzstan,KG,KGZ,Osh,,20471.0,1417161123
Kashkar-Kyshtak,Kashkar-Kyshtak,40.62,72.83,Kyrgyzstan,KG,KGZ,Osh,,20334.0,1417542891
Mayluu-Suu,Mayluu-Suu,41.2457,72.448,Kyrgyzstan,KG,KGZ,Jalal-Abad,,20200.0,1417039122
Voyenno-Antonovka,Voyenno-Antonovka,42.8722,74.45,Kyrgyzstan,KG,KGZ,Chüy,,20182.0,1417044107
Massy,Massy,41.0608,72.6328,Kyrgyzstan,KG,KGZ,Jalal-Abad,minor,19774.0,1417666567
Tash-Kömür,Tash-Komur,41.35,72.2167,Kyrgyzstan,KG,KGZ,Jalal-Abad,,19310.0,1417242124
Kara-Köl,Kara-Kol,41.6311,72.6686,Kyrgyzstan,KG,KGZ,Jalal-Abad,,18843.0,1417090900
Novopavlovka,Novopavlovka,42.87,74.48,Kyrgyzstan,KG,KGZ,Chüy,,18332.0,1417769741
Eski-Nookat,Eski-Nookat,40.2658,72.6181,Kyrgyzstan,KG,KGZ,Osh,minor,18228.0,1417348189
Ivanovka,Ivanovka,42.8864,75.0822,Kyrgyzstan,KG,KGZ,Chüy,minor,17513.0,1417486254
Myrza-Ake,Myrza-Ake,40.75,73.41,Kyrgyzstan,KG,KGZ,Osh,,16011.0,1417504242
Kara-Kulja,Kara-Kulja,40.6333,73.5925,Kyrgyzstan,KG,KGZ,Osh,minor,15616.0,1417892733
