city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Riga,Riga,56.9489,24.1064,Latvia,LV,LVA,Rīga,primary,920643.0,1428586192
Daugavpils,Daugavpils,55.875,26.5356,Latvia,LV,LVA,Augšdaugava,admin,78850.0,1428924928
Liepāja,Liepaja,56.5117,21.0139,Latvia,LV,LVA,Liepāja,admin,67088.0,1428511842
Jelgava,Jelgava,56.6483,23.7139,Latvia,LV,LVA,Jelgava,admin,54836.0,1428370571
Jūrmala,Jurmala,56.9681,23.7703,Latvia,LV,LVA,Jūrmala,admin,51158.0,1428952300
Ventspils,Ventspils,57.3906,21.5733,Latvia,LV,LVA,Ventspils,admin,32948.0,1428112098
Rēzekne,Rezekne,56.5127,27.3427,Latvia,LV,LVA,Rēzekne,admin,26378.0,1428895373
Ogre,Ogre,56.8186,24.6056,Latvia,LV,LVA,Ogre,admin,22884.0,1428832851
Valmiera,Valmiera,57.55,25.4,Latvia,LV,LVA,Valmiera,admin,22585.0,1428524787
Jēkabpils,Jekabpils,56.4994,25.8783,Latvia,LV,LVA,Jēkabpils,admin,21436.0,1428885452
Salaspils,Salaspils,56.8667,24.35,Latvia,LV,LVA,Salaspils,admin,17794.0,1428270898
Tukums,Tukums,56.9667,23.15,Latvia,LV,LVA,Tukums,admin,16597.0,1428304262
Mārupe,Marupe,56.9069,24.0583,Latvia,LV,LVA,Mārupe,admin,16051.0,1428162714
Cēsis,Cesis,57.3167,25.2667,Latvia,LV,LVA,Cēsis,admin,14713.0,1428840269
Sigulda,Sigulda,57.15,24.8667,Latvia,LV,LVA,Sigulda,admin,14584.0,1428703594
Olaine,Olaine,56.7833,23.9333,Latvia,LV,LVA,Olaine,admin,10062.0,1428220700
Kuldīga,Kuldiga,56.9667,21.9667,Latvia,LV,LVA,Kuldīga,admin,10019.0,1428739306
Bauska,Bauska,56.4083,24.1931,Latvia,LV,LVA,Bauska,admin,9797.0,1428015452
Saldus,Saldus,56.6667,22.5,Latvia,LV,LVA,Saldus,admin,9493.0,1428774997
Talsi,Talsi,57.2444,22.5867,Latvia,LV,LVA,Talsi,admin,8712.0,1428411666
Dobele,Dobele,56.6167,23.2667,Latvia,LV,LVA,Dobele,admin,8644.0,1428641580
Ludza,Ludza,56.55,27.7167,Latvia,LV,LVA,Ludza,admin,7640.0,1428976928
Ādaži,Adazi,57.0667,24.3333,Latvia,LV,LVA,Ādaži,admin,7387.0,1428843734
Krāslava,Kraslava,55.8833,27.1667,Latvia,LV,LVA,Krāslava,admin,6997.0,1428739484
Aizkraukle,Aizkraukle,56.6042,25.2539,Latvia,LV,LVA,Aizkraukle,admin,6947.0,1428407271
Līvāni,Livani,56.3667,26.1833,Latvia,LV,LVA,Līvāni,admin,6911.0,1428769984
Gulbene,Gulbene,57.1667,26.75,Latvia,LV,LVA,Gulbene,admin,6782.0,1428888445
Limbaži,Limbazi,57.5167,24.7167,Latvia,LV,LVA,Limbaži,admin,6706.0,1428920312
Madona,Madona,56.85,26.2167,Latvia,LV,LVA,Madona,admin,6664.0,1428548117
Alūksne,Aluksne,57.4167,27.05,Latvia,LV,LVA,Alūksne,admin,6262.0,1428873095
Preiļi,Preili,56.3,26.7167,Latvia,LV,LVA,Preiļi,admin,5952.0,1428460035
Balvi,Balvi,57.1333,27.25,Latvia,LV,LVA,Balvi,admin,5672.0,1428606162
Smiltene,Smiltene,57.4333,25.9,Latvia,LV,LVA,Smiltene,admin,5092.0,1428035157
Ķekava,Kekava,56.8333,24.2333,Latvia,LV,LVA,Ķekava,admin,5034.0,1428331173
Valka,Valka,57.7667,26.0,Latvia,LV,LVA,Valka,admin,4582.0,1428763918
Saulkrasti,Saulkrasti,57.25,24.4167,Latvia,LV,LVA,Saulkrasti,admin,3130.0,1428934591
Ulbroka,Ulbroka,56.9333,24.2833,Latvia,LV,LVA,Ropaži,admin,3035.0,1428511061
Varakļāni,Varaklani,56.6,26.75,Latvia,LV,LVA,Varakļāni,admin,1693.0,1428435689
Ropaži,Ropazi,56.9718,24.6318,Latvia,LV,LVA,Ropaži,admin,1681.0,1428220999
Riga,Riga,56.9489,24.1064,Latvia,LV,LVA,Rīga,primary,920643.0,1428586192
Daugavpils,Daugavpils,55.875,26.5356,Latvia,LV,LVA,Augšdaugava,admin,78850.0,1428924928
Liepāja,Liepaja,56.5117,21.0139,Latvia,LV,LVA,Liepāja,admin,67088.0,1428511842
Jelgava,Jelgava,56.6483,23.7139,Latvia,LV,LVA,Jelgava,admin,54836.0,1428370571
Jūrmala,Jurmala,56.9681,23.7703,Latvia,LV,LVA,Jūrmala,admin,51158.0,1428952300
Ventspils,Ventspils,57.3906,21.5733,Latvia,LV,LVA,Ventspils,admin,32948.0,1428112098
Rēzekne,Rezekne,56.5127,27.3427,Latvia,LV,LVA,Rēzekne,admin,26378.0,1428895373
Ogre,Ogre,56.8186,24.6056,Latvia,LV,LVA,Ogre,admin,22884.0,1428832851
Valmiera,Valmiera,57.55,25.4,Latvia,LV,LVA,Valmiera,admin,22585.0,1428524787
Jēkabpils,Jekabpils,56.4994,25.8783,Latvia,LV,LVA,Jēkabpils,admin,21436.0,1428885452
Salaspils,Salaspils,56.8667,24.35,Latvia,LV,LVA,Salaspils,admin,17794.0,1428270898
Tukums,Tukums,56.9667,23.15,Latvia,LV,LVA,Tukums,admin,16597.0,1428304262
Mārupe,Marupe,56.9069,24.0583,Latvia,LV,LVA,Mārupe,admin,16051.0,1428162714
Cēsis,Cesis,57.3167,25.2667,Latvia,LV,LVA,Cēsis,admin,14713.0,1428840269
Sigulda,Sigulda,57.15,24.8667,Latvia,LV,LVA,Sigulda,admin,14584.0,1428703594
Olaine,Olaine,56.7833,23.9333,Latvia,LV,LVA,Olaine,admin,10062.0,1428220700
Kuldīga,Kuldiga,56.9667,21.9667,Latvia,LV,LVA,Kuldīga,admin,10019.0,1428739306
Bauska,Bauska,56.4083,24.1931,Latvia,LV,LVA,Bauska,admin,9797.0,1428015452
Saldus,Saldus,56.6667,22.5,Latvia,LV,LVA,Saldus,admin,9493.0,1428774997
Talsi,Talsi,57.2444,22.5867,Latvia,LV,LVA,Talsi,admin,8712.0,1428411666
Dobele,Dobele,56.6167,23.2667,Latvia,LV,LVA,Dobele,admin,8644.0,1428641580
Ludza,Ludza,56.55,27.7167,Latvia,LV,LVA,Ludza,admin,7640.0,1428976928
Ādaži,Adazi,57.0667,24.3333,Latvia,LV,LVA,Ādaži,admin,7387.0,1428843734
Krāslava,Kraslava,55.8833,27.1667,Latvia,LV,LVA,Krāslava,admin,6997.0,1428739484
Aizkraukle,Aizkraukle,56.6042,25.2539,Latvia,LV,LVA,Aizkraukle,admin,6947.0,1428407271
Līvāni,Livani,56.3667,26.1833,Latvia,LV,LVA,Līvāni,admin,6911.0,1428769984
Gulbene,Gulbene,57.1667,26.75,Latvia,LV,LVA,Gulbene,admin,6782.0,1428888445
Limbaži,Limbazi,57.5167,24.7167,Latvia,LV,LVA,Limbaži,admin,6706.0,1428920312
Madona,Madona,56.85,26.2167,Latvia,LV,LVA,Madona,admin,6664.0,1428548117
Alūksne,Aluksne,57.4167,27.05,Latvia,LV,LVA,Alūksne,admin,6262.0,1428873095
Preiļi,Preili,56.3,26.7167,Latvia,LV,LVA,Preiļi,admin,5952.0,1428460035
Balvi,Balvi,57.1333,27.25,Latvia,LV,LVA,Balvi,admin,5672.0,1428606162
Smiltene,Smiltene,57.4333,25.9,Latvia,LV,LVA,Smiltene,admin,5092.0,1428035157
Ķekava,Kekava,56.8333,24.2333,Latvia,LV,LVA,Ķekava,admin,5034.0,1428331173
Valka,Valka,57.7667,26.0,Latvia,LV,LVA,Valka,admin,4582.0,1428763918
Saulkrasti,Saulkrasti,57.25,24.4167,Latvia,LV,LVA,Saulkrasti,admin,3130.0,1428934591
Ulbroka,Ulbroka,56.9333,24.2833,Latvia,LV,LVA,Ropaži,admin,3035.0,1428511061
Varakļāni,Varaklani,56.6,26.75,Latvia,LV,LVA,Varakļāni,admin,1693.0,1428435689
Ropaži,Ropazi,56.9718,24.6318,Latvia,LV,LVA,Ropaži,admin,1681.0,1428220999
