city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Beirut,Beirut,33.8983,35.5057,Lebanon,LB,LBN,Beyrouth,primary,2421354.0,1422847713
Barr Eliâs,Barr Elias,33.775,35.9,Lebanon,LB,LBN,Béqaa,,300000.0,1422386644
Tripoli,Tripoli,34.4367,35.8344,Lebanon,LB,LBN,Liban-Nord,admin,243800.0,1422886065
Sidon,Sidon,33.5606,35.3758,Lebanon,LB,LBN,Liban-Sud,admin,163554.0,1422897920
El Minié,El Minie,34.447,35.8178,Lebanon,LB,LBN,Liban-Nord,,150000.0,1422845769
Borj Hammoud,Borj Hammoud,33.8936,35.5403,Lebanon,LB,LBN,Mont-Liban,,150000.0,1422255275
Aaley,Aaley,33.8,35.6,Lebanon,LB,LBN,Mont-Liban,minor,130000.0,1422055581
Joünié,Jounie,33.9697,35.6156,Lebanon,LB,LBN,Mont-Liban,minor,102221.0,1422032780
Zahlé,Zahle,33.8333,35.9167,Lebanon,LB,LBN,Béqaa,admin,100000.0,1422031285
Baabda,Baabda,33.8333,35.5333,Lebanon,LB,LBN,Mont-Liban,admin,84900.0,1422639397
Baalbek,Baalbek,34.0063,36.2073,Lebanon,LB,LBN,Baalbek-Hermel,admin,81052.0,1422694451
Nabatîyé,Nabatiye,33.3833,35.45,Lebanon,LB,LBN,Nabatîyé,admin,80000.0,1422269278
Borj el Qoblé,Borj el Qoble,33.2631,35.2389,Lebanon,LB,LBN,Liban-Sud,,61973.0,1422937881
Tyre,Tyre,33.2708,35.1961,Lebanon,LB,LBN,Liban-Sud,minor,60000.0,1422316734
Qabb Eliâs,Qabb Elias,33.7986,35.825,Lebanon,LB,LBN,Béqaa,,50000.0,1422087652
El Ghâzîyé,El Ghaziye,33.5186,35.3661,Lebanon,LB,LBN,Liban-Sud,,50000.0,1422216263
Aarsâl,Aarsal,34.1794,36.4208,Lebanon,LB,LBN,Baalbek-Hermel,,50000.0,1422612862
Batroûn,Batroun,34.25,35.65,Lebanon,LB,LBN,Liban-Nord,minor,45000.0,1422217431
Jbaïl,Jbail,34.1236,35.6519,Lebanon,LB,LBN,Mont-Liban,minor,40000.0,1422678909
Chmistâr,Chmistar,33.9667,36.0167,Lebanon,LB,LBN,Baalbek-Hermel,,30000.0,1422851411
