city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Schaan,Schaan,47.1667,9.5097,Liechtenstein,LI,LIE,Schaan,admin,5998.0,1438982330
Vaduz,Vaduz,47.141,9.521,Liechtenstein,LI,LIE,Vaduz,primary,5696.0,1438317747
Triesen,Triesen,47.1,9.5333,Liechtenstein,LI,LIE,Triesen,admin,5275.0,1438826448
Balzers,Balzers,47.0667,9.5,Liechtenstein,LI,LIE,Balzers,admin,4642.0,1438263000
Eschen,Eschen,47.2167,9.5167,Liechtenstein,LI,LIE,Eschen,admin,4459.0,1438692471
Mauren,Mauren,47.2167,9.5333,Liechtenstein,LI,LIE,Mauren,admin,4404.0,1438767966
Triesenberg,Triesenberg,47.1181,9.5433,Liechtenstein,LI,LIE,Triesenberg,admin,2643.0,1438813592
Ruggell,Ruggell,47.245,9.5332,Liechtenstein,LI,LIE,Ruggell,admin,2295.0,1438787609
Gamprin,Gamprin,47.2167,9.5,Liechtenstein,LI,LIE,Gamprin,admin,1663.0,1438568521
Schellenberg,Schellenberg,47.2336,9.5481,Liechtenstein,LI,LIE,Schellenberg,admin,1091.0,1438649917
Planken,Planken,47.1833,9.5333,Liechtenstein,LI,LIE,Planken,admin,478.0,1438419168
Schaan,Schaan,47.1667,9.5097,Liechtenstein,LI,LIE,Schaan,admin,5998.0,1438982330
Vaduz,Vaduz,47.141,9.521,Liechtenstein,LI,LIE,Vaduz,primary,5696.0,1438317747
Triesen,Triesen,47.1,9.5333,Liechtenstein,LI,LIE,Triesen,admin,5275.0,1438826448
Balzers,Balzers,47.0667,9.5,Liechtenstein,LI,LIE,Balzers,admin,4642.0,1438263000
Eschen,Eschen,47.2167,9.5167,Liechtenstein,LI,LIE,Eschen,admin,4459.0,1438692471
Mauren,Mauren,47.2167,9.5333,Liechtenstein,LI,LIE,Mauren,admin,4404.0,1438767966
Triesenberg,Triesenberg,47.1181,9.5433,Liechtenstein,LI,LIE,Triesenberg,admin,2643.0,1438813592
Ruggell,Ruggell,47.245,9.5332,Liechtenstein,LI,LIE,Ruggell,admin,2295.0,1438787609
Gamprin,Gamprin,47.2167,9.5,Liechtenstein,LI,LIE,Gamprin,admin,1663.0,1438568521
Schellenberg,Schellenberg,47.2336,9.5481,Liechtenstein,LI,LIE,Schellenberg,admin,1091.0,1438649917
Planken,Planken,47.1833,9.5333,Liechtenstein,LI,LIE,Planken,admin,478.0,1438419168
