city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Luxembourg,Luxembourg,49.6117,6.1319,Luxembourg,LU,LUX,Luxembourg,primary,132780.0,1442262731
Esch-sur-Alzette,Esch-sur-Alzette,49.4969,5.9806,Luxembourg,LU,LUX,Esch-sur-Alzette,admin,36625.0,1442192663
Dudelange,Dudelange,49.4833,6.0833,Luxembourg,LU,LUX,Esch-sur-Alzette,minor,21953.0,1442627138
Differdange,Differdange,49.5222,5.8917,Luxembourg,LU,LUX,Esch-sur-Alzette,minor,15455.0,1442264411
Diekirch,Diekirch,49.8681,6.1567,Luxembourg,LU,LUX,Diekirch,admin,7047.0,1442382721
Echternach,Echternach,49.8117,6.4217,Luxembourg,LU,LUX,Echternach,admin,5870.0,1442794725
Wiltz,Wiltz,49.9661,5.9325,Luxembourg,LU,LUX,Wiltz,admin,5427.0,1442345477
Grevenmacher,Grevenmacher,49.6806,6.4417,Luxembourg,LU,LUX,Grevenmacher,admin,4981.0,1442392954
Remich,Remich,49.5444,6.3667,Luxembourg,LU,LUX,Remich,admin,4015.0,1442971283
Vianden,Vianden,49.9,6.2,Luxembourg,LU,LUX,Vianden,admin,2161.0,1442979391
Capellen,Capellen,49.6444,5.9897,Luxembourg,LU,LUX,Capellen,admin,1986.0,1442533571
Clervaux,Clervaux,50.05,6.0333,Luxembourg,LU,LUX,Clervaux,admin,1468.0,1442118762
Mersch,Mersch,49.75,6.1,Luxembourg,LU,LUX,Mersch,admin,,1442283324
Redange-sur-Attert,Redange-sur-Attert,49.7652,5.8894,Luxembourg,LU,LUX,Redange,admin,,1442099691
Luxembourg,Luxembourg,49.6117,6.1319,Luxembourg,LU,LUX,Luxembourg,primary,132780.0,1442262731
Esch-sur-Alzette,Esch-sur-Alzette,49.4969,5.9806,Luxembourg,LU,LUX,Esch-sur-Alzette,admin,36625.0,1442192663
Dudelange,Dudelange,49.4833,6.0833,Luxembourg,LU,LUX,Esch-sur-Alzette,minor,21953.0,1442627138
Differdange,Differdange,49.5222,5.8917,Luxembourg,LU,LUX,Esch-sur-Alzette,minor,15455.0,1442264411
Diekirch,Diekirch,49.8681,6.1567,Luxembourg,LU,LUX,Diekirch,admin,7047.0,1442382721
Echternach,Echternach,49.8117,6.4217,Luxembourg,LU,LUX,Echternach,admin,5870.0,1442794725
Wiltz,Wiltz,49.9661,5.9325,Luxembourg,LU,LUX,Wiltz,admin,5427.0,1442345477
Grevenmacher,Grevenmacher,49.6806,6.4417,Luxembourg,LU,LUX,Grevenmacher,admin,4981.0,1442392954
Remich,Remich,49.5444,6.3667,Luxembourg,LU,LUX,Remich,admin,4015.0,1442971283
Vianden,Vianden,49.9,6.2,Luxembourg,LU,LUX,Vianden,admin,2161.0,1442979391
Capellen,Capellen,49.6444,5.9897,Luxembourg,LU,LUX,Capellen,admin,1986.0,1442533571
Clervaux,Clervaux,50.05,6.0333,Luxembourg,LU,LUX,Clervaux,admin,1468.0,1442118762
Mersch,Mersch,49.75,6.1,Luxembourg,LU,LUX,Mersch,admin,,1442283324
Redange-sur-Attert,Redange-sur-Attert,49.7652,5.8894,Luxembourg,LU,LUX,Redange,admin,,1442099691
