city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Antananarivo,Antananarivo,-18.91,47.525,Madagascar,MG,MDG,Antananarivo,primary,2300000.0,1450978461
Androtsy,Androtsy,-24.1,46.3,Madagascar,MG,MDG,Toliara,,809313.0,1450017816
Betsiboka,Betsiboka,-16.95,46.83,Madagascar,MG,MDG,Mahajanga,,394561.0,1450524066
Antsirabe,Antsirabe,-19.8667,47.0333,Madagascar,MG,MDG,Antananarivo,minor,265018.0,1450791699
Mahajanga,Mahajanga,-15.7167,46.3167,Madagascar,MG,MDG,Mahajanga,admin,246022.0,1450421961
Toamasina,Toamasina,-18.155,49.41,Madagascar,MG,MDG,Toamasina,admin,225116.0,1450540529
Fianarantsoa,Fianarantsoa,-21.4536,47.0858,Madagascar,MG,MDG,Fianarantsoa,admin,191776.0,1450070223
Toliara,Toliara,-23.35,43.6667,Madagascar,MG,MDG,Toliara,admin,168756.0,1450593748
Antsiranana,Antsiranana,-12.3,49.2833,Madagascar,MG,MDG,Antsiranana,admin,129320.0,1450106928
Ambovombe,Ambovombe,-25.1764,46.0833,Madagascar,MG,MDG,Toliara,minor,114230.0,1450135666
Ambohimangakely,Ambohimangakely,-18.9167,47.6,Madagascar,MG,MDG,Antananarivo,,91056.0,1450074776
Sambava,Sambava,-14.2667,50.1667,Madagascar,MG,MDG,Antsiranana,minor,84039.0,1450004590
Antehiroka,Antehiroka,-18.85,47.4833,Madagascar,MG,MDG,Antananarivo,,80360.0,1450838187
Belo Tsiribihina,Belo Tsiribihina,-19.7,44.55,Madagascar,MG,MDG,Toliara,,72000.0,1450104370
Imerintsiatosika,Imerintsiatosika,-18.9833,47.3167,Madagascar,MG,MDG,Antananarivo,,69953.0,1450857841
Antalaha,Antalaha,-14.8833,50.25,Madagascar,MG,MDG,Antsiranana,,67888.0,1450649394
Ankazoabokely,Ankazoabokely,-21.5036,45.2094,Madagascar,MG,MDG,Toliara,,67337.0,1450489692
Tôlan̈aro,Tolanaro,-25.0325,46.9833,Madagascar,MG,MDG,Toliara,minor,67284.0,1450217836
Madirovalo,Madirovalo,-16.4333,46.5333,Madagascar,MG,MDG,Mahajanga,,66000.0,1450602387
Ambilobe,Ambilobe,-13.2,49.05,Madagascar,MG,MDG,Antsiranana,,62346.0,1450374226
