city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Blantyre,Blantyre,-15.7861,35.0058,Malawi,MW,MWI,Blantyre,admin,1895973.0,1454145012
Lilongwe,Lilongwe,-13.9833,33.7833,Malawi,MW,MWI,Lilongwe,primary,989318.0,1454688499
Mzuzu,Mzuzu,-11.4581,34.0151,Malawi,MW,MWI,Mzimba,,150100.0,1454525586
Zomba,Zomba,-15.3869,35.3192,Malawi,MW,MWI,Zomba,admin,101140.0,1454072947
Karonga,Karonga,-9.9333,33.9333,Malawi,MW,MWI,Karonga,admin,61609.0,1454358935
Kasungu,Kasungu,-13.0333,33.4833,Malawi,MW,MWI,Kasungu,admin,58653.0,1454117674
Mangochi,Mangochi,-14.4667,35.2667,Malawi,MW,MWI,Mangochi,admin,51429.0,1454766726
Salima,Salima,-13.7833,34.4333,Malawi,MW,MWI,Salima,admin,36789.0,1454747771
Liwonde,Liwonde,-15.0667,35.2333,Malawi,MW,MWI,Balaka,,36421.0,1454616988
Dedza,Dedza,-14.3667,34.3333,Malawi,MW,MWI,Dedza,admin,30928.0,1454412462
Nkhotakota,Nkhotakota,-12.9167,34.3,Malawi,MW,MWI,Nkhotakota,admin,28350.0,1454281420
Mchinji,Mchinji,-13.8167,32.9,Malawi,MW,MWI,Mchinji,admin,28011.0,1454607053
Nsanje,Nsanje,-16.9167,35.2667,Malawi,MW,MWI,Nsanje,admin,26844.0,1454428076
Mzimba,Mzimba,-11.9,33.6,Malawi,MW,MWI,Mzimba,admin,26096.0,1454007077
Chiromo,Chiromo,-16.55,35.1333,Malawi,MW,MWI,Nsanje,,25235.0,1454972056
Mponela,Mponela,-13.5167,33.7167,Malawi,MW,MWI,Dowa,,24543.0,1454096426
Rumphi,Rumphi,-11.0167,33.8667,Malawi,MW,MWI,Rumphi,admin,22358.0,1454325221
Ntcheu,Ntcheu,-14.8333,34.6667,Malawi,MW,MWI,Ntcheu,admin,21241.0,1454008976
Mulanje,Mulanje,-16.0258,35.5081,Malawi,MW,MWI,Mulanje,admin,20870.0,1454459215
Mwanza,Mwanza,-15.5986,34.5178,Malawi,MW,MWI,Mwanza,admin,18039.0,1454451365
Chitipa,Chitipa,-9.7019,33.27,Malawi,MW,MWI,Chitipa,admin,17743.0,1454611219
Monkey Bay,Monkey Bay,-14.0833,34.9167,Malawi,MW,MWI,Mangochi,,14955.0,1454428949
Nkhata Bay,Nkhata Bay,-11.6,34.3,Malawi,MW,MWI,Nkhata Bay,admin,14274.0,1454517378
Luchenza,Luchenza,-16.0167,35.3,Malawi,MW,MWI,Thyolo,,12600.0,1454389807
Ntchisi,Ntchisi,-13.3667,34.0,Malawi,MW,MWI,Ntchisi,admin,9357.0,1454004377
Dowa,Dowa,-13.6667,33.9167,Malawi,MW,MWI,Dowa,admin,7135.0,1454644071
Thyolo,Thyolo,-16.0667,35.1333,Malawi,MW,MWI,Thyolo,admin,7029.0,1454464861
Phalombe,Phalombe,-15.8033,35.6533,Malawi,MW,MWI,Phalombe,admin,6242.0,1454510180
Chiradzulu,Chiradzulu,-15.7,35.1833,Malawi,MW,MWI,Chiradzulu,admin,1580.0,1454413713
Machinga,Machinga,-14.9667,35.5167,Malawi,MW,MWI,Machinga,admin,1418.0,1454566785
Balaka,Balaka,-14.9889,34.9591,Malawi,MW,MWI,Balaka,admin,,1454732693
Neno,Neno,-15.3981,34.6534,Malawi,MW,MWI,Neno,admin,,1454089137
Chikwawa,Chikwawa,-16.035,34.801,Malawi,MW,MWI,Chikwawa,admin,,1454343925
Blantyre,Blantyre,-15.7861,35.0058,Malawi,MW,MWI,Blantyre,admin,1895973.0,1454145012
Lilongwe,Lilongwe,-13.9833,33.7833,Malawi,MW,MWI,Lilongwe,primary,989318.0,1454688499
Mzuzu,Mzuzu,-11.4581,34.0151,Malawi,MW,MWI,Mzimba,,150100.0,1454525586
Zomba,Zomba,-15.3869,35.3192,Malawi,MW,MWI,Zomba,admin,101140.0,1454072947
Karonga,Karonga,-9.9333,33.9333,Malawi,MW,MWI,Karonga,admin,61609.0,1454358935
Kasungu,Kasungu,-13.0333,33.4833,Malawi,MW,MWI,Kasungu,admin,58653.0,1454117674
Mangochi,Mangochi,-14.4667,35.2667,Malawi,MW,MWI,Mangochi,admin,51429.0,1454766726
Salima,Salima,-13.7833,34.4333,Malawi,MW,MWI,Salima,admin,36789.0,1454747771
Liwonde,Liwonde,-15.0667,35.2333,Malawi,MW,MWI,Balaka,,36421.0,1454616988
Dedza,Dedza,-14.3667,34.3333,Malawi,MW,MWI,Dedza,admin,30928.0,1454412462
Nkhotakota,Nkhotakota,-12.9167,34.3,Malawi,MW,MWI,Nkhotakota,admin,28350.0,1454281420
