city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bamako,Bamako,12.6392,-8.0028,Mali,ML,MLI,Bamako,primary,4227569.0,1466965925
Balandougou,Balandougou,13.3558,-9.5517,Mali,ML,MLI,Kayes,,1596882.0,1466367944
Zégoua,Zegoua,10.4875,-5.6536,Mali,ML,MLI,,,230360.0,1466856084
Sikasso,Sikasso,11.3167,-5.6667,Mali,ML,MLI,Sikasso,admin,213977.0,1466666150
Koutiala,Koutiala,12.3833,-5.4667,Mali,ML,MLI,Sikasso,minor,137919.0,1466253368
Ségou,Segou,13.45,-6.2667,Mali,ML,MLI,Ségou,admin,133501.0,1466684950
Kayes,Kayes,14.45,-11.4333,Mali,ML,MLI,Kayes,admin,127368.0,1466546429
Mopti,Mopti,14.49,-4.18,Mali,ML,MLI,Mopti,admin,108456.0,1466352252
Niono,Niono,14.25,-5.9861,Mali,ML,MLI,Ségou,minor,91554.0,1466927773
Somasso,Somasso,12.8667,-5.6,Mali,ML,MLI,Ségou,,69561.0,1466104103
Kati,Kati,12.7504,-8.08,Mali,ML,MLI,Koulikoro,minor,66895.0,1466006801
Koro,Koro,14.0683,-3.0814,Mali,ML,MLI,Mopti,minor,62681.0,1466120738
Nioro,Nioro,15.1833,-9.55,Mali,ML,MLI,Kayes,minor,60112.0,1466532076
Bougouni,Bougouni,11.4167,-7.4833,Mali,ML,MLI,Sikasso,minor,59679.0,1466902797
Baguinéda,Baguineda,12.6153,-7.7767,Mali,ML,MLI,Koulikoro,,58661.0,1466285488
Kolondiéba,Kolondieba,11.0833,-6.9,Mali,ML,MLI,Sikasso,minor,57898.0,1466671740
Pèlèngana,Pelengana,13.4278,-6.2153,Mali,ML,MLI,Ségou,,56259.0,1466498684
Kouri,Kouri,12.1833,-4.8056,Mali,ML,MLI,Sikasso,,54435.0,1466886162
Kadiolo,Kadiolo,10.5556,-5.7597,Mali,ML,MLI,Sikasso,minor,52932.0,1466526601
Koumantou,Koumantou,11.4167,-6.8333,Mali,ML,MLI,Sikasso,,51348.0,1466346695
Wolossébougou,Wolossebougou,12.0,-7.9111,Mali,ML,MLI,Koulikoro,,50056.0,1466707380
Gao,Gao,16.2667,-0.05,Mali,ML,MLI,Gao,admin,49483.0,1466571211
Dyero,Dyero,13.6858,-5.8342,Mali,ML,MLI,Ségou,,47876.0,1466686936
Kita,Kita,13.0504,-9.4833,Mali,ML,MLI,Kayes,minor,46435.0,1466078415
Markala,Markala,13.6739,-6.075,Mali,ML,MLI,Ségou,,45961.0,1466526342
Dialakorodji,Dialakorodji,12.7083,-7.9689,Mali,ML,MLI,Koulikoro,,45740.0,1466632179
Sangarébougou,Sangarebougou,12.6842,-7.9278,Mali,ML,MLI,Koulikoro,,45518.0,1466951632
Misséni,Misseni,10.3167,-6.0769,Mali,ML,MLI,,,45240.0,1466953386
Massigui,Massigui,11.8667,-6.7667,Mali,ML,MLI,Koulikoro,,45120.0,1466598599
Mondoro,Mondoro,14.6761,-1.9511,Mali,ML,MLI,Mopti,,42631.0,1466279305
Sokoura,Sokoura,14.5472,-4.0894,Mali,ML,MLI,Mopti,,42553.0,1466959154
Dandéresso,Danderesso,11.4867,-5.4819,Mali,ML,MLI,Sikasso,,41723.0,1466000035
San,San,13.3004,-4.9,Mali,ML,MLI,Ségou,minor,41386.0,1466198810
Fourou,Fourou,10.7472,-6.1403,Mali,ML,MLI,,,40826.0,1466622425
Djidian Kéniéba,Djidian Kenieba,13.1,-11.4,Mali,ML,MLI,Kayes,,39557.0,1466235877
Sadiola,Sadiola,13.8889,-11.7028,Mali,ML,MLI,Kayes,,39305.0,1466289020
Sébékoro,Sebekoro,12.9625,-8.9875,Mali,ML,MLI,Kayes,,39030.0,1466884939
Garalo,Garalo,10.99,-7.437,Mali,ML,MLI,Sikasso,,38900.0,1466137114
Kolongo-Bozo,Kolongo-Bozo,13.8806,-5.6861,Mali,ML,MLI,Ségou,,37648.0,1466533239
Sanankoroba,Sanankoroba,12.3986,-7.9378,Mali,ML,MLI,Koulikoro,,37294.0,1466544383
Siribala,Siribala,14.0419,-6.0617,Mali,ML,MLI,Ségou,,37065.0,1466261448
Kona,Kona,14.9467,-3.8933,Mali,ML,MLI,Mopti,,36767.0,1466755043
Zinzana,Zinzana,13.2528,-5.9653,Mali,ML,MLI,Ségou,,36440.0,1466980740
Mpessoba,Mpessoba,12.6639,-5.7167,Mali,ML,MLI,Sikasso,,36297.0,1466235935
Dinangorou,Dinangorou,14.4519,-2.2419,Mali,ML,MLI,Mopti,,35886.0,1466619930
Niamina,Niamina,13.3167,-6.9819,Mali,ML,MLI,Koulikoro,,35548.0,1466440831
Timbuktu,Timbuktu,16.7758,-3.0094,Mali,ML,MLI,Tombouctou,admin,35330.0,1466595315
Diabali,Diabali,14.6833,-6.0167,Mali,ML,MLI,Ségou,,35266.0,1466129863
Diakon,Diakon,14.6264,-10.7319,Mali,ML,MLI,Kayes,,34100.0,1466221390
Kignan,Kignan,11.8511,-6.0153,Mali,ML,MLI,Sikasso,,33962.0,1466387933
Katiéna,Katiena,13.3217,-5.6414,Mali,ML,MLI,Ségou,,33180.0,1466014503
Djenné,Djenne,13.9056,-4.555,Mali,ML,MLI,Mopti,minor,32944.0,1466017388
Moninnpébougou,Moninnpebougou,14.1475,-5.5217,Mali,ML,MLI,Ségou,,32899.0,1466881622
Barouéli,Baroueli,13.0667,-6.8333,Mali,ML,MLI,Ségou,minor,32739.0,1466725032
Ansongo,Ansongo,15.6594,0.5017,Mali,ML,MLI,Gao,minor,32709.0,1466948813
Lobougoula,Lobougoula,11.0431,-5.9819,Mali,ML,MLI,Sikasso,,32505.0,1466081174
Dioungani,Dioungani,14.3131,-2.7394,Mali,ML,MLI,Mopti,,32418.0,1466583871
Massantola,Massantola,13.4833,-7.8,Mali,ML,MLI,Koulikoro,,32358.0,1466269912
Niéna,Niena,11.4258,-6.35,Mali,ML,MLI,Sikasso,,32265.0,1466898809
Boro,Boro,14.0075,-7.5072,Mali,ML,MLI,Koulikoro,,32250.0,1466283433
Dialoubé,Dialoube,15.0172,-4.2325,Mali,ML,MLI,Mopti,,31483.0,1466226957
Kléla,Klela,11.6875,-5.6639,Mali,ML,MLI,Sikasso,,31334.0,1466561275
Konséguéla,Konseguela,12.4033,-5.8847,Mali,ML,MLI,Sikasso,,31007.0,1466934058
Diéma,Diema,14.539,-9.19,Mali,ML,MLI,Kayes,minor,30592.0,1466128146
Banamba,Banamba,13.55,-7.45,Mali,ML,MLI,Koulikoro,minor,30591.0,1466760822
