city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Mamoudzou,Mamoudzou,-12.7806,45.2278,Mayotte,YT,MYT,,primary,71437.0,1175099654
Koungou,Koungou,-12.7385,45.2071,Mayotte,YT,MYT,,,32156.0,1175080353
Dembeni,Dembeni,-12.8339,45.1725,Mayotte,YT,MYT,,,15848.0,1175648104
Bandraboua,Bandraboua,-12.7254,45.1072,Mayotte,YT,MYT,,,13989.0,1175364380
Tsingoni,Tsingoni,-12.7858,45.1113,Mayotte,YT,MYT,,,13934.0,1175234033
Sada,Sada,-12.8511,45.0997,Mayotte,YT,MYT,,,11156.0,1175438368
Bandrele,Bandrele,-12.9092,45.1944,Mayotte,YT,MYT,,,10282.0,1175425508
Ouangani,Ouangani,-12.8487,45.1446,Mayotte,YT,MYT,,,10203.0,1175238215
Chirongui,Chirongui,-12.9344,45.1511,Mayotte,YT,MYT,,,8920.0,1175000178
Mamoudzou,Mamoudzou,-12.7806,45.2278,Mayotte,YT,MYT,,primary,71437.0,1175099654
Koungou,Koungou,-12.7385,45.2071,Mayotte,YT,MYT,,,32156.0,1175080353
Dembeni,Dembeni,-12.8339,45.1725,Mayotte,YT,MYT,,,15848.0,1175648104
Bandraboua,Bandraboua,-12.7254,45.1072,Mayotte,YT,MYT,,,13989.0,1175364380
Tsingoni,Tsingoni,-12.7858,45.1113,Mayotte,YT,MYT,,,13934.0,1175234033
Sada,Sada,-12.8511,45.0997,Mayotte,YT,MYT,,,11156.0,1175438368
Bandrele,Bandrele,-12.9092,45.1944,Mayotte,YT,MYT,,,10282.0,1175425508
Ouangani,Ouangani,-12.8487,45.1446,Mayotte,YT,MYT,,,10203.0,1175238215
Chirongui,Chirongui,-12.9344,45.1511,Mayotte,YT,MYT,,,8920.0,1175000178
