city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Chisinau,Chisinau,47.0228,28.8353,Moldova,MD,MDA,Chişinău,primary,702300.0,1498011437
Tiraspol,Tiraspol,46.8403,29.6433,Moldova,MD,MDA,Stînga Nistrului,admin,133807.0,1498104958
Bălţi,Balti,47.7667,27.9167,Moldova,MD,MDA,Bălţi,admin,97930.0,1498172131
Bender,Bender,46.8333,29.4833,Moldova,MD,MDA,Bender,admin,76158.0,1498257678
Rîbniţa,Ribnita,47.7667,29.0,Moldova,MD,MDA,Stînga Nistrului,,56988.0,1498197530
Ungheni,Ungheni,47.2167,27.8167,Moldova,MD,MDA,Ungheni,admin,30804.0,1498687533
Cahul,Cahul,45.9167,28.1836,Moldova,MD,MDA,Cahul,admin,30018.0,1498020356
Dubăsari,Dubasari,47.2667,29.1667,Moldova,MD,MDA,Stînga Nistrului,,28500.0,1498583082
Soroca,Soroca,48.1667,28.3,Moldova,MD,MDA,Soroca,admin,22196.0,1498912060
Orhei,Orhei,47.3833,28.8167,Moldova,MD,MDA,Orhei,admin,21065.0,1498680500
Comrat,Comrat,46.3167,28.6667,Moldova,MD,MDA,Găgăuzia,admin,20113.0,1498677351
Slobozia,Slobozia,46.7333,29.7,Moldova,MD,MDA,Stînga Nistrului,,20000.0,1498228098
Straşeni,Straseni,47.1333,28.6167,Moldova,MD,MDA,Străşeni,admin,18376.0,1498773145
Durleşti,Durlesti,47.0333,28.95,Moldova,MD,MDA,Chişinău,,17210.0,1498757203
Ceadîr-Lunga,Ceadir-Lunga,46.05,28.8333,Moldova,MD,MDA,Găgăuzia,,16605.0,1498057941
Codru,Codru,46.9753,28.8194,Moldova,MD,MDA,Chişinău,,15934.0,1498544482
Edineţ,Edinet,48.1667,27.3167,Moldova,MD,MDA,Edineţ,admin,15520.0,1498114952
Drochia,Drochia,48.0333,27.75,Moldova,MD,MDA,Drochia,admin,13150.0,1498968635
Căuşeni,Causeni,46.6333,29.4,Moldova,MD,MDA,Căuşeni,admin,12874.0,1498826686
Ialoveni,Ialoveni,46.95,28.7833,Moldova,MD,MDA,Ialoveni,admin,12515.0,1498897259
Hînceşti,Hincesti,46.8167,28.5833,Moldova,MD,MDA,Hînceşti,admin,12491.0,1498402212
Sîngerei,Singerei,47.6333,28.15,Moldova,MD,MDA,Sîngerei,admin,12465.0,1498521430
Taraclia,Taraclia,45.9,28.6689,Moldova,MD,MDA,Taraclia,admin,12355.0,1498129687
Vulcăneşti,Vulcanesti,45.6833,28.4028,Moldova,MD,MDA,Găgăuzia,,12185.0,1498275011
Făleşti,Falesti,47.5722,27.7139,Moldova,MD,MDA,Făleşti,admin,12074.0,1498180648
Floreşti,Floresti,47.8933,28.3014,Moldova,MD,MDA,Floreşti,admin,11998.0,1498297203
Cimişlia,Cimislia,46.5167,28.7833,Moldova,MD,MDA,Cimişlia,admin,11997.0,1498766980
Congaz,Congaz,46.1083,28.5972,Moldova,MD,MDA,Găgăuzia,,11123.0,1498367811
Rezina,Rezina,47.7333,28.95,Moldova,MD,MDA,Rezina,admin,11032.0,1498876065
