city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Casablanca,Casablanca,33.5333,-7.5833,Morocco,MA,MAR,Casablanca-Settat,admin,3499000.0,1504175315
Fès,Fes,34.0433,-5.0033,Morocco,MA,MAR,Fès-Meknès,admin,1112072.0,1504861997
Marrakech,Marrakech,31.63,-8.0089,Morocco,MA,MAR,Marrakech-Safi,admin,966987.0,1504172585
Tangier,Tangier,35.7767,-5.8039,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,admin,947952.0,1504861504
Sale,Sale,34.0333,-6.8,Morocco,MA,MAR,Rabat-Salé-Kénitra,,850403.0,1504989034
Rabat,Rabat,34.0209,-6.8416,Morocco,MA,MAR,Rabat-Salé-Kénitra,primary,572717.0,1504023252
Meknès,Meknes,33.895,-5.5547,Morocco,MA,MAR,Fès-Meknès,,520428.0,1504333193
Oujda-Angad,Oujda-Angad,34.6867,-1.9114,Morocco,MA,MAR,Oriental,admin,494252.0,1504891036
Kenitra,Kenitra,34.25,-6.5833,Morocco,MA,MAR,Rabat-Salé-Kénitra,,431282.0,1504534876
Agadir,Agadir,30.4333,-9.6,Morocco,MA,MAR,Souss-Massa,admin,421844.0,1504116858
Tétouan,Tetouan,35.5667,-5.3667,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,380787.0,1504709141
Taourirt,Taourirt,34.4169,-2.885,Morocco,MA,MAR,Oriental,,321876.0,1504648957
Temara,Temara,33.9267,-6.9122,Morocco,MA,MAR,Rabat-Salé-Kénitra,,313510.0,1504016606
Safi,Safi,32.2833,-9.2333,Morocco,MA,MAR,Marrakech-Safi,,308508.0,1504000717
Khénifra,Khenifra,32.9394,-5.6675,Morocco,MA,MAR,Béni Mellal-Khénifra,,228567.0,1504143530
El Jadid,El Jadid,33.2333,-8.5,Morocco,MA,MAR,Casablanca-Settat,,220181.0,1504964063
Laâyoune,Laayoune,27.1536,-13.2033,Morocco,MA,MAR,Laâyoune-Sakia El Hamra,,217732.0,1504000319
Mohammedia,Mohammedia,33.6833,-7.3833,Morocco,MA,MAR,Casablanca-Settat,,208612.0,1504542634
Kouribga,Kouribga,32.8833,-6.9167,Morocco,MA,MAR,Béni Mellal-Khénifra,,196196.0,1504325928
Béni Mellal,Beni Mellal,32.3394,-6.3608,Morocco,MA,MAR,Béni Mellal-Khénifra,admin,192676.0,1504131639
Ait Melloul,Ait Melloul,30.3342,-9.4972,Morocco,MA,MAR,Souss-Massa,,171847.0,1504134516
Nador,Nador,35.1667,-2.9333,Morocco,MA,MAR,Oriental,,161726.0,1504811178
Taza,Taza,34.2167,-4.0167,Morocco,MA,MAR,Fès-Meknès,,148456.0,1504405154
Settat,Settat,33.0,-7.6167,Morocco,MA,MAR,Casablanca-Settat,,142250.0,1504720478
Barrechid,Barrechid,33.2667,-7.5833,Morocco,MA,MAR,Casablanca-Settat,,136634.0,1504194885
Al Khmissat,Al Khmissat,33.8167,-6.0667,Morocco,MA,MAR,Rabat-Salé-Kénitra,,131542.0,1504079907
Inezgane,Inezgane,30.3658,-9.5381,Morocco,MA,MAR,Souss-Massa,,130333.0,1504786674
Ksar El Kebir,Ksar El Kebir,35.009,-5.9,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,126617.0,1504230428
My Drarga,My Drarga,30.38,-9.48,Morocco,MA,MAR,Souss-Massa,,126512.0,1504399163
Larache,Larache,35.1833,-6.15,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,125008.0,1504637172
Guelmim,Guelmim,28.9833,-10.0667,Morocco,MA,MAR,Guelmim-Oued Noun,admin,118318.0,1504110861
Berkane,Berkane,34.9167,-2.3167,Morocco,MA,MAR,Oriental,,109237.0,1504282363
Ad Dakhla,Ad Dakhla,23.7081,-15.9456,Morocco,MA,MAR,Dakhla-Oued Ed-Dahab,,106277.0,1504999983
Bouskoura,Bouskoura,33.4489,-7.6486,Morocco,MA,MAR,Casablanca-Settat,,103026.0,1504503306
Al Fqih Ben Çalah,Al Fqih Ben Calah,32.5,-6.5333,Morocco,MA,MAR,Béni Mellal-Khénifra,,102019.0,1504975687
Oued Zem,Oued Zem,32.8667,-6.5667,Morocco,MA,MAR,Béni Mellal-Khénifra,,95267.0,1504098746
Sidi Slimane,Sidi Slimane,34.26,-5.92,Morocco,MA,MAR,Rabat-Salé-Kénitra,,92989.0,1504101128
Errachidia,Errachidia,31.9319,-4.4244,Morocco,MA,MAR,Drâa-Tafilalet,admin,92374.0,1504005759
Guercif,Guercif,34.2333,-3.3667,Morocco,MA,MAR,Oriental,,90880.0,1504842310
Oulad Teïma,Oulad Teima,30.4,-9.2167,Morocco,MA,MAR,Souss-Massa,,89387.0,1504278611
Ben Guerir,Ben Guerir,32.23,-7.95,Morocco,MA,MAR,Marrakech-Safi,,88626.0,1504909564
Wislane,Wislane,30.225,-8.3801,Morocco,MA,MAR,Souss-Massa,,87910.0,1504929490
Tiflet,Tiflet,33.8931,-6.3069,Morocco,MA,MAR,Rabat-Salé-Kénitra,,86709.0,1504661999
Lqoliaa,Lqoliaa,30.2908,-9.4661,Morocco,MA,MAR,Souss-Massa,,83235.0,1504675410
Taroudannt,Taroudannt,30.471,-8.8806,Morocco,MA,MAR,Souss-Massa,,80149.0,1504415764
Sefrou,Sefrou,33.83,-4.83,Morocco,MA,MAR,Fès-Meknès,,79887.0,1504820285
Essaouira,Essaouira,31.5131,-9.7697,Morocco,MA,MAR,Marrakech-Safi,,77966.0,1504845522
Fnidq,Fnidq,35.85,-5.35,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,77436.0,1504670555
Ait Ali,Ait Ali,30.1765,-9.4886,Morocco,MA,MAR,Souss-Massa,,76646.0,1504009062
Sidi Qacem,Sidi Qacem,34.2167,-5.7,Morocco,MA,MAR,Rabat-Salé-Kénitra,,75672.0,1504300626
Tiznit,Tiznit,29.7167,-9.7167,Morocco,MA,MAR,Souss-Massa,,74699.0,1504399838
Moulay Abdallah,Moulay Abdallah,33.1978,-8.5883,Morocco,MA,MAR,Casablanca-Settat,,74671.0,1504563452
Tan-Tan,Tan-Tan,28.4333,-11.1,Morocco,MA,MAR,Guelmim-Oued Noun,,73209.0,1504164174
Warzat,Warzat,30.9167,-6.9167,Morocco,MA,MAR,Drâa-Tafilalet,,71067.0,1504381507
Youssoufia,Youssoufia,32.25,-8.5333,Morocco,MA,MAR,Marrakech-Safi,,67628.0,1504459034
Sa’ada,Sa'ada,31.621,-8.1303,Morocco,MA,MAR,Marrakech-Safi,,67086.0,1504926324
Martil,Martil,35.6167,-5.2667,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,64355.0,1504341023
Aïn Harrouda,Ain Harrouda,33.6372,-7.4483,Morocco,MA,MAR,Casablanca-Settat,,62420.0,1504718611
Souq Sebt Oulad Nemma,Souq Sebt Oulad Nemma,32.2948,-6.7007,Morocco,MA,MAR,Béni Mellal-Khénifra,,60076.0,1504194496
Skhirate,Skhirate,33.85,-7.03,Morocco,MA,MAR,Rabat-Salé-Kénitra,,59775.0,1504664899
Ouezzane,Ouezzane,34.8,-5.5833,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,59606.0,1504736892
Sidi Yahya Zaer,Sidi Yahya Zaer,33.7105,-6.8831,Morocco,MA,MAR,Rabat-Salé-Kénitra,,57790.0,1504365068
Benslimane,Benslimane,33.6167,-7.1167,Morocco,MA,MAR,Casablanca-Settat,,57101.0,1504790296
Semara,Semara,26.7394,-11.6703,Morocco,MA,MAR,Laâyoune-Sakia El Hamra,,57035.0,1504999984
Al Hoceïma,Al Hoceima,35.2472,-3.9322,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,56716.0,1504990575
Beni Enzar,Beni Enzar,35.2667,-2.9333,Morocco,MA,MAR,Oriental,,56582.0,1504616684
M’diq,M'diq,35.6858,-5.3253,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,56227.0,1504774869
Sidi Bennour,Sidi Bennour,32.65,-8.4333,Morocco,MA,MAR,Casablanca-Settat,,55815.0,1504893162
Midalt,Midalt,32.68,-4.73,Morocco,MA,MAR,Drâa-Tafilalet,,55304.0,1504279379
Douar Ain Chkef,Douar Ain Chkef,33.9619,-5.0813,Morocco,MA,MAR,Fès-Meknès,,54477.0,1504020762
Azrou,Azrou,33.4417,-5.2247,Morocco,MA,MAR,Fès-Meknès,,54350.0,1504585311
El Kelaa des Srarhna,El Kelaa des Srarhna,32.0481,-7.4083,Morocco,MA,MAR,Marrakech-Safi,,51404.0,1504846488
Ain El Aouda,Ain El Aouda,33.8111,-6.7922,Morocco,MA,MAR,Rabat-Salé-Kénitra,,49816.0,1504400263
Beni Yakhlef,Beni Yakhlef,33.6555,-7.3221,Morocco,MA,MAR,Casablanca-Settat,,48338.0,1504512130
Ad Darwa,Ad Darwa,33.4167,-7.5333,Morocco,MA,MAR,Casablanca-Settat,,47719.0,1504000451
Al Aaroui,Al Aaroui,35.0029,-3.0311,Morocco,MA,MAR,Oriental,,47599.0,1504779155
Qasbat Tadla,Qasbat Tadla,32.6,-6.2667,Morocco,MA,MAR,Béni Mellal-Khénifra,,47343.0,1504612704
Boujad,Boujad,32.7667,-6.4,Morocco,MA,MAR,Béni Mellal-Khénifra,,46893.0,1504259447
Tinajdad,Tinajdad,31.5,-5.0167,Morocco,MA,MAR,Drâa-Tafilalet,,43999.0,1504176217
Jerada,Jerada,34.3117,-2.1636,Morocco,MA,MAR,Oriental,,43506.0,1504230609
Douar Bni Malek,Douar Bni Malek,34.78,-5.6425,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,43282.0,1504252777
Chefchaouene,Chefchaouene,35.1714,-5.2697,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,42786.0,1504471687
Mrirt,Mrirt,33.1667,-5.5667,Morocco,MA,MAR,Béni Mellal-Khénifra,,42730.0,1504917091
Cabo Bojador,Cabo Bojador,26.1333,-14.5,Morocco,MA,MAR,Laâyoune-Sakia El Hamra,,42651.0,1504003884
Sidi Mohamed Lahmar,Sidi Mohamed Lahmar,34.7167,-6.2667,Morocco,MA,MAR,Rabat-Salé-Kénitra,,42637.0,1504538713
Tineghir,Tineghir,31.5147,-5.5328,Morocco,MA,MAR,Drâa-Tafilalet,,42044.0,1504760525
El Aïoun,El Aioun,34.5852,-2.5056,Morocco,MA,MAR,Oriental,,41832.0,1504312724
Azemmour,Azemmour,33.2878,-8.3422,Morocco,MA,MAR,Casablanca-Settat,,40920.0,1504675793
Temsia,Temsia,30.36,-9.414,Morocco,MA,MAR,Souss-Massa,,40780.0,1504419242
Zoumi,Zoumi,34.8,-5.35,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,40661.0,1504309761
Douar Laouamra,Douar Laouamra,31.8,-8.7167,Morocco,MA,MAR,Marrakech-Safi,,40605.0,1504542773
Zagora,Zagora,30.3306,-5.8381,Morocco,MA,MAR,Drâa-Tafilalet,,40067.0,1504579638
Ait Ourir,Ait Ourir,31.5644,-7.6628,Morocco,MA,MAR,Marrakech-Safi,,39108.0,1504763448
Sidi Bibi,Sidi Bibi,30.2333,-9.5333,Morocco,MA,MAR,Souss-Massa,,39042.0,1504682772
Aziylal,Aziylal,31.9669,-6.5694,Morocco,MA,MAR,Béni Mellal-Khénifra,,38520.0,1504084050
Sidi Yahia El Gharb,Sidi Yahia El Gharb,34.3058,-6.3058,Morocco,MA,MAR,Rabat-Salé-Kénitra,,37979.0,1504994850
Biougra,Biougra,30.2144,-9.3708,Morocco,MA,MAR,Souss-Massa,,37933.0,1504630552
Taounate,Taounate,34.5358,-4.64,Morocco,MA,MAR,Fès-Meknès,,37616.0,1504565730
Bouznika,Bouznika,33.7897,-7.1575,Morocco,MA,MAR,Casablanca-Settat,,37238.0,1504766743
Aourir,Aourir,30.4833,-9.6333,Morocco,MA,MAR,Souss-Massa,,36948.0,1504616385
Zaïo,Zaio,34.9333,-2.7333,Morocco,MA,MAR,Oriental,,35806.0,1504831853
Aguelmous,Aguelmous,33.15,-5.8333,Morocco,MA,MAR,Béni Mellal-Khénifra,,35626.0,1504241696
El Hajeb,El Hajeb,33.6928,-5.3711,Morocco,MA,MAR,Fès-Meknès,,35282.0,1504718907
Dabouziya,Dabouziya,33.3064,-8.3548,Morocco,MA,MAR,Casablanca-Settat,,34607.0,1504001026
Mnasra,Mnasra,34.7667,-5.5167,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,34429.0,1504815098
Zeghanghane,Zeghanghane,35.15,-3.0,Morocco,MA,MAR,Oriental,,34025.0,1504260154
Imzouren,Imzouren,35.15,-3.85,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,33852.0,1504878608
Oulad Zemam,Oulad Zemam,32.35,-6.6333,Morocco,MA,MAR,Béni Mellal-Khénifra,,33652.0,1504396811
Ben Ahmed,Ben Ahmed,33.0655,-7.2464,Morocco,MA,MAR,Casablanca-Settat,,33105.0,1504202051
Tit Mellil,Tit Mellil,33.5533,-7.4822,Morocco,MA,MAR,Casablanca-Settat,,32782.0,1504892729
Arbaoua,Arbaoua,34.9,-5.9167,Morocco,MA,MAR,Rabat-Salé-Kénitra,,32690.0,1504079088
Douar Oulad Hssine,Douar Oulad Hssine,33.068,-8.5107,Morocco,MA,MAR,Casablanca-Settat,,32130.0,1504473203
Bahharet Oulad Ayyad,Bahharet Oulad Ayyad,34.7702,-6.3047,Morocco,MA,MAR,Rabat-Salé-Kénitra,,31860.0,1504139256
Mechraa Bel Ksiri,Mechraa Bel Ksiri,34.56,-5.95,Morocco,MA,MAR,Rabat-Salé-Kénitra,,31497.0,1504646910
Mograne,Mograne,34.4167,-6.4333,Morocco,MA,MAR,Rabat-Salé-Kénitra,,31292.0,1504174936
Dar Ould Zidouh,Dar Ould Zidouh,32.3167,-6.9,Morocco,MA,MAR,Béni Mellal-Khénifra,,31170.0,1504900512
Asilah,Asilah,35.4667,-6.0333,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,31147.0,1504676037
Al ’Attawia,Al 'Attawia,31.8347,-7.3125,Morocco,MA,MAR,Marrakech-Safi,,30315.0,1504496327
Demnat,Demnat,31.7311,-7.0361,Morocco,MA,MAR,Béni Mellal-Khénifra,,29504.0,1504747424
Lalla Mimouna,Lalla Mimouna,34.85,-6.0669,Morocco,MA,MAR,Rabat-Salé-Kénitra,,29479.0,1504801532
Fritissa,Fritissa,33.6167,-3.55,Morocco,MA,MAR,Fès-Meknès,,29460.0,1504842954
Arfoud,Arfoud,31.4361,-4.2328,Morocco,MA,MAR,Drâa-Tafilalet,,29279.0,1504190665
Tameslouht,Tameslouht,31.5,-8.1,Morocco,MA,MAR,Marrakech-Safi,,28978.0,1504936367
Bou Arfa,Bou Arfa,32.5309,-1.965,Morocco,MA,MAR,Oriental,,28846.0,1504454457
Sidi Smai’il,Sidi Smai'il,32.8167,-8.5,Morocco,MA,MAR,Casablanca-Settat,,28733.0,1504182456
Taza,Taza,35.0639,-5.2025,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,28713.0,1504253957
Souk et Tnine Jorf el Mellah,Souk et Tnine Jorf el Mellah,34.4833,-5.5169,Morocco,MA,MAR,Rabat-Salé-Kénitra,,28681.0,1504332951
Mehdya,Mehdya,34.2597,-6.65,Morocco,MA,MAR,Rabat-Salé-Kénitra,,28636.0,1504438304
Oulad Hammou,Oulad Hammou,33.2499,-8.3346,Morocco,MA,MAR,Casablanca-Settat,,28449.0,1504007795
Douar Oulad Aj-jabri,Douar Oulad Aj-jabri,32.2567,-6.7839,Morocco,MA,MAR,Béni Mellal-Khénifra,,28438.0,1504025075
Aïn Taoujdat,Ain Taoujdat,33.9333,-5.2167,Morocco,MA,MAR,Fès-Meknès,,28288.0,1504497923
Dar Bel Hamri,Dar Bel Hamri,34.1889,-5.9697,Morocco,MA,MAR,Rabat-Salé-Kénitra,,28156.0,1504221505
