city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Kathmandu,Kathmandu,27.71,85.32,Nepal,NP,NPL,,primary,845767.0,1524589448
Bharatpur,Bharatpur,27.6833,84.4333,Nepal,NP,NPL,,,369377.0,1524780273
Pokhara,Pokhara,28.2083,83.9889,Nepal,NP,NPL,Gaṇḍakī,admin,353841.0,1524416084
Jitpur,Jitpur,27.6666,85.3333,Nepal,NP,NPL,,,337785.0,1524593184
Birāṭnagar,Biratnagar,26.4542,87.2797,Nepal,NP,NPL,Province Number One,admin,242548.0,1524520011
Buḍhānilkanṭha,Budhanilkantha,27.7667,85.3667,Nepal,NP,NPL,,,179688.0,1524541414
Ghorāhī,Ghorahi,28.0333,82.4833,Nepal,NP,NPL,,,156164.0,1524494654
Birgañj,Birganj,27.0,84.8667,Nepal,NP,NPL,,,135904.0,1524676691
Tokha,Tokha,27.7592,85.3283,Nepal,NP,NPL,,,133755.0,1524599626
Butwāl,Butwal,27.7,83.466,Nepal,NP,NPL,Lumbinī,admin,118462.0,1524843250
Dharān,Dharan,26.8167,87.2833,Nepal,NP,NPL,,,116181.0,1524888375
Lahān,Lahan,26.7083,86.4917,Nepal,NP,NPL,,,102031.0,1524293418
Dhangaḍhi̇̄,Dhangadhi,28.7136,80.5692,Nepal,NP,NPL,,,101970.0,1524561456
Janakpur,Janakpur,26.7286,85.925,Nepal,NP,NPL,Madhesh,admin,97776.0,1524563587
Heṭauḍā,Hetauda,27.4167,85.0333,Nepal,NP,NPL,Bāgmatī,admin,84000.0,1524551914
Bhaktapur,Bhaktapur,27.6722,85.4278,Nepal,NP,NPL,,,81748.0,1524449093
Godāwari̇̄,Godawari,28.91,80.59,Nepal,NP,NPL,Sudūrpashchim,admin,78018.0,1524020578
Īṭahari̇̄,Itahari,26.6631,87.2744,Nepal,NP,NPL,,,74501.0,1524696654
Sanwal,Sanwal,27.6061,83.6606,Nepal,NP,NPL,Lumbinī,,72621.0,1524197976
Nepālgañj,Nepalganj,28.05,81.6167,Nepal,NP,NPL,,,72503.0,1524207917
Ratnanagar,Ratnanagar,27.6167,84.5,Nepal,NP,NPL,,,69851.0,1524017473
Bardi̇̄bās,Bardibas,26.98,85.9,Nepal,NP,NPL,,,68353.0,1524003789
Banepā,Banepa,27.6297,85.5203,Nepal,NP,NPL,,,67629.0,1524404748
Kirtipur,Kirtipur,27.6781,85.2769,Nepal,NP,NPL,,,65602.0,1524402867
Bhairāhawā,Bhairahawa,27.5,83.45,Nepal,NP,NPL,Lumbinī,minor,63483.0,1524444140
Tilakpur,Tilakpur,28.525,81.1208,Nepal,NP,NPL,,,56127.0,1524027768
Gulariyā,Gulariya,28.2331,81.3331,Nepal,NP,NPL,,,55747.0,1524608654
Gorkhā,Gorkha,28.0,84.6333,Nepal,NP,NPL,Karṇālī,,53285.0,1524733316
Bhajani,Bhajani,28.4957,80.9816,Nepal,NP,NPL,,,52128.0,1524835482
Tulsīpur,Tulsipur,28.1278,82.2956,Nepal,NP,NPL,,,51537.0,1524921574
Wāliṅ,Walin,27.9889,83.7675,Nepal,NP,NPL,,,51243.0,1524405522
Simraungaḍh,Simraungadh,26.8894,85.1169,Nepal,NP,NPL,,,49939.0,1524001163
Birendranagar,Birendranagar,28.6,81.6333,Nepal,NP,NPL,Karṇālī,admin,47914.0,1524574121
Kalaiyā,Kalaiya,27.0333,85.0,Nepal,NP,NPL,,,42826.0,1524196942
Pā̃chkhāl,Pachkhal,27.65,85.6167,Nepal,NP,NPL,,,42011.0,1524811458
Ti̇̄npiple,Tinpiple,27.65,85.6167,Nepal,NP,NPL,,,42011.0,1524388860
Galkot,Galkot,28.2,83.4167,Nepal,NP,NPL,,,39277.0,1524020706
Shambhunāth,Shambhunath,26.63,86.67,Nepal,NP,NPL,Madhesh,,38018.0,1524032035
Hanumānnagar,Hanumannagar,26.5406,86.7486,Nepal,NP,NPL,,,37738.0,1524363655
Ratnapur,Ratnapur,27.86,83.89,Nepal,NP,NPL,,,35396.0,1524009803
Bārhadashi̇̄,Barhadashi,26.55,87.92,Nepal,NP,NPL,,,33653.0,1524013222
Musikoṭ-Khalaṅgā,Musikot-Khalanga,28.63,82.49,Nepal,NP,NPL,,,32939.0,1524443799
Udaypur Gaḍhi̇̄,Udaypur Gadhi,26.9333,86.5167,Nepal,NP,NPL,,,30731.0,1524108057
Bāglung,Baglung,28.2667,83.6,Nepal,NP,NPL,,,29360.0,1524266307
Shikharpur,Shikharpur,27.7467,85.5097,Nepal,NP,NPL,,,29318.0,1524315710
Pālpā,Palpa,27.8667,83.55,Nepal,NP,NPL,,,29095.0,1524400922
Siraha,Siraha,26.6528,86.2075,Nepal,NP,NPL,,,28442.0,1524369856
Panauti,Panauti,27.5833,85.5167,Nepal,NP,NPL,,,27358.0,1524203755
Bidur,Bidur,27.89,85.1597,Nepal,NP,NPL,,,26750.0,1524355084
Khā̃dbāri̇̄,Khadbari,27.3667,87.2167,Nepal,NP,NPL,,,26301.0,1524504106
Malaṅgawā,Malangawa,26.8667,85.5667,Nepal,NP,NPL,,,25102.0,1524985987
Dakṣiṇkāli̇̄,Daksinkali,27.5833,85.25,Nepal,NP,NPL,,,24297.0,1524170564
Jaleshwar,Jaleshwar,26.6333,85.8,Nepal,NP,NPL,,,23533.0,1524945108
Bhairi̇̄,Bhairi,28.93,81.63,Nepal,NP,NPL,,,21233.0,1524022332
Dadeldhurā,Dadeldhura,29.3,80.6,Nepal,NP,NPL,,,19014.0,1524639464
Bhadrapur,Bhadrapur,26.5444,88.0944,Nepal,NP,NPL,,,18164.0,1524000201
Barīkot,Barikot,29.04,82.33,Nepal,NP,NPL,Karṇālī,,18083.0,1524411277
Īlām,Ilam,26.908,87.926,Nepal,NP,NPL,,,17491.0,1524034598
Rājgaḍh,Rajgadh,26.5,87.9333,Nepal,NP,NPL,,,15354.0,1524013031
Rāmechhāp,Ramechhap,27.326,86.087,Nepal,NP,NPL,,,15000.0,1524628973
Bhimphedi,Bhimphedi,27.551,85.13,Nepal,NP,NPL,,,15000.0,1524596923
Salyan,Salyan,28.35,82.1833,Nepal,NP,NPL,,,15000.0,1524828921
Iṭaharā,Itahara,26.55,87.62,Nepal,NP,NPL,,,14931.0,1524010413
Bandi̇̄pur,Bandipur,27.9333,84.4167,Nepal,NP,NPL,,,12450.0,1524589061
Pragatinagar,Pragatinagar,27.68,84.19,Nepal,NP,NPL,,,11771.0,1524028516
Libānggaon,Libanggaon,28.3,82.6333,Nepal,NP,NPL,,,10417.0,1524465146
Manahari̇̄,Manahari,27.55,84.79,Nepal,NP,NPL,,,10013.0,1524017214
Sarkeghāṭ,Sarkeghat,29.7833,81.9333,Nepal,NP,NPL,Karṇālī,,9868.0,1524035735
Haraiyā,Haraiya,27.09,85.09,Nepal,NP,NPL,,,9710.0,1524137444
Amritpur,Amritpur,28.1167,81.6,Nepal,NP,NPL,,,9680.0,1524026946
Jumlā,Jumla,29.25,82.2167,Nepal,NP,NPL,,,9073.0,1524473131
Kalaun,Kalaun,29.84,80.54,Nepal,NP,NPL,Sudūrpashchim,,8577.0,1524035219
Kathmandu,Kathmandu,27.71,85.32,Nepal,NP,NPL,,primary,845767.0,1524589448
Bharatpur,Bharatpur,27.6833,84.4333,Nepal,NP,NPL,,,369377.0,1524780273
Pokhara,Pokhara,28.2083,83.9889,Nepal,NP,NPL,Gaṇḍakī,admin,353841.0,1524416084
Jitpur,Jitpur,27.6666,85.3333,Nepal,NP,NPL,,,337785.0,1524593184
Birāṭnagar,Biratnagar,26.4542,87.2797,Nepal,NP,NPL,Province Number One,admin,242548.0,1524520011
