city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tilburg,Tilburg,51.55,5.0833,Netherlands,NL,NLD,Noord-Brabant,minor,1944588.0,1528817379
Amsterdam,Amsterdam,52.3728,4.8936,Netherlands,NL,NLD,Noord-Holland,primary,1459402.0,1528355309
Rotterdam,Rotterdam,51.92,4.48,Netherlands,NL,NLD,Zuid-Holland,minor,664311.0,1528892850
The Hague,The Hague,52.08,4.31,Netherlands,NL,NLD,Zuid-Holland,primary,548320.0,1528799905
Utrecht,Utrecht,52.0908,5.1217,Netherlands,NL,NLD,Utrecht,admin,359370.0,1528871692
Maastricht,Maastricht,50.85,5.6833,Netherlands,NL,NLD,Limburg,admin,277721.0,1528563623
Eindhoven,Eindhoven,51.4333,5.4833,Netherlands,NL,NLD,Noord-Brabant,minor,243730.0,1528636212
Groningen,Groningen,53.2189,6.5675,Netherlands,NL,NLD,Groningen,admin,233273.0,1528295161
Almere,Almere,52.3667,5.2167,Netherlands,NL,NLD,Flevoland,minor,214715.0,1528683566
Breda,Breda,51.5889,4.7758,Netherlands,NL,NLD,Noord-Brabant,minor,184126.0,1528921549
Nijmegen,Nijmegen,51.8475,5.8625,Netherlands,NL,NLD,Gelderland,minor,177659.0,1528136727
Arnhem,Arnhem,51.9833,5.9167,Netherlands,NL,NLD,Gelderland,admin,164096.0,1528862562
Haarlem,Haarlem,52.3833,4.6333,Netherlands,NL,NLD,Noord-Holland,admin,162543.0,1528822178
Enschede,Enschede,52.2225,6.8925,Netherlands,NL,NLD,Overijssel,minor,159703.0,1528181808
’s-Hertogenbosch,'s-Hertogenbosch,51.6833,5.3,Netherlands,NL,NLD,Noord-Brabant,admin,157486.0,1528012333
Amersfoort,Amersfoort,52.15,5.3833,Netherlands,NL,NLD,Utrecht,minor,157462.0,1528206992
Zaanstad,Zaanstad,52.4333,4.8167,Netherlands,NL,NLD,Noord-Holland,,156901.0,1528395473
Apeldoorn,Apeldoorn,52.2167,5.9667,Netherlands,NL,NLD,Gelderland,minor,138945.0,1528057552
Zwolle,Zwolle,52.5167,6.1,Netherlands,NL,NLD,Overijssel,admin,129840.0,1528690076
Zoetermeer,Zoetermeer,52.0667,4.5,Netherlands,NL,NLD,Zuid-Holland,minor,125267.0,1528416914
Leeuwarden,Leeuwarden,53.2,5.7833,Netherlands,NL,NLD,Fryslân,admin,124481.0,1528992603
Leiden,Leiden,52.16,4.49,Netherlands,NL,NLD,Zuid-Holland,minor,124093.0,1528966223
Dordrecht,Dordrecht,51.7958,4.6783,Netherlands,NL,NLD,Zuid-Holland,minor,121434.0,1528952691
Alphen aan den Rijn,Alphen aan den Rijn,52.1333,4.6667,Netherlands,NL,NLD,Zuid-Holland,minor,114182.0,1528593016
Alkmaar,Alkmaar,52.6333,4.75,Netherlands,NL,NLD,Noord-Holland,minor,111766.0,1528566376
