city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Auckland,Auckland,-36.8406,174.74,New Zealand,NZ,NZL,Auckland,admin,1346091.0,1554435911
Christchurch,Christchurch,-43.531,172.6365,New Zealand,NZ,NZL,Canterbury,admin,383200.0,1554377228
Manukau City,Manukau City,-37.0,174.885,New Zealand,NZ,NZL,Auckland,,375600.0,1554797148
Wellington,Wellington,-41.2889,174.7772,New Zealand,NZ,NZL,Wellington,primary,216200.0,1554772152
Northcote,Northcote,-36.8019,174.7494,New Zealand,NZ,NZL,Auckland,,205605.0,1554717659
Hamilton,Hamilton,-37.7833,175.2833,New Zealand,NZ,NZL,Waikato,admin,176500.0,1554873040
Tauranga,Tauranga,-37.6833,176.1667,New Zealand,NZ,NZL,Bay of Plenty,,151300.0,1554759867
Lower Hutt,Lower Hutt,-41.2167,174.9167,New Zealand,NZ,NZL,Wellington,,103400.0,1554623632
Dunedin,Dunedin,-45.8742,170.5036,New Zealand,NZ,NZL,Otago,admin,99885.0,1554475997
Palmerston North,Palmerston North,-40.355,175.6117,New Zealand,NZ,NZL,Manawatu-Wanganui,admin,76236.0,1554138183
Napier,Napier,-39.4903,176.9178,New Zealand,NZ,NZL,Hawke’s Bay,admin,62241.0,1554064936
New Plymouth,New Plymouth,-39.0578,174.0742,New Zealand,NZ,NZL,Taranaki,,57600.0,1554939405
Porirua,Porirua,-41.1333,174.85,New Zealand,NZ,NZL,Wellington,,55218.0,1554561880
Rotorua,Rotorua,-38.1378,176.2514,New Zealand,NZ,NZL,Bay of Plenty,,54204.0,1554000379
Whangarei,Whangarei,-35.725,174.3236,New Zealand,NZ,NZL,Northland,admin,50784.0,1554000636
Invercargill,Invercargill,-46.4131,168.3475,New Zealand,NZ,NZL,Southland,admin,47625.0,1554148942
Nelson,Nelson,-41.2708,173.2839,New Zealand,NZ,NZL,Nelson,admin,46437.0,1554017097
Upper Hutt,Upper Hutt,-41.1333,175.05,New Zealand,NZ,NZL,Wellington,,41000.0,1554000042
Whanganui,Whanganui,-39.9325,175.0519,New Zealand,NZ,NZL,Manawatu-Wanganui,,39400.0,1554827998
Gisborne,Gisborne,-38.6625,178.0178,New Zealand,NZ,NZL,Gisborne,admin,34527.0,1554359840
Paraparaumu,Paraparaumu,-40.9144,175.0056,New Zealand,NZ,NZL,Wellington,,28701.0,1554166459
Timaru,Timaru,-44.3931,171.2508,New Zealand,NZ,NZL,Canterbury,,27501.0,1554243304
Blenheim,Blenheim,-41.514,173.96,New Zealand,NZ,NZL,Marlborough,admin,26400.0,1554001426
Taupo,Taupo,-38.6875,176.0694,New Zealand,NZ,NZL,Waikato,,23622.0,1554654784
