city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Karachi,Karachi,24.86,67.01,Pakistan,PK,PAK,Sindh,admin,15738000.0,1586129469
Lahore,Lahore,31.5497,74.3436,Pakistan,PK,PAK,Punjab,admin,12306000.0,1586801463
Kotla Qasim Khan,Kotla Qasim Khan,32.5833,73.75,Pakistan,PK,PAK,Punjab,,3219375.0,1586216308
Faisalabad,Faisalabad,31.4167,73.0911,Pakistan,PK,PAK,Punjab,minor,3203846.0,1586323916
Rawalpindi,Rawalpindi,33.6,73.0333,Pakistan,PK,PAK,Punjab,minor,2098231.0,1586344001
Gujranwala,Gujranwala,32.1567,74.19,Pakistan,PK,PAK,Punjab,minor,2027001.0,1586400472
Peshawar,Peshawar,34.0144,71.5675,Pakistan,PK,PAK,Khyber Pakhtunkhwa,admin,1970042.0,1586851102
Multan,Multan,30.1978,71.4697,Pakistan,PK,PAK,Punjab,minor,1871843.0,1586256291
Hyderabad City,Hyderabad City,25.3792,68.3683,Pakistan,PK,PAK,Sindh,minor,1732693.0,1586185019
Islamabad,Islamabad,33.6931,73.0639,Pakistan,PK,PAK,Islamabad,primary,1014825.0,1586306717
Quetta,Quetta,30.1833,67.0,Pakistan,PK,PAK,Balochistan,admin,1001205.0,1586556108
Bahawalpur,Bahawalpur,29.3956,71.6836,Pakistan,PK,PAK,Punjab,minor,762111.0,1586038700
Sargodha,Sargodha,32.0836,72.6711,Pakistan,PK,PAK,Punjab,minor,659862.0,1586696588
Chak Forty-one,Chak Forty-one,31.0167,73.85,Pakistan,PK,PAK,Punjab,,634236.0,1586438684
Sialkot City,Sialkot City,32.4925,74.5311,Pakistan,PK,PAK,Punjab,minor,591668.0,1586141444
Sukkur,Sukkur,27.7061,68.8483,Pakistan,PK,PAK,Sindh,minor,499900.0,1586383591
Pindi Bhattian,Pindi Bhattian,31.8958,73.2761,Pakistan,PK,PAK,Punjab,,493222.0,1586986678
Larkana,Larkana,27.5583,68.2111,Pakistan,PK,PAK,Sindh,minor,490508.0,1586678302
Chiniot,Chiniot,31.7194,72.9842,Pakistan,PK,PAK,Punjab,minor,477781.0,1586413435
Shekhupura,Shekhupura,31.7111,73.9878,Pakistan,PK,PAK,Punjab,minor,473129.0,1586291726
Surab,Surab,28.4925,66.2597,Pakistan,PK,PAK,Balochistan,,467000.0,1586127180
Sanghar,Sanghar,26.0442,68.9536,Pakistan,PK,PAK,Sindh,minor,434087.0,1586840922
Rahimyar Khan,Rahimyar Khan,28.42,70.3,Pakistan,PK,PAK,Punjab,,420419.0,1586136399
Jhang City,Jhang City,31.2694,72.3161,Pakistan,PK,PAK,Punjab,minor,414131.0,1586288677
Mardan,Mardan,34.2012,72.0258,Pakistan,PK,PAK,Khyber Pakhtunkhwa,minor,404436.0,1586001546
Dera Ghazi Khan,Dera Ghazi Khan,30.0331,70.64,Pakistan,PK,PAK,Punjab,minor,399064.0,1586002238
Gujrat,Gujrat,32.5739,74.0789,Pakistan,PK,PAK,Punjab,minor,390533.0,1586006990
Cantonment,Cantonment,31.5167,74.3833,Pakistan,PK,PAK,Punjab,,374872.0,1586338974
Bhawana,Bhawana,31.5661,72.6461,Pakistan,PK,PAK,Punjab,,373841.0,1586746564
Malakwal,Malakwal,32.5531,73.2067,Pakistan,PK,PAK,Punjab,,371869.0,1586718612
Thari Mir Wah,Thari Mir Wah,27.0683,68.6023,Pakistan,PK,PAK,Sindh,,352491.0,1586971248
Sarai Alamgir,Sarai Alamgir,32.9,73.75,Pakistan,PK,PAK,Punjab,,350288.0,1586338206
Shah Latif Town,Shah Latif Town,24.8806,67.1625,Pakistan,PK,PAK,Sindh,,335823.0,1586521586
Khipro,Khipro,25.823,69.377,Pakistan,PK,PAK,Sindh,,332833.0,1586003885
Chak Jhumra,Chak Jhumra,31.5667,73.1833,Pakistan,PK,PAK,Punjab,,332461.0,1586091428
Mirpur Mathelo,Mirpur Mathelo,28.0167,69.5333,Pakistan,PK,PAK,Sindh,,327821.0,1586000335
Kot Radha Kishan,Kot Radha Kishan,31.1725,74.0997,Pakistan,PK,PAK,Punjab,,317000.0,1586349856
Kasur,Kasur,31.1167,74.45,Pakistan,PK,PAK,Punjab,minor,314617.0,1586858135
Khairpur Tamewah,Khairpur Tamewah,29.58,72.2328,Pakistan,PK,PAK,Punjab,,300000.0,1586275896
Chakwal,Chakwal,32.9303,72.8556,Pakistan,PK,PAK,Punjab,minor,299751.0,1586412908
Mingaora,Mingaora,34.7717,72.36,Pakistan,PK,PAK,Khyber Pakhtunkhwa,,279914.0,1586782526
Khwazakhela,Khwazakhela,34.9333,72.4667,Pakistan,PK,PAK,Khyber Pakhtunkhwa,,265571.0,1586769187
Nawabshah,Nawabshah,26.2442,68.41,Pakistan,PK,PAK,Sindh,minor,263102.0,1586294005
Kotri,Kotri,25.374,68.3013,Pakistan,PK,PAK,Sindh,,259358.0,1586308347
Sahiwal,Sahiwal,30.6611,73.1083,Pakistan,PK,PAK,Punjab,minor,247706.0,1586672083
Mehrabpur,Mehrabpur,27.0994,68.4208,Pakistan,PK,PAK,Sindh,,247280.0,1586005380
Hafizabad,Hafizabad,32.0714,73.6878,Pakistan,PK,PAK,Punjab,minor,245751.0,1586945951
Mirpur Khas,Mirpur Khas,25.525,69.0158,Pakistan,PK,PAK,Sindh,minor,236961.0,1586156251
Okara,Okara,30.8092,73.4536,Pakistan,PK,PAK,Punjab,minor,232386.0,1586880900
Khanewal,Khanewal,30.3,71.9333,Pakistan,PK,PAK,Punjab,minor,227059.0,1586883649
Ratodero,Ratodero,27.8,68.2833,Pakistan,PK,PAK,Sindh,,224666.0,1586891728
Thatta,Thatta,24.7461,67.9244,Pakistan,PK,PAK,Sindh,minor,220000.0,1586208265
Chilas,Chilas,35.4194,74.0944,Pakistan,PK,PAK,Gilgit-Baltistan,minor,214000.0,1586064350
Turbat,Turbat,26.0042,63.0606,Pakistan,PK,PAK,Balochistan,minor,213557.0,1586802806
Mirpur Bhtoro,Mirpur Bhtoro,24.73,68.25,Pakistan,PK,PAK,Sindh,,210959.0,1586808713
Mandi Burewala,Mandi Burewala,30.1592,72.6817,Pakistan,PK,PAK,Punjab,,203454.0,1586997587
Jacobabad,Jacobabad,28.2769,68.4514,Pakistan,PK,PAK,Sindh,minor,200815.0,1586964444
Parachinar,Parachinar,33.9,70.1,Pakistan,PK,PAK,Khyber Pakhtunkhwa,,195502.0,1586337795
Jhelum,Jhelum,32.9425,73.7256,Pakistan,PK,PAK,Punjab,minor,190425.0,1586164490
Saddiqabad,Saddiqabad,28.3006,70.1302,Pakistan,PK,PAK,Punjab,,189876.0,1586378758
Kuchlagh,Kuchlagh,31.0833,67.1056,Pakistan,PK,PAK,Balochistan,,184818.0,1586004129
Khapalu,Khapalu,35.1667,76.3333,Pakistan,PK,PAK,Gilgit-Baltistan,,175000.0,1586002802
Talhar,Talhar,24.8833,68.8167,Pakistan,PK,PAK,Sindh,,172014.0,1586495104
