city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Asunción,Asuncion,-25.3,-57.6333,Paraguay,PY,PRY,Asunción,primary,477346.0,1600057911
Ciudad del Este,Ciudad del Este,-25.5167,-54.6167,Paraguay,PY,PRY,Alto Paraná,admin,308983.0,1600265252
San Lorenzo,San Lorenzo,-25.34,-57.52,Paraguay,PY,PRY,Central,,287977.0,1600667303
Luque,Luque,-25.27,-57.4872,Paraguay,PY,PRY,Central,,263604.0,1600773205
Capiatá,Capiata,-25.35,-57.42,Paraguay,PY,PRY,Central,,224152.0,1600122166
Fernando de la Mora,Fernando de la Mora,-25.32,-57.54,Paraguay,PY,PRY,Central,,183390.0,1600276744
Ñemby,Nemby,-25.3935,-57.5443,Paraguay,PY,PRY,Central,,126817.0,1600221007
Pedro Juan Caballero,Pedro Juan Caballero,-22.53,-55.75,Paraguay,PY,PRY,Amambay,admin,115583.0,1600089732
Presidente Franco,Presidente Franco,-25.5333,-54.6167,Paraguay,PY,PRY,Alto Paraná,,104677.0,1600286603
Itauguá,Itaugua,-25.3833,-57.3333,Paraguay,PY,PRY,Central,,100456.0,1600707082
Mariano Roque Alonso,Mariano Roque Alonso,-25.2122,-57.5331,Paraguay,PY,PRY,Central,,97585.0,1600527067
Limpio,Limpio,-25.1683,-57.4942,Paraguay,PY,PRY,Central,,87301.0,1600926242
Itá,Ita,-25.4833,-57.35,Paraguay,PY,PRY,Central,,81084.0,1600969782
Villa Elisa,Villa Elisa,-25.5075,-57.5725,Paraguay,PY,PRY,Central,,75933.0,1600500180
San Antonio,San Antonio,-25.3797,-57.6097,Paraguay,PY,PRY,Central,,69976.0,1600088413
Encarnación,Encarnacion,-27.33,-55.88,Paraguay,PY,PRY,Itapúa,admin,69868.0,1600377819
Areguá,Aregua,-25.2953,-57.4147,Paraguay,PY,PRY,Central,admin,67487.0,1600141362
Ayolas,Ayolas,-27.4,-56.9,Paraguay,PY,PRY,Misiones,,67487.0,1600970538
Villa Curuguaty,Villa Curuguaty,-24.48,-55.71,Paraguay,PY,PRY,Canindeyú,,65310.0,1600752971
Horqueta,Horqueta,-23.3442,-57.0436,Paraguay,PY,PRY,Concepción,,60031.0,1600363376
Villa Hayes,Villa Hayes,-25.1,-57.5667,Paraguay,PY,PRY,Presidente Hayes,admin,57217.0,1600405064
Caacupé,Caacupe,-25.3861,-57.1408,Paraguay,PY,PRY,Cordillera,admin,56864.0,1600095784
Villarrica,Villarrica,-25.75,-56.4333,Paraguay,PY,PRY,Guairá,admin,56385.0,1600446518
San Estanislao,San Estanislao,-24.65,-56.4333,Paraguay,PY,PRY,San Pedro,,52983.0,1600701903
Coronel Oviedo,Coronel Oviedo,-25.4167,-56.45,Paraguay,PY,PRY,Caaguazú,admin,52400.0,1600075989
San Ignacio,San Ignacio,-26.8867,-57.0283,Paraguay,PY,PRY,Misiones,,50468.0,1600346775
Concepción,Concepcion,-23.4,-57.43,Paraguay,PY,PRY,Concepción,admin,45068.0,1600557615
Salto del Guairá,Salto del Guaira,-24.02,-54.34,Paraguay,PY,PRY,Canindeyú,admin,37600.0,1600283545
Villeta,Villeta,-25.51,-57.56,Paraguay,PY,PRY,Central,,36985.0,1600551877
San Pedro de Ycuamandiyú,San Pedro de Ycuamandiyu,-24.1,-57.0833,Paraguay,PY,PRY,San Pedro,admin,35021.0,1600189153
Ypané,Ypane,-25.45,-57.53,Paraguay,PY,PRY,Central,,34943.0,1600647389
Yhú,Yhu,-25.06,-55.93,Paraguay,PY,PRY,Caaguazú,,34737.0,1600450977
Guarambaré,Guarambare,-25.49,-57.46,Paraguay,PY,PRY,Central,,33208.0,1600825126
Carapeguá,Carapegua,-25.769,-57.247,Paraguay,PY,PRY,Paraguarí,,32939.0,1600844405
Pilar,Pilar,-26.87,-58.3,Paraguay,PY,PRY,Ñeembucú,admin,32810.0,1600377954
Yaguarón,Yaguaron,-25.5667,-57.2833,Paraguay,PY,PRY,Paraguarí,,32000.0,1600386044
Yby Yaú,Yby Yau,-22.9631,-56.5358,Paraguay,PY,PRY,Concepción,,31290.0,1600498095
Ypacaraí,Ypacarai,-25.3833,-57.2667,Paraguay,PY,PRY,Central,,30150.0,1600844536
Teniente Primero Manuel Irala Fernández,Teniente Primero Manuel Irala Fernandez,-22.814,-59.586,Paraguay,PY,PRY,Presidente Hayes,,25890.0,1600002648
