city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Lima,Lima,-12.06,-77.0375,Peru,PE,PER,Lima,primary,10320000.0,1604728603
Arequipa,Arequipa,-16.4,-71.5333,Peru,PE,PER,Arequipa,admin,1008290.0,1604723954
Trujillo,Trujillo,-8.112,-79.0288,Peru,PE,PER,La Libertad,admin,935147.0,1604613706
Chiclayo,Chiclayo,-6.763,-79.8366,Peru,PE,PER,Lambayeque,admin,552508.0,1604799615
Piura,Piura,-5.2,-80.6333,Peru,PE,PER,Piura,admin,473025.0,1604331641
Cusco,Cusco,-13.525,-71.9722,Peru,PE,PER,Cusco,admin,428450.0,1604162901
Callao,Callao,-12.0522,-77.1392,Peru,PE,PER,Callao,admin,415888.0,1604422141
Huancayo,Huancayo,-12.0667,-75.2167,Peru,PE,PER,Junín,admin,378203.0,1604249985
Iquitos,Iquitos,-3.75,-73.25,Peru,PE,PER,Loreto,admin,377609.0,1604493809
Pucallpa,Pucallpa,-8.3833,-74.55,Peru,PE,PER,Ucayali,admin,326040.0,1604478712
Chimbote,Chimbote,-9.0745,-78.5936,Peru,PE,PER,Ancash,,291408.0,1604199858
Tacna,Tacna,-18.0147,-70.2489,Peru,PE,PER,Tacna,admin,286240.0,1604388134
Ica,Ica,-14.0667,-75.7333,Peru,PE,PER,Ica,admin,282407.0,1604607907
Juliaca,Juliaca,-15.4833,-70.1333,Peru,PE,PER,Puno,,276110.0,1604174464
Tarapoto,Tarapoto,-6.4833,-76.3667,Peru,PE,PER,San Martín,,240453.0,1604622202
Ayacucho,Ayacucho,-13.1631,-74.2244,Peru,PE,PER,Ayacucho,admin,216444.0,1604300430
Cajamarca,Cajamarca,-7.1667,-78.5167,Peru,PE,PER,Cajamarca,admin,201329.0,1604091119
Huacho,Huacho,-11.1067,-77.605,Peru,PE,PER,Lima,admin,200585.0,1604316784
Huánuco,Huanuco,-9.9295,-76.2397,Peru,PE,PER,Huánuco,admin,196627.0,1604589102
Sullana,Sullana,-4.9,-80.6833,Peru,PE,PER,Piura,,162434.0,1604666111
Huaycan,Huaycan,-12.0181,-76.8139,Peru,PE,PER,Lima,,160000.0,1604578883
Barranca,Barranca,-10.7541,-77.761,Peru,PE,PER,Lima,,144381.0,1604547675
Puno,Puno,-15.8433,-70.0236,Peru,PE,PER,Puno,admin,128637.0,1604227042
San Ignacio,San Ignacio,-5.1456,-79.0017,Peru,PE,PER,Cajamarca,,127523.0,1604203555
Huaraz,Huaraz,-9.5333,-77.5333,Peru,PE,PER,Ancash,admin,118836.0,1604026500
Pisco,Pisco,-13.7167,-76.2,Peru,PE,PER,Ica,,109965.0,1604438126
Talara,Talara,-4.5799,-81.2719,Peru,PE,PER,Piura,,99600.0,1604790735
Tumbes,Tumbes,-3.5708,-80.4597,Peru,PE,PER,Tumbes,admin,96946.0,1604505281
Jaén,Jaen,-5.7083,-78.8083,Peru,PE,PER,Cajamarca,,93631.0,1604707495
Chosica,Chosica,-11.9361,-76.6972,Peru,PE,PER,Lima,,88606.0,1604040866
Puerto Maldonado,Puerto Maldonado,-12.6,-69.1833,Peru,PE,PER,Madre de Dios,admin,85024.0,1604871130
Chulucanas,Chulucanas,-5.0961,-80.1647,Peru,PE,PER,Piura,,82521.0,1604692561
Andahuaylas,Andahuaylas,-13.6575,-73.3833,Peru,PE,PER,Apurímac,,80000.0,1604615351
