city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Warsaw,Warsaw,52.23,21.0111,Poland,PL,POL,Mazowieckie,primary,1860281.0,1616024847
Kraków,Krakow,50.0614,19.9372,Poland,PL,POL,Małopolskie,admin,804237.0,1616172264
Wrocław,Wroclaw,51.11,17.0325,Poland,PL,POL,Dolnośląskie,admin,672929.0,1616108520
Łódź,Lodz,51.7769,19.4547,Poland,PL,POL,Łódzkie,admin,670642.0,1616832750
Poznań,Poznan,52.4083,16.9336,Poland,PL,POL,Wielkopolskie,admin,546859.0,1616725607
Gdańsk,Gdansk,54.3475,18.6453,Poland,PL,POL,Pomorskie,admin,486022.0,1616406372
Szczecin,Szczecin,53.4325,14.5481,Poland,PL,POL,Zachodniopomorskie,admin,396168.0,1616256546
Bydgoszcz,Bydgoszcz,53.1219,18.0003,Poland,PL,POL,Kujawsko-Pomorskie,admin,337666.0,1616454014
Lublin,Lublin,51.25,22.5667,Poland,PL,POL,Lubelskie,admin,334681.0,1616953501
Białystok,Bialystok,53.1353,23.1456,Poland,PL,POL,Podlaskie,admin,294242.0,1616443575
Katowice,Katowice,50.2625,19.0217,Poland,PL,POL,Śląskie,admin,285711.0,1616798495
Gdynia,Gdynia,54.5175,18.54,Poland,PL,POL,Pomorskie,minor,245222.0,1616385189
Zielona Góra,Zielona Gora,51.9333,15.5,Poland,PL,POL,Lubuskie,admin,216781.0,1616050904
Częstochowa,Czestochowa,50.8,19.1167,Poland,PL,POL,Śląskie,minor,213107.0,1616881632
Radom,Radom,51.4036,21.1567,Poland,PL,POL,Mazowieckie,minor,201601.0,1616327727
Toruń,Torun,53.0222,18.6111,Poland,PL,POL,Kujawsko-Pomorskie,admin,198273.0,1616267221
Rzeszów,Rzeszow,50.0333,22.0,Poland,PL,POL,Podkarpackie,admin,195871.0,1616879570
Sosnowiec,Sosnowiec,50.2833,19.1333,Poland,PL,POL,Śląskie,minor,193660.0,1616057255
Kielce,Kielce,50.8742,20.6333,Poland,PL,POL,Świętokrzyskie,admin,186894.0,1616176351
Gliwice,Gliwice,50.2833,18.6667,Poland,PL,POL,Śląskie,minor,174016.0,1616311376
Olsztyn,Olsztyn,53.7778,20.4792,Poland,PL,POL,Warmińsko-Mazurskie,admin,170225.0,1616383275
Bielsko-Biała,Bielsko-Biala,49.8225,19.0444,Poland,PL,POL,Śląskie,minor,169089.0,1616302636
Zabrze,Zabrze,50.3025,18.7781,Poland,PL,POL,Śląskie,minor,158307.0,1616784915
Bytom,Bytom,50.3483,18.9156,Poland,PL,POL,Śląskie,minor,153274.0,1616740907
Ruda Śląska,Ruda Slaska,50.2628,18.8536,Poland,PL,POL,Śląskie,minor,133793.0,1616148566
Rybnik,Rybnik,50.0833,18.55,Poland,PL,POL,Śląskie,minor,133772.0,1616092098
Opole,Opole,50.6667,17.9333,Poland,PL,POL,Opolskie,admin,127387.0,1616096837
Tychy,Tychy,50.1236,18.9867,Poland,PL,POL,Śląskie,minor,124882.0,1616396493
Gorzów Wielkopolski,Gorzow Wielkopolski,52.7333,15.25,Poland,PL,POL,Lubuskie,admin,119964.0,1616788025
Dąbrowa Górnicza,Dabrowa Gornicza,50.3214,19.1872,Poland,PL,POL,Śląskie,minor,116930.0,1616312023
Elbląg,Elblag,54.1667,19.4,Poland,PL,POL,Warmińsko-Mazurskie,minor,115220.0,1616395994
Płock,Plock,52.55,19.7,Poland,PL,POL,Mazowieckie,minor,114594.0,1616954507
Tarnów,Tarnow,50.0125,20.9886,Poland,PL,POL,Małopolskie,minor,106259.0,1616375879
Koszalin,Koszalin,54.2,16.1833,Poland,PL,POL,Zachodniopomorskie,minor,105883.0,1616258002
Włocławek,Wloclawek,52.6592,19.0681,Poland,PL,POL,Kujawsko-Pomorskie,minor,104705.0,1616143097
Wałbrzych,Walbrzych,50.7667,16.2833,Poland,PL,POL,Dolnośląskie,minor,104401.0,1616162263
Chorzów,Chorzow,50.3,18.95,Poland,PL,POL,Śląskie,minor,104193.0,1616517871
Kalisz,Kalisz,51.7575,18.08,Poland,PL,POL,Wielkopolskie,minor,95905.0,1616861321
Legnica,Legnica,51.2083,16.1603,Poland,PL,POL,Dolnośląskie,minor,94878.0,1616578356
Grudziądz,Grudziadz,53.4875,18.755,Poland,PL,POL,Kujawsko-Pomorskie,minor,90890.0,1616391533
Jaworzno,Jaworzno,50.2044,19.27,Poland,PL,POL,Śląskie,minor,88998.0,1616134743
Słupsk,Slupsk,54.4658,17.0292,Poland,PL,POL,Pomorskie,minor,87660.0,1616346559
Jastrzębie-Zdrój,Jastrzebie-Zdroj,49.95,18.5833,Poland,PL,POL,Śląskie,minor,85050.0,1616365516
Nowy Sącz,Nowy Sacz,49.6239,20.6972,Poland,PL,POL,Małopolskie,minor,81281.0,1616869871
Skarżysko-Kamienna,Skarzysko-Kamienna,51.1167,20.9167,Poland,PL,POL,Świętokrzyskie,minor,78636.0,1616858398
Jelenia Góra,Jelenia Gora,50.9033,15.7344,Poland,PL,POL,Dolnośląskie,minor,77305.0,1616105652
Siedlce,Siedlce,52.165,22.2714,Poland,PL,POL,Mazowieckie,minor,76357.0,1616939180
Mysłowice,Myslowice,50.2333,19.1333,Poland,PL,POL,Śląskie,minor,72553.0,1616757185
Piła,Pila,53.15,16.7333,Poland,PL,POL,Wielkopolskie,minor,71735.0,1616414354
Ostrów Wielkopolski,Ostrow Wielkopolski,51.6494,17.8164,Poland,PL,POL,Wielkopolskie,minor,70725.0,1616691422
Lubin,Lubin,51.4,16.2,Poland,PL,POL,Dolnośląskie,minor,70016.0,1616748050
Konin,Konin,52.2167,18.2667,Poland,PL,POL,Wielkopolskie,minor,69858.0,1616883533
Inowrocław,Inowroclaw,52.7931,18.2611,Poland,PL,POL,Kujawsko-Pomorskie,minor,69576.0,1616606592
Piotrków Trybunalski,Piotrkow Trybunalski,51.4,19.6833,Poland,PL,POL,Łódzkie,minor,68978.0,1616450789
Suwałki,Suwalki,54.0989,22.9286,Poland,PL,POL,Podlaskie,minor,68752.0,1616523627
Stargard Szczeciński,Stargard Szczecinski,53.3333,15.0333,Poland,PL,POL,Zachodniopomorskie,minor,67348.0,1616480646
Gniezno,Gniezno,52.5358,17.5958,Poland,PL,POL,Wielkopolskie,minor,65452.0,1616984350
Pruszków,Pruszkow,52.1667,20.8,Poland,PL,POL,Mazowieckie,minor,65283.0,1616154673
Ostrowiec Świętokrzyski,Ostrowiec Swietokrzyski,50.9333,21.4,Poland,PL,POL,Świętokrzyskie,minor,64796.0,1616984527
Siemianowice Śląskie,Siemianowice Slaskie,50.2758,18.9858,Poland,PL,POL,Śląskie,minor,64676.0,1616000741
Głogów,Glogow,51.6589,16.0803,Poland,PL,POL,Dolnośląskie,minor,64261.0,1616244076
Pabianice,Pabianice,51.65,19.3833,Poland,PL,POL,Łódzkie,minor,62954.0,1616294006
Żory,Zory,50.05,18.7,Poland,PL,POL,Śląskie,minor,61823.0,1616545481
Leszno,Leszno,51.8458,16.5806,Poland,PL,POL,Wielkopolskie,minor,61791.0,1616030015
Tarnowskie Góry,Tarnowskie Gory,50.4444,18.8583,Poland,PL,POL,Śląskie,minor,61288.0,1616868201
Łomża,Lomza,53.1764,22.0731,Poland,PL,POL,Podlaskie,minor,60848.0,1616678952
Ełk,Elk,53.8214,22.3622,Poland,PL,POL,Warmińsko-Mazurskie,minor,60390.0,1616783003
Zamość,Zamosc,50.7167,23.2528,Poland,PL,POL,Lubelskie,minor,60148.0,1616490229
Chełm,Chelm,51.1322,23.4778,Poland,PL,POL,Lubelskie,minor,59546.0,1616688578
Tomaszów Mazowiecki,Tomaszow Mazowiecki,51.5167,20.0167,Poland,PL,POL,Łódzkie,minor,59388.0,1616394410
Przemyśl,Przemysl,49.7833,22.7667,Poland,PL,POL,Podkarpackie,minor,58408.0,1616506094
Mielec,Mielec,50.2833,21.4333,Poland,PL,POL,Podkarpackie,minor,58213.0,1616825607
Tczew,Tczew,54.0875,18.7972,Poland,PL,POL,Pomorskie,minor,57990.0,1616578037
Stalowa Wola,Stalowa Wola,50.5667,22.05,Poland,PL,POL,Podkarpackie,minor,57620.0,1616964956
Kędzierzyn-Koźle,Kedzierzyn-Kozle,50.35,18.2,Poland,PL,POL,Opolskie,minor,56931.0,1616306372
Będzin,Bedzin,50.3333,19.1167,Poland,PL,POL,Śląskie,minor,55695.0,1616409616
Biała Podlaska,Biala Podlaska,52.0333,23.1167,Poland,PL,POL,Lubelskie,minor,55429.0,1616025020
Zgierz,Zgierz,51.85,19.4167,Poland,PL,POL,Łódzkie,minor,55079.0,1616382343
Świdnica,Swidnica,50.85,16.4833,Poland,PL,POL,Dolnośląskie,minor,54792.0,1616002338
Bełchatów,Belchatow,51.3667,19.3667,Poland,PL,POL,Łódzkie,minor,54338.0,1616973390
Legionowo,Legionowo,52.4,20.8833,Poland,PL,POL,Mazowieckie,minor,53216.0,1616994284
