city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Doha,Doha,25.2867,51.5333,Qatar,QA,QAT,Ad Dawḩah,primary,1186023.0,1634459660
Ar Rayyān,Ar Rayyan,25.25,51.4,Qatar,QA,QAT,Ar Rayyān,admin,605712.0,1634097551
Laqţah,Laqtah,25.4175,51.5075,Qatar,QA,QAT,Ash Shīḩānīyah,,198600.0,1634292106
Ash Shīḩānīyah,Ash Shihaniyah,25.3722,51.2047,Qatar,QA,QAT,Ash Shīḩānīyah,admin,161240.0,1634539520
Al Wakrah,Al Wakrah,25.18,51.61,Qatar,QA,QAT,Al Wakrah,admin,87970.0,1634261569
Umm Qurūn,Umm Qurun,25.25,51.3732,Qatar,QA,QAT,Ar Rayyān,,54339.0,1634017384
Al Khawr,Al Khawr,25.69,51.51,Qatar,QA,QAT,Al Khawr wa adh Dhakhīrah,admin,31547.0,1634786937
Nu‘ayjah,Nu`ayjah,25.2525,51.5592,Qatar,QA,QAT,Ad Dawḩah,,29703.0,1634400511
Adh Dhakhīrah,Adh Dhakhirah,25.7347,51.5475,Qatar,QA,QAT,Al Khawr wa adh Dhakhīrah,,13511.0,1634525121
Al Jumaylīyah,Al Jumayliyah,25.6208,51.0819,Qatar,QA,QAT,Ash Shīḩānīyah,,13085.0,1634232373
Az̧ Z̧a‘āyin,Az Za`ayin,25.5669,51.4847,Qatar,QA,QAT,Az̧ Z̧a‘āyin,admin,,1634890537
Umm Şalāl ‘Alī,Umm Salal `Ali,25.4697,51.3975,Qatar,QA,QAT,Umm Şalāl,admin,,1634646507
Madīnat ash Shamāl,Madinat ash Shamal,26.1167,51.2167,Qatar,QA,QAT,Ash Shamāl,admin,,1634762661
Doha,Doha,25.2867,51.5333,Qatar,QA,QAT,Ad Dawḩah,primary,1186023.0,1634459660
Ar Rayyān,Ar Rayyan,25.25,51.4,Qatar,QA,QAT,Ar Rayyān,admin,605712.0,1634097551
Laqţah,Laqtah,25.4175,51.5075,Qatar,QA,QAT,Ash Shīḩānīyah,,198600.0,1634292106
Ash Shīḩānīyah,Ash Shihaniyah,25.3722,51.2047,Qatar,QA,QAT,Ash Shīḩānīyah,admin,161240.0,1634539520
Al Wakrah,Al Wakrah,25.18,51.61,Qatar,QA,QAT,Al Wakrah,admin,87970.0,1634261569
Umm Qurūn,Umm Qurun,25.25,51.3732,Qatar,QA,QAT,Ar Rayyān,,54339.0,1634017384
Al Khawr,Al Khawr,25.69,51.51,Qatar,QA,QAT,Al Khawr wa adh Dhakhīrah,admin,31547.0,1634786937
Nu‘ayjah,Nu`ayjah,25.2525,51.5592,Qatar,QA,QAT,Ad Dawḩah,,29703.0,1634400511
Adh Dhakhīrah,Adh Dhakhirah,25.7347,51.5475,Qatar,QA,QAT,Al Khawr wa adh Dhakhīrah,,13511.0,1634525121
Al Jumaylīyah,Al Jumayliyah,25.6208,51.0819,Qatar,QA,QAT,Ash Shīḩānīyah,,13085.0,1634232373
Az̧ Z̧a‘āyin,Az Za`ayin,25.5669,51.4847,Qatar,QA,QAT,Az̧ Z̧a‘āyin,admin,,1634890537
Umm Şalāl ‘Alī,Umm Salal `Ali,25.4697,51.3975,Qatar,QA,QAT,Umm Şalāl,admin,,1634646507
Madīnat ash Shamāl,Madinat ash Shamal,26.1167,51.2167,Qatar,QA,QAT,Ash Shamāl,admin,,1634762661
