city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bucharest,Bucharest,44.4325,26.1039,Romania,RO,ROU,Bucureşti,primary,2412530.0,1642414442
Cluj-Napoca,Cluj-Napoca,46.7667,23.5833,Romania,RO,ROU,Cluj,admin,286598.0,1642503974
Iaşi,Iasi,47.1622,27.5889,Romania,RO,ROU,Iaşi,admin,271692.0,1642367695
Constanţa,Constanta,44.1667,28.6333,Romania,RO,ROU,Constanţa,admin,263707.0,1642851858
Timişoara,Timisoara,45.7597,21.23,Romania,RO,ROU,Timiş,admin,250849.0,1642603121
Braşov,Brasov,45.6667,25.6167,Romania,RO,ROU,Braşov,admin,237589.0,1642328429
Craiova,Craiova,44.3333,23.8167,Romania,RO,ROU,Dolj,admin,234140.0,1642859458
Galaţi,Galati,45.4233,28.0425,Romania,RO,ROU,Galaţi,admin,217851.0,1642571620
Oradea,Oradea,47.0722,21.9211,Romania,RO,ROU,Bihor,admin,183105.0,1642066626
Ploieşti,Ploiesti,44.9411,26.0225,Romania,RO,ROU,Prahova,admin,180539.0,1642169731
Brăila,Braila,45.2692,27.9575,Romania,RO,ROU,Brăila,admin,154686.0,1642286806
Arad,Arad,46.175,21.3125,Romania,RO,ROU,Arad,admin,145078.0,1642996909
Piteşti,Pitesti,44.8606,24.8678,Romania,RO,ROU,Argeş,admin,141275.0,1642781938
Bacău,Bacau,46.5833,26.9167,Romania,RO,ROU,Bacău,admin,136087.0,1642838304
Sibiu,Sibiu,45.7928,24.1519,Romania,RO,ROU,Sibiu,admin,134308.0,1642393086
Târgu-Mureş,Targu-Mures,46.5456,24.5625,Romania,RO,ROU,Mureş,admin,116033.0,1642875714
Baia Mare,Baia Mare,47.6567,23.5719,Romania,RO,ROU,Maramureş,admin,108759.0,1642459769
Buzău,Buzau,45.1531,26.8208,Romania,RO,ROU,Buzău,admin,103481.0,1642794918
Râmnicu Vâlcea,Ramnicu Valcea,45.1047,24.3756,Romania,RO,ROU,Vâlcea,admin,93151.0,1642348361
Satu Mare,Satu Mare,47.79,22.89,Romania,RO,ROU,Satu Mare,admin,91520.0,1642046798
Botoşani,Botosani,47.7486,26.6694,Romania,RO,ROU,Botoşani,admin,90010.0,1642183791
Suceava,Suceava,47.6514,26.2556,Romania,RO,ROU,Suceava,admin,84322.0,1642721443
Reşiţa,Resita,45.3008,21.8892,Romania,RO,ROU,Caraş-Severin,admin,83324.0,1642047399
Drobeta-Turnu Severin,Drobeta-Turnu Severin,44.6333,22.65,Romania,RO,ROU,Mehedinţi,admin,79865.0,1642729144
Piatra Neamţ,Piatra Neamt,46.9275,26.3708,Romania,RO,ROU,Neamţ,admin,79679.0,1642444635
Bistriţa,Bistrita,47.1333,24.5,Romania,RO,ROU,Bistriţa-Năsăud,admin,78877.0,1642633889
Târgu Jiu,Targu Jiu,45.0342,23.2747,Romania,RO,ROU,Gorj,admin,73545.0,1642174891
Târgovişte,Targoviste,44.9244,25.4572,Romania,RO,ROU,Dâmboviţa,admin,66965.0,1642534646
Focşani,Focsani,45.7,27.1797,Romania,RO,ROU,Vrancea,admin,66648.0,1642736232
Tulcea,Tulcea,45.19,28.8,Romania,RO,ROU,Tulcea,admin,65624.0,1642854000
Alba Iulia,Alba Iulia,46.0669,23.57,Romania,RO,ROU,Alba,admin,64227.0,1642449522
Slatina,Slatina,44.4297,24.3642,Romania,RO,ROU,Olt,admin,63487.0,1642577360
Vaslui,Vaslui,46.6383,27.7292,Romania,RO,ROU,Vaslui,admin,63035.0,1642644428
Călăraşi,Calarasi,44.2,27.3333,Romania,RO,ROU,Călăraşi,admin,58211.0,1642445982
Giurgiu,Giurgiu,43.9008,25.9739,Romania,RO,ROU,Giurgiu,admin,54551.0,1642984994
Popeşti-Leordeni,Popesti-Leordeni,44.38,26.17,Romania,RO,ROU,Ilfov,,53434.0,1642953954
Deva,Deva,45.8781,22.9144,Romania,RO,ROU,Hunedoara,,53113.0,1642728479
