city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Moscow,Moscow,55.7558,37.6172,Russia,RU,RUS,Moskva,primary,17332000.0,1643318494
Saint Petersburg,Saint Petersburg,59.9375,30.3086,Russia,RU,RUS,Sankt-Peterburg,admin,5384342.0,1643616350
Novosibirsk,Novosibirsk,55.05,82.95,Russia,RU,RUS,Novosibirskaya Oblast’,admin,1625631.0,1643399240
Yekaterinburg,Yekaterinburg,56.8356,60.6128,Russia,RU,RUS,Sverdlovskaya Oblast’,admin,1468833.0,1643582706
Kazan,Kazan,55.7964,49.1089,Russia,RU,RUS,Tatarstan,admin,1259173.0,1643101260
Nizhniy Novgorod,Nizhniy Novgorod,56.3269,44.0075,Russia,RU,RUS,Nizhegorodskaya Oblast’,admin,1244254.0,1643012126
Chelyabinsk,Chelyabinsk,55.1547,61.3758,Russia,RU,RUS,Chelyabinskaya Oblast’,admin,1196680.0,1643224011
Omsk,Omsk,54.9833,73.3667,Russia,RU,RUS,Omskaya Oblast’,admin,1172070.0,1643360863
Samara,Samara,53.2028,50.1408,Russia,RU,RUS,Samarskaya Oblast’,admin,1169719.0,1643205757
Rostov,Rostov,47.2225,39.71,Russia,RU,RUS,Rostovskaya Oblast’,admin,1137704.0,1643013518
Ufa,Ufa,54.7261,55.9475,Russia,RU,RUS,Bashkortostan,admin,1115560.0,1643722928
Krasnoyarsk,Krasnoyarsk,56.0089,92.8719,Russia,RU,RUS,Krasnoyarskiy Kray,admin,1083865.0,1643544975
Voronezh,Voronezh,51.6717,39.2106,Russia,RU,RUS,Voronezhskaya Oblast’,admin,1051995.0,1643811064
Perm,Perm,58.0,56.3167,Russia,RU,RUS,Permskiy Kray,admin,1048005.0,1643294442
Volgograd,Volgograd,48.7086,44.5147,Russia,RU,RUS,Volgogradskaya Oblast’,admin,1004763.0,1643577201
Krasnodar,Krasnodar,45.0333,38.9667,Russia,RU,RUS,Krasnodarskiy Kray,admin,948827.0,1643438227
Tyumen,Tyumen,57.15,65.5333,Russia,RU,RUS,Tyumenskaya Oblast’,admin,855600.0,1643040435
Saratov,Saratov,51.5333,46.0167,Russia,RU,RUS,Saratovskaya Oblast’,admin,845300.0,1643556540
Tolyatti,Tolyatti,53.5089,49.4222,Russia,RU,RUS,Samarskaya Oblast’,,685619.0,1643256295
Makhachkala,Makhachkala,42.9667,47.4833,Russia,RU,RUS,Dagestan,admin,662600.0,1643580480
Izhevsk,Izhevsk,56.8333,53.1833,Russia,RU,RUS,Udmurtiya,admin,646277.0,1643983138
Barnaul,Barnaul,53.3486,83.7764,Russia,RU,RUS,Altayskiy Kray,admin,631124.0,1643318931
Ulyanovsk,Ulyanovsk,54.3167,48.3667,Russia,RU,RUS,Ul’yanovskaya Oblast’,admin,624518.0,1643668944
Irkutsk,Irkutsk,52.2833,104.2833,Russia,RU,RUS,Irkutskaya Oblast’,admin,623736.0,1643439037
Khabarovsk,Khabarovsk,48.4833,135.0833,Russia,RU,RUS,Khabarovskiy Kray,admin,616242.0,1643175363
Yaroslavl,Yaroslavl,57.6167,39.85,Russia,RU,RUS,Yaroslavskaya Oblast’,admin,601403.0,1643338528
Vladivostok,Vladivostok,43.1333,131.9,Russia,RU,RUS,Primorskiy Kray,admin,597240.0,1643832017
Tomsk,Tomsk,56.5,84.9667,Russia,RU,RUS,Tomskaya Oblast’,admin,572740.0,1643258928
Orenburg,Orenburg,51.7833,55.1,Russia,RU,RUS,Orenburgskaya Oblast’,admin,564773.0,1643685056
Kemerovo,Kemerovo,55.3667,86.0667,Russia,RU,RUS,Kemerovskaya Oblast’,admin,558973.0,1643216311
Novokuznetsk,Novokuznetsk,53.7667,87.1333,Russia,RU,RUS,Kemerovskaya Oblast’,,552105.0,1643628717
Ryazan,Ryazan,54.63,39.7425,Russia,RU,RUS,Ryazanskaya Oblast’,admin,537622.0,1643205787
Naberezhnyye Chelny,Naberezhnyye Chelny,55.6833,52.3167,Russia,RU,RUS,Tatarstan,,533839.0,1643008493
Astrakhan,Astrakhan,46.35,48.035,Russia,RU,RUS,Astrakhanskaya Oblast’,admin,524371.0,1643407929
Penza,Penza,53.2,45.0,Russia,RU,RUS,Penzenskaya Oblast’,admin,516450.0,1643492830
Lipetsk,Lipetsk,52.6167,39.6,Russia,RU,RUS,Lipetskaya Oblast’,admin,503216.0,1643772906
Kirov,Kirov,58.6,49.6833,Russia,RU,RUS,Kirovskaya Oblast’,admin,501468.0,1643106064
Kaliningrad,Kaliningrad,54.7003,20.4531,Russia,RU,RUS,Kaliningradskaya Oblast’,admin,498260.0,1643178106
Cheboksary,Cheboksary,56.15,47.2333,Russia,RU,RUS,Chuvashiya,admin,489498.0,1643163382
Balashikha,Balashikha,55.8167,37.9667,Russia,RU,RUS,Moskovskaya Oblast’,minor,468221.0,1643989845
Tula,Tula,54.2,37.6167,Russia,RU,RUS,Tul’skaya Oblast’,admin,467955.0,1643255206
Kursk,Kursk,51.7167,36.1833,Russia,RU,RUS,Kurskaya Oblast’,admin,450977.0,1643011077
Stavropol,Stavropol,45.05,41.9833,Russia,RU,RUS,Stavropol’skiy Kray,admin,450680.0,1643947228
Ulan-Ude,Ulan-Ude,51.8333,107.6,Russia,RU,RUS,Buryatiya,admin,439128.0,1643774900
Tver,Tver,56.8625,35.9242,Russia,RU,RUS,Tverskaya Oblast’,admin,424969.0,1643456559
Magnitogorsk,Magnitogorsk,53.3833,59.0333,Russia,RU,RUS,Chelyabinskaya Oblast’,,418241.0,1643987830
Sochi,Sochi,43.5853,39.7203,Russia,RU,RUS,Krasnodarskiy Kray,,411524.0,1643009782
