city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Kigali,Kigali,-1.9439,30.0594,Rwanda,RW,RWA,Kigali,primary,1518632.0,1646923541
Muhanga,Muhanga,-2.0845,29.7527,Rwanda,RW,RWA,Southern Province,,319141.0,1646187395
Gitarama,Gitarama,-2.0696,29.76,Rwanda,RW,RWA,Southern Province,,87613.0,1646038255
Kabarore,Kabarore,-1.6211,30.385,Rwanda,RW,RWA,Eastern Province,,71769.0,1646082974
Cyuve,Cyuve,-1.4833,29.65,Rwanda,RW,RWA,Northern Province,,62179.0,1646622705
Ruhengeri,Ruhengeri,-1.5,29.6333,Rwanda,RW,RWA,Northern Province,,59333.0,1646793543
Gisenyi,Gisenyi,-1.7,29.25,Rwanda,RW,RWA,Western Province,,53603.0,1646226936
Gahini,Gahini,-1.8422,30.4781,Rwanda,RW,RWA,Eastern Province,,46009.0,1646407608
Shyorongi,Shyorongi,-1.8544,29.9625,Rwanda,RW,RWA,Northern Province,,43744.0,1646339704
Gatunda,Gatunda,-1.435,30.0211,Rwanda,RW,RWA,Eastern Province,,41000.0,1646499404
Rubengera,Rubengera,-2.0519,29.4144,Rwanda,RW,RWA,Western Province,,40337.0,1646153886
Kabuga,Kabuga,-1.9667,30.2167,Rwanda,RW,RWA,Kigali,,40202.0,1646271073
Ngororero,Ngororero,-1.865,29.625,Rwanda,RW,RWA,Western Province,,38823.0,1646903610
Byumba,Byumba,-1.5761,30.0675,Rwanda,RW,RWA,Northern Province,admin,36401.0,1646868980
Nyamata,Nyamata,-2.205,30.145,Rwanda,RW,RWA,Eastern Province,,34922.0,1646130280
Ndora,Ndora,-2.6033,29.8336,Rwanda,RW,RWA,Southern Province,,30171.0,1646457755
Bugarama,Bugarama,-2.6972,29.0083,Rwanda,RW,RWA,Western Province,,28810.0,1646110055
Cyangugu,Cyangugu,-2.4833,28.8967,Rwanda,RW,RWA,Western Province,,27416.0,1646073091
Kibeho,Kibeho,-2.6333,29.55,Rwanda,RW,RWA,Southern Province,,25885.0,1646397419
Nyanza,Nyanza,-2.35,29.7333,Rwanda,RW,RWA,Southern Province,admin,25417.0,1646257566
Butare,Butare,-2.6,29.75,Rwanda,RW,RWA,Southern Province,,19937.0,1646348441
Rwamagana,Rwamagana,-1.95,30.4333,Rwanda,RW,RWA,Eastern Province,admin,18009.0,1646996571
Murambi,Murambi,-1.8133,30.0456,Rwanda,RW,RWA,Northern Province,,17892.0,1646072975
Ruhango,Ruhango,-2.2325,29.7803,Rwanda,RW,RWA,Southern Province,,17051.0,1646180341
Gikongoro,Gikongoro,-2.4723,29.5815,Rwanda,RW,RWA,Southern Province,,16695.0,1646632562
Busogo,Busogo,-1.5572,29.5442,Rwanda,RW,RWA,Northern Province,,12460.0,1646386740
Kibuye,Kibuye,-2.0617,29.3483,Rwanda,RW,RWA,Western Province,admin,12325.0,1646264461
Kibungo,Kibungo,-2.1583,30.5458,Rwanda,RW,RWA,Eastern Province,,11537.0,1646746155
Kigali,Kigali,-1.9439,30.0594,Rwanda,RW,RWA,Kigali,primary,1518632.0,1646923541
Muhanga,Muhanga,-2.0845,29.7527,Rwanda,RW,RWA,Southern Province,,319141.0,1646187395
Gitarama,Gitarama,-2.0696,29.76,Rwanda,RW,RWA,Southern Province,,87613.0,1646038255
Kabarore,Kabarore,-1.6211,30.385,Rwanda,RW,RWA,Eastern Province,,71769.0,1646082974
Cyuve,Cyuve,-1.4833,29.65,Rwanda,RW,RWA,Northern Province,,62179.0,1646622705
Ruhengeri,Ruhengeri,-1.5,29.6333,Rwanda,RW,RWA,Northern Province,,59333.0,1646793543
Gisenyi,Gisenyi,-1.7,29.25,Rwanda,RW,RWA,Western Province,,53603.0,1646226936
Gahini,Gahini,-1.8422,30.4781,Rwanda,RW,RWA,Eastern Province,,46009.0,1646407608
Shyorongi,Shyorongi,-1.8544,29.9625,Rwanda,RW,RWA,Northern Province,,43744.0,1646339704
Gatunda,Gatunda,-1.435,30.0211,Rwanda,RW,RWA,Eastern Province,,41000.0,1646499404
Rubengera,Rubengera,-2.0519,29.4144,Rwanda,RW,RWA,Western Province,,40337.0,1646153886
Kabuga,Kabuga,-1.9667,30.2167,Rwanda,RW,RWA,Kigali,,40202.0,1646271073
Ngororero,Ngororero,-1.865,29.625,Rwanda,RW,RWA,Western Province,,38823.0,1646903610
Byumba,Byumba,-1.5761,30.0675,Rwanda,RW,RWA,Northern Province,admin,36401.0,1646868980
Nyamata,Nyamata,-2.205,30.145,Rwanda,RW,RWA,Eastern Province,,34922.0,1646130280
Ndora,Ndora,-2.6033,29.8336,Rwanda,RW,RWA,Southern Province,,30171.0,1646457755
Bugarama,Bugarama,-2.6972,29.0083,Rwanda,RW,RWA,Western Province,,28810.0,1646110055
Cyangugu,Cyangugu,-2.4833,28.8967,Rwanda,RW,RWA,Western Province,,27416.0,1646073091
Kibeho,Kibeho,-2.6333,29.55,Rwanda,RW,RWA,Southern Province,,25885.0,1646397419
Nyanza,Nyanza,-2.35,29.7333,Rwanda,RW,RWA,Southern Province,admin,25417.0,1646257566
Butare,Butare,-2.6,29.75,Rwanda,RW,RWA,Southern Province,,19937.0,1646348441
Rwamagana,Rwamagana,-1.95,30.4333,Rwanda,RW,RWA,Eastern Province,admin,18009.0,1646996571
